Start Date,Prediction,Actual
1971-01-01,46830407.18899227,40513000.0
1971-02-01,40513030.10332565,40531000.0
1971-03-01,40546788.93057422,40550000.0
1971-04-01,40566889.04913022,40568000.0
1971-05-01,40584636.95453814,40587000.0
1971-06-01,40604704.49691617,40605000.0
1971-07-01,40622010.26464581,40618000.0
1971-08-01,40632145.86980285,40631000.0
1971-09-01,40645396.09692405,40645000.0
1971-10-01,40659299.71925928,40658000.0
1971-11-01,40671419.45669434,40671000.0
1971-12-01,40684370.69220334,40684000.0
1972-01-01,40697098.3285109,40697000.0
1972-02-01,40709987.52409405,40710000.0
1972-03-01,40722868.978905335,40723000.0
1972-04-01,40735794.56903623,40736000.0
1972-05-01,40748733.571654625,40750000.0
1972-06-01,40763319.23345052,40763000.0
1972-07-01,40775589.7460771,40777000.0
1972-08-01,40790420.39414198,40792000.0
1972-09-01,40805841.76020271,40807000.0
1972-10-01,40820942.13204944,40821000.0
1972-11-01,40834471.11308244,40836000.0
1972-12-01,40850252.530700296,40851000.0
1973-01-01,40865102.4819532,40865000.0
1973-02-01,40878647.14420608,40880000.0
1973-03-01,40894361.342837565,40895000.0
1973-04-01,40909191.96801286,40909000.0
1973-05-01,40922710.22495958,40924000.0
1973-06-01,40938409.42344653,40939000.0
1973-07-01,40953227.043374605,40952000.0
1973-08-01,40965107.27729351,40965000.0
1973-09-01,40978237.63052681,40978000.0
1973-10-01,40990958.358525485,40991000.0
1973-11-01,41003896.91459584,41004000.0
1973-12-01,41016793.80274582,41018000.0
1974-01-01,41031368.24423917,41031000.0
1974-02-01,41043622.559422076,41044000.0
1974-03-01,41056815.147403985,41057000.0
1974-04-01,41069666.72505504,41070000.0
1974-05-01,41082669.86543411,41083000.0
1974-06-01,41095627.73675772,41096000.0
1974-07-01,41108613.578319766,41112000.0
1974-08-01,41126483.3253999,41127000.0
1974-09-01,41140642.38668903,41142000.0
1974-10-01,41156177.62576337,41158000.0
1974-11-01,41172752.29436314,41173000.0
1974-12-01,41187192.22720407,41189000.0
1975-01-01,41204079.86207853,41204000.0
1975-02-01,41218312.62173321,41219000.0
1975-03-01,41233588.57228804,41235000.0
1975-04-01,41250092.53131967,41250000.0
1975-05-01,41264431.9705621,41265000.0
1975-06-01,41279634.3021383,41281000.0
1975-07-01,41296143.111550815,41300000.0
1975-08-01,41316979.04247488,41319000.0
1975-09-01,41335907.12002582,41338000.0
1975-10-01,41355415.07441131,41358000.0
1975-11-01,41376203.550494626,41377000.0
1975-12-01,41394711.492277846,41396000.0
1976-01-01,41414056.367752716,41415000.0
1976-02-01,41433035.73292793,41435000.0
1976-03-01,41453757.54047735,41454000.0
1976-04-01,41472088.14557556,41473000.0
1976-05-01,41491350.62991988,41492000.0
1976-06-01,41510249.17208565,41512000.0
1976-07-01,41530918.31211496,41535000.0
1976-08-01,41555722.877283104,41558000.0
1976-09-01,41578686.38253071,41581000.0
1976-10-01,41602197.776697,41604000.0
1976-11-01,41625368.6997688,41627000.0
1976-12-01,41648577.902351744,41650000.0
1977-01-01,41671701.74019945,41674000.0
1977-02-01,41696435.41452336,41697000.0
1977-03-01,41718812.199433856,41720000.0
1977-04-01,41742094.5106748,41743000.0
1977-05-01,41765013.489813834,41766000.0
1977-06-01,41788066.581606485,41789000.0
1977-07-01,41811061.71550619,41813000.0
1977-08-01,41835704.280529164,41837000.0
1977-09-01,41859640.32281348,41862000.0
1977-10-01,41885433.228350356,41886000.0
1977-11-01,41908776.46431926,41910000.0
1977-12-01,41933064.06395833,41934000.0
1978-01-01,41956975.1625266,41958000.0
1978-02-01,41981026.98351969,41982000.0
1978-03-01,42005019.36735087,42006000.0
1978-04-01,42029031.5361254,42030000.0
1978-05-01,42053033.458100945,42054000.0
1978-06-01,42077037.490114644,42079000.0
1978-07-01,42102668.33524376,42105000.0
1978-08-01,42129231.8336258,42132000.0
1978-09-01,42156953.593032315,42159000.0
1978-10-01,42184082.960923105,42186000.0
1978-11-01,42211338.514452085,42213000.0
1978-12-01,42238466.71157947,42240000.0
1979-01-01,42265586.334728464,42267000.0
1979-02-01,42292665.892006025,42294000.0
1979-03-01,42319728.72061455,42321000.0
1979-04-01,42346773.9589536,42348000.0
1979-05-01,42373808.08441497,42375000.0
1979-06-01,42400833.14813589,42402000.0
1979-07-01,42427851.76175349,42432000.0
1979-08-01,42459752.575022034,42462000.0
1979-09-01,42489561.1330826,42491000.0
1979-10-01,42518416.35075942,42521000.0
1979-11-01,42549228.74808654,42551000.0
1979-12-01,42579184.41896796,42580000.0
1980-01-01,42607775.53432277,42610000.0
1980-02-01,42638536.85135903,42639000.0
1980-03-01,42666768.56232111,42669000.0
1980-04-01,42697636.35495979,42699000.0
1980-05-01,42727430.47141783,42728000.0
1980-06-01,42755980.28438723,42758000.0
1980-07-01,42786679.96580373,42784000.0
1980-08-01,42809990.64492666,42810000.0
1980-09-01,42836400.93647757,42836000.0
1980-10-01,42861764.80155231,42862000.0
1980-11-01,42887657.8242933,42888000.0
1980-12-01,42913434.70029685,42914000.0
1981-01-01,42939324.1192829,42940000.0
1981-02-01,42965219.76671807,42965000.0
1981-03-01,42989521.29885521,42991000.0
1981-04-01,43016162.3036049,43017000.0
1981-05-01,43041896.16314255,43043000.0
1981-06-01,43067987.71692412,43069000.0
1981-07-01,43093942.68420867,43084000.0
