Start Date,Prediction,Actual
1971-01-01,17253794.03547714,14919000.0
1971-02-01,14919198.591988463,14959000.0
1971-03-01,14969451.833194397,14968000.0
1971-04-01,14967678.89861502,14968000.0
1971-05-01,14968599.274363998,14984000.0
1971-06-01,14988343.358835759,15029000.0
1971-07-01,15040634.613631943,15079000.0
1971-08-01,15089508.585145282,15117000.0
1971-09-01,15124978.61835501,15134000.0
1971-10-01,15136471.677986532,15130000.0
1971-11-01,15128692.935967926,15111000.0
1971-12-01,15106206.882629808,15079000.0
1972-01-01,15072021.17016918,15041000.0
1972-02-01,15032608.409069484,15020000.0
1972-03-01,15017101.771235915,15029000.0
1972-04-01,15032391.599820476,15055000.0
1972-05-01,15061656.766178671,15087000.0
1972-06-01,15094041.560551956,15099000.0
1972-07-01,15100707.139842164,15092000.0
1972-08-01,15089761.010073371,15086000.0
1972-09-01,15085397.645986702,15079000.0
1972-10-01,15077370.63415672,15063000.0
1972-11-01,15059460.118815312,15040000.0
1972-12-01,15034820.811014555,15002000.0
1973-01-01,14993367.441229295,14961000.0
1973-02-01,14952364.48704923,14931000.0
1973-03-01,14925556.461138371,14932000.0
1973-04-01,14934082.482551083,14955000.0
1973-05-01,14961072.412742259,14992000.0
1973-06-01,15000764.321197387,15030000.0
1973-07-01,15038287.42796776,15053000.0
1973-08-01,15057254.379003512,15067000.0
1973-09-01,15069984.800506921,15080000.0
1973-10-01,15082991.7371619,15104000.0
1973-11-01,15110115.2179679,15113000.0
1973-12-01,15113901.259706803,15119000.0
1974-01-01,15120838.998300731,15123000.0
1974-02-01,15123689.443574311,15128000.0
1974-03-01,15129633.41152579,15138000.0
1974-04-01,15140410.86020664,15131000.0
1974-05-01,15128755.737169147,15122000.0
1974-06-01,15120370.899695693,15102000.0
1974-07-01,15097230.520358264,15088000.0
1974-08-01,15085796.326611655,15085000.0
1974-09-01,15085050.723076222,15098000.0
1974-10-01,15101900.877056856,15117000.0
1974-11-01,15121353.955797551,15140000.0
1974-12-01,15145460.052238245,15164000.0
1975-01-01,15169279.484177066,15179000.0
1975-02-01,15181960.215376422,15184000.0
1975-03-01,15184760.342176968,15180000.0
1975-04-01,15178988.883723259,15169000.0
1975-05-01,15166473.519380007,15158000.0
1975-06-01,15156002.365321273,15154000.0
1975-07-01,15153694.07132628,15161000.0
1975-08-01,15163341.371683983,15170000.0
1975-09-01,15172023.66267176,15172000.0
1975-10-01,15172295.120900989,15175000.0
1975-11-01,15175987.457400013,15187000.0
1975-12-01,15190345.986272613,15208000.0
1976-01-01,15213079.71976441,15228000.0
1976-02-01,15232364.714504533,15250000.0
1976-03-01,15255097.038650282,15261000.0
1976-04-01,15262816.308632111,15281000.0
1976-05-01,15286357.562729366,15298000.0
1976-06-01,15301301.786895357,15315000.0
1976-07-01,15319154.802309696,15336000.0
1976-08-01,15340740.448026571,15355000.0
1976-09-01,15359266.126875417,15371000.0
1976-10-01,15374342.377963739,15384000.0
1976-11-01,15386993.6145613,15395000.0
1976-12-01,15397326.61035769,15414000.0
1977-01-01,15418957.446506487,15434000.0
1977-02-01,15438211.783917867,15459000.0
1977-03-01,15465106.108364332,15480000.0
