Start Date,Prediction,Actual
1971-01-01,1958946.7899530127,980000.0
1971-02-01,980935.4911110947,998000.0
1971-03-01,1011250.1327066357,1023000.0
1971-04-01,1041566.0532024056,1045000.0
1971-05-01,1064090.6504541705,1062000.0
1971-06-01,1079484.6129507709,1068000.0
1971-07-01,1080205.4112405602,1076000.0
1971-08-01,1087104.2822742532,1090000.0
1971-09-01,1102767.1880187164,1113000.0
1971-10-01,1130055.2884319434,1133000.0
1971-11-01,1150347.0503590384,1143000.0
1971-12-01,1156525.7371165985,1149000.0
1972-01-01,1159536.4814044137,1155000.0
1972-02-01,1164110.2316429168,1161000.0
1972-03-01,1169248.9561441496,1155000.0
1972-04-01,1157522.5040955513,1140000.0
1972-05-01,1136514.4088242494,1122000.0
1972-06-01,1114543.40976966,1107000.0
1972-07-01,1098801.3508378877,1100000.0
1972-08-01,1094548.24510747,1092000.0
1972-09-01,1086932.1016482199,1085000.0
1972-10-01,1080776.6264363525,1070000.0
1972-11-01,1062670.37475352,1049000.0
1972-12-01,1038100.5759730679,1024000.0
1973-01-01,1009845.4859118599,1002000.0
1973-02-01,987652.2391119113,987000.0
1973-03-01,975276.1033313534,977000.0
1973-04-01,968312.9216214292,968000.0
1973-05-01,961076.0766386039,957000.0
1973-06-01,950176.5947329762,943000.0
1973-07-01,935148.7162308748,927000.0
1973-08-01,917982.572964566,913000.0
1973-09-01,904372.1955093828,901000.0
1973-10-01,893265.0132651469,888000.0
1973-11-01,880179.0091107804,892000.0
1973-12-01,891665.4879189639,904000.0
1974-01-01,909740.0519385899,923000.0
1974-02-01,934647.0433758959,931000.0
1974-03-01,940603.6855466438,933000.0
1974-04-01,939976.3728919175,937000.0
1974-05-01,943816.2864796636,941000.0
1974-06-01,947468.6081257722,951000.0
1974-07-01,959900.6849559025,958000.0
1974-08-01,966379.2962892997,965000.0
1974-09-01,973433.5247068867,969000.0
1974-10-01,976114.3007501868,976000.0
1974-11-01,983960.5058301127,989000.0
1974-12-01,999720.3206665246,1007000.0
1975-01-01,1020903.849023364,1029000.0
1975-02-01,1046015.6829263687,1055000.0
1975-03-01,1075170.032139936,1089000.0
1975-04-01,1114077.2090267711,1126000.0
1975-05-01,1154407.4269772572,1162000.0
1975-06-01,1191626.6060425444,1193000.0
1975-07-01,1221235.5556410998,1221000.0
1975-08-01,1247582.5780573925,1252000.0
1975-09-01,1279155.6671845717,1286000.0
1975-10-01,1314428.9871186456,1319000.0
1975-11-01,1347419.519466572,1343000.0
1975-12-01,1367584.9795924288,1363000.0
1976-01-01,1384496.7787701478,1379000.0
1976-02-01,1397262.97103159,1392000.0
1976-03-01,1407442.9799680053,1405000.0
1976-04-01,1419065.0160326143,1413000.0
1976-05-01,1424050.5317424252,1419000.0
1976-06-01,1427936.8062661765,1425000.0
1976-07-01,1432860.4494534647,1430000.0
1976-08-01,1436781.3429617737,1432000.0
1976-09-01,1436948.4898819947,1431000.0
1976-10-01,1433873.9827046474,1432000.0
1976-11-01,1434821.5587603014,1435000.0
1976-12-01,1438431.7935588988,1436000.0
1977-01-01,1438730.820829417,1436000.0
1977-02-01,1438109.1364397695,1437000.0
1977-03-01,1439264.5788438113,1441000.0
1977-04-01,1444550.6443790996,1452000.0
1977-05-01,1459044.7517070302,1467000.0
1977-06-01,1477114.1916137014,1481000.0
1977-07-01,1492097.8896503225,1493000.0
1977-08-01,1503913.4886999067,1498000.0
1977-09-01,1505933.6880103939,1502000.0
1977-10-01,1508459.4103017447,1499000.0
1977-11-01,1501587.7713128377,1493000.0
1977-12-01,1492752.3106629695,1484000.0
1978-01-01,1481048.118801186,1474000.0
1978-02-01,1469340.918865756,1469000.0
1978-03-01,1465616.6755372768,1466000.0
1978-04-01,1463718.0435305145,1463000.0
1978-05-01,1461206.684666194,1459000.0
1978-06-01,1457071.9776878217,1459000.0
1978-07-01,1458839.966843614,1455000.0
1978-08-01,1453705.6477836666,1449000.0
1978-09-01,1446629.310438602,1435000.0
1978-10-01,1428688.782935931,1421000.0
1978-11-01,1413221.0193262682,1413000.0
1978-12-01,1406923.1445213521,1417000.0
1979-01-01,1416542.6642364725,1420000.0
1979-02-01,1421196.2702094226,1414000.0
1979-03-01,1412444.7128037065,1405000.0
1979-04-01,1401443.3423064584,1405000.0
1979-05-01,1404431.1934456318,1415000.0
1979-06-01,1419581.1220622999,1422000.0
1979-07-01,1427320.7162804776,1430000.0
1979-08-01,1436569.4268652166,1441000.0
1979-09-01,1449447.4857204864,1453000.0
1979-10-01,1462665.997655081,1471000.0
1979-11-01,1483896.284499674,1490000.0
1979-12-01,1504578.0634092453,1521000.0
1980-01-01,1541711.2270925057,1558000.0
1980-02-01,1583622.9016740469,1603000.0
1980-03-01,1634414.8795792814,1648000.0
1980-04-01,1681948.8550602482,1700000.0
1980-05-01,1738484.0474964806,1756000.0
1980-06-01,1798070.8520391018,1828000.0
1980-07-01,1878711.9198178435,1905000.0
1980-08-01,1961214.4838301025,1989000.0
1980-09-01,2051004.4186400445,2077000.0
1980-10-01,2143321.087455513,2169000.0
1980-11-01,2239117.4530121987,2255000.0
1980-12-01,2324221.046909308,2330000.0
1981-01-01,2394456.9751899494,2403000.0
1981-02-01,2464794.545439977,2476000.0
1981-03-01,2536270.2323005027,2544000.0
1981-04-01,2601118.6759622097,2588000.0
1981-05-01,2633275.459183551,2624000.0
1981-06-01,2661273.6873460566,2654000.0
1981-07-01,2684569.4198659607,2684000.0
1981-08-01,2711211.447196473,2713000.0
1981-09-01,2737747.249425379,2740000.0
1981-10-01,2762526.054793884,2761000.0
1981-11-01,2779790.748778225,2780000.0
1981-12-01,2796324.965309689,2792000.0
1982-01-01,2803974.3808037094,2803000.0
1982-02-01,2812704.770550021,2813000.0
1982-03-01,2820977.795131776,2824000.0
1982-04-01,2831501.9910555715,2841000.0
1982-05-01,2850716.3352693366,2857000.0
1982-06-01,2866945.464091181,2877000.0
1982-07-01,2888961.2128922762,2897000.0
1982-08-01,2909682.5630316306,2917000.0
1982-09-01,2930117.900031087,2938000.0
1982-10-01,2951777.5137072653,2960000.0
1982-11-01,2974469.119689996,2976000.0
1982-12-01,2988139.6611043485,2988000.0
1983-01-01,2997648.886795231,2998000.0
1983-02-01,3005668.214485827,3008000.0
1983-03-01,3014680.4955170397,3023000.0
1983-04-01,3031258.8900650134,3049000.0
1983-05-01,3062439.7417229116,3074000.0
1983-06-01,3088906.111046885,3093000.0
1983-07-01,3106318.175145693,3109000.0
1983-08-01,3120658.031689396,3125000.0
1983-09-01,3135925.3301266064,3146000.0
1983-10-01,3158636.4417413524,3167000.0
1983-11-01,3180098.0919623533,3189000.0
1983-12-01,3202825.92668593,3215000.0
1984-01-01,3230856.6661652597,3243000.0
1984-02-01,3260477.093501834,3263000.0
1984-03-01,3277734.501287675,3278000.0
1984-04-01,3289774.1461347695,3265000.0
1984-05-01,3263277.8570093145,3256000.0
1984-06-01,3251024.361107069,3242000.0
1984-07-01,3232297.360578441,3238000.0
1984-08-01,3230510.2171741277,3233000.0
1984-09-01,3225290.8432058794,3229000.0
1984-10-01,3221812.494617043,3217000.0
1984-11-01,3206513.40753593,3206000.0
1984-12-01,3194877.039243238,3195000.0
1985-01-01,3183339.604888996,3180000.0
1985-02-01,3166318.3680468043,3169000.0
1985-03-01,3156312.0240083495,3156000.0
1985-04-01,3142583.8976717745,3152000.0
1985-05-01,3142343.3174054152,3145000.0
1985-06-01,3135279.8212989075,3139000.0
1985-07-01,3130082.4559089914,3137000.0
1985-08-01,3130154.3026995575,3135000.0
1985-09-01,3128963.37651492,3133000.0
1985-10-01,3127471.803438997,3135000.0
1985-11-01,3131505.6092285765,3138000.0
1985-12-01,3135709.9294279357,3143000.0
1986-01-01,3142212.108805717,3150000.0
1986-02-01,3150748.934672393,3151000.0
1986-03-01,3149833.499924846,3154000.0
1986-04-01,3153220.840146014,3159000.0
1986-05-01,3159047.899219485,3168000.0
1986-06-01,3170085.8786962694,3175000.0
1986-07-01,3176995.3498090208,3177000.0
1986-08-01,3176998.2447003787,3171000.0
1986-09-01,3166839.936433671,3165000.0
1986-10-01,3159204.9673565407,3156000.0
1986-11-01,3147885.648882964,3150000.0
1986-12-01,3142173.161338084,3134000.0
1987-01-01,3121658.08623364,3113000.0
1987-02-01,3096934.5092544504,3090000.0
1987-03-01,3071338.252667281,3061000.0
1987-04-01,3038414.7217727816,3021000.0
1987-05-01,2991982.0379198934,2973000.0
1987-06-01,2937881.3556581084,2929000.0
1987-07-01,2892857.867241008,2885000.0
1987-08-01,2847843.679073986,2838000.0
1987-09-01,2799049.6059993226,2788000.0
1987-10-01,2747059.578104371,2741000.0
1987-11-01,2700547.4019894516,2697000.0
1987-12-01,2657859.608751507,2657000.0
1988-01-01,2620139.984687134,2613000.0
1988-02-01,2575384.5790756014,2569000.0
1988-03-01,2531440.4684232376,2526000.0
1988-04-01,2488915.0353104174,2490000.0
1988-05-01,2456190.176452938,2452000.0
1988-06-01,2418555.3956287014,2416000.0
1988-07-01,2383952.4004765055,2385000.0
1988-08-01,2355749.032629794,2361000.0
1988-09-01,2335966.046607924,2333000.0
1988-10-01,2308028.9347353266,2293000.0
1988-11-01,2263341.9158024434,2253000.0
1988-12-01,2221845.833149991,2213000.0
1989-01-01,2180911.9480737476,2179000.0
1989-02-01,2149042.845401778,2140000.0
1989-03-01,2108528.787354137,2106000.0
1989-04-01,2076441.7143771832,2083000.0
1989-05-01,2058814.4233249165,2071000.0
1989-06-01,2053679.0648953447,2057000.0
1989-07-01,2041781.3157383467,2045000.0
1989-08-01,2032184.5889676213,2034000.0
1989-09-01,2022789.9450426036,2027000.0
1989-10-01,2018393.6993643767,2021000.0
1989-11-01,2013944.9677072105,2012000.0
1989-12-01,2004480.062844784,2006000.0
1990-01-01,1999837.2362722028,2004000.0
1990-02-01,2000036.0807911044,2004000.0
1990-03-01,2001808.6013925425,2004000.0
1990-04-01,2002667.3375058733,2002000.0
1990-05-01,2000308.9007383222,2009000.0
1990-06-01,2011223.3166424732,2024000.0
1990-07-01,2031030.893675124,2049000.0
1990-08-01,2062429.311339032,2079000.0
1990-09-01,2097334.7128667803,2115000.0
1990-10-01,2138334.4799186364,2158000.0
1990-11-01,2186663.8135181195,2196000.0
1990-12-01,2224864.6093061147,2244000.0
1991-01-01,2277860.561156043,2306000.0
1991-02-01,2347720.2962770695,2378000.0
1991-03-01,2427235.2235434605,2442000.0
1991-04-01,2491129.6310092187,2492000.0
1991-05-01,2535794.059819187,2540000.0
1991-06-01,2581108.1562003647,2585000.0
1991-07-01,2623265.220463553,2624000.0
1991-08-01,2658254.609596189,2652000.0
1991-09-01,2679679.784854915,2675000.0
1991-10-01,2697726.0974656558,2697000.0
1991-11-01,2716802.9496789156,2714000.0
1991-12-01,2729973.219981649,2735000.0
1992-01-01,2750982.0719868275,2762000.0
1992-02-01,2780121.982600595,2782000.0
1992-03-01,2797718.145322667,2795738.3616648186
1992-04-01,2808081.1031164075,2777367.6537507586
1992-05-01,2774320.1330663003,2802624.909081269
1992-06-01,2812892.819616476,2816125.839176409
1992-07-01,2824214.1177515797,2814524.837473295
1992-08-01,2816419.939801493,2849869.0811370304
1992-09-01,2865635.7245207783,2898811.3351645404
1992-10-01,2924604.4230687995,2931640.310575964
1992-11-01,2955163.698523147,2982756.298484552
1992-12-01,3014618.7514703185,3023283.177939596
1993-01-01,3053274.176068348,3003526.829351812
1993-02-01,3007411.267654326,2988474.594998896
1993-03-01,2985311.6616099104,2952045.22199257
1993-04-01,2934452.790615179,2930980.8022586056
1993-05-01,2914051.296810639,2927004.434041789
1993-06-01,2916145.938428031,2906235.043010229
1993-07-01,2890027.080690268,2890124.4196563703
1993-08-01,2874728.92340172,2891900.4717580564
1993-09-01,2884126.649892439,2885450.0054422794
1993-10-01,2876753.422615056,2892462.821669126
1993-11-01,2890106.884210676,2892170.017870608
1993-12-01,2888827.867844335,2845123.1009252453
1994-01-01,2821736.596109771,2806083.664283388
1994-02-01,2779293.633574346,2769350.7089075325
1994-03-01,2740374.576254477,2749738.1624632194
1994-04-01,2726890.00671086,2735968.4604138164
1994-05-01,2717508.489928937,2705398.8967254297
1994-06-01,2681755.3468832877,2690974.1270217574
1994-07-01,2673139.729929817,2639303.730102255
1994-08-01,2606820.4140556655,2607866.1325672576
1994-09-01,2579731.5111203413,2555635.7381248027
1994-10-01,2518560.330139069,2520664.921598131
1994-11-01,2488342.87523063,2497059.2345813457
1994-12-01,2470495.920943524,2495887.745276613
1995-01-01,2481495.4528594785,2497190.347036775
1995-02-01,2488735.974872797,2489847.099940832
1995-03-01,2481022.479280793,2472717.208390305
1995-04-01,2460302.1436328497,2444536.370531641
1995-05-01,2426156.3251181897,2447892.2048378093
1995-06-01,2440857.4334368696,2438575.1944878697
1995-07-01,2429284.968743968,2447352.640106525
1995-08-01,2446255.957537055,2437556.876603631
1995-09-01,2431108.332107554,2421327.834016967
1995-10-01,2411071.320443947,2352932.053670103
1995-11-01,2318223.266839292,2376522.96617042
1995-12-01,2373046.4150232496,2356961.1201987835
1996-01-01,2342899.0775391464,2330347.96157683
1996-02-01,2312457.554340112,2349604.8213174185
1996-03-01,2349687.9556526877,2347223.3761610007
1996-04-01,2343594.1986583825,2340218.745356001
1996-05-01,2335082.694303896,2314475.6812637
1996-06-01,2300521.37503058,2285187.2856414355
1996-07-01,2266497.451813171,2285175.200813237
1996-08-01,2276703.345356117,2287364.364559601
1996-09-01,2282779.69891856,2262203.6930120923
1996-10-01,2248026.539750076,2229194.5136054475
1996-11-01,2208842.6068508644,2181411.47108168
1996-12-01,2151616.599534843,2131321.116504971
1997-01-01,2096562.7653565018,2084653.189530508
1997-02-01,2048665.6905555234,2052044.992933704
1997-03-01,2021168.9612179582,2047477.669380749
1997-04-01,2030417.0324470543,2050844.593827629
1997-05-01,2042530.1214541679,2083380.534301848
1997-06-01,2092281.7681838195,2022185.9306591183
1997-07-01,1997288.2494194952,1950969.6880711168
1997-08-01,1912008.9431696986,1908852.364958507
1997-09-01,1874562.8082696854,1886827.801365747
1997-10-01,1861091.6983400092,1864179.8592035545
