Start Date,Prediction,Actual
1971-01-01,24483861.458333317,24613000.0
1971-02-01,24671189.464530632,24575000.0
1971-03-01,24587263.732672837,24559000.0
1971-04-01,24558472.269987565,24556000.0
1971-05-01,24551500.416568976,24541000.0
1971-06-01,24539609.066261277,24508000.0
1971-07-01,24494329.931238793,24464000.0
1971-08-01,24439193.21764415,24424000.0
1971-09-01,24394005.927422073,24398000.0
1971-10-01,24374634.71657952,24395000.0
1971-11-01,24385024.458043773,24416000.0
1971-12-01,24422892.499938667,24455000.0
1972-01-01,24474864.28086179,24501000.0
1972-02-01,24522873.30060083,24529000.0
1972-03-01,24541564.2282848,24539000.0
1972-04-01,24548032.01749129,24542000.0
1972-05-01,24545778.70549212,24541000.0
1972-06-01,24549798.63002199,24557000.0
1972-07-01,24567188.598203626,24585000.0
1972-08-01,24601096.347745772,24614000.0
1972-09-01,24634964.03401578,24643000.0
1972-10-01,24672128.15177292,24689000.0
1972-11-01,24730291.555055298,24748000.0
1972-12-01,24801470.088857554,24825000.0
1973-01-01,24888350.036591705,24903000.0
1973-02-01,24964242.27335768,24962000.0
1973-03-01,25011015.103210777,24986000.0
1973-04-01,25023641.229245994,24986000.0
1973-05-01,25007280.91805577,24975000.0
1973-06-01,24991609.69926656,24965000.0
1973-07-01,24971069.43157446,24972000.0
1973-08-01,24977846.209938306,24984000.0
1973-09-01,24992276.82298409,24997000.0
1973-10-01,25012320.93611112,24999000.0
1973-11-01,25015903.167473283,25000000.0
1973-12-01,25017239.313840434,24995000.0
1974-01-01,25005923.443652157,24984000.0
1974-02-01,24979798.001552995,24984000.0
1974-03-01,24969604.90797255,24985000.0
1974-04-01,24973400.189174242,25002000.0
1974-05-01,24997422.18655206,25020000.0
1974-06-01,25030206.403721172,25044000.0
1974-07-01,25058133.570122067,25066000.0
1974-08-01,25082418.48479553,25077000.0
1974-09-01,25091816.640272476,25075000.0
1974-10-01,25089211.467321634,25065000.0
1974-11-01,25076967.08374734,25044000.0
1974-12-01,25050281.86185435,25018000.0
1975-01-01,25014413.297194164,24996000.0
1975-02-01,24978590.258320436,24980000.0
1975-03-01,24951366.72786846,24965000.0
1975-04-01,24938543.97010387,24955000.0
1975-05-01,24931227.941307813,24945000.0
1975-06-01,24932868.11533565,24934000.0
1975-07-01,24921351.914259985,24918000.0
1975-08-01,24903626.237227872,24897000.0
1975-09-01,24880556.736005902,24880000.0
1975-10-01,24868633.424171392,24864000.0
1975-11-01,24857288.05744502,24847000.0
1975-12-01,24842653.393047486,24825000.0
1976-01-01,24816063.3371138,24809000.0
1976-02-01,24790299.58609354,24793000.0
1976-03-01,24763544.71088567,24788000.0
1976-04-01,24764453.74516364,24779000.0
1976-05-01,24757498.582735255,24776000.0
1976-06-01,24767727.988373954,24772000.0
1976-07-01,24764370.80254446,24768000.0
1976-08-01,24761100.35194198,24771000.0
1976-09-01,24767873.074394595,24779000.0
1976-10-01,24785054.35597678,24788000.0
1976-11-01,24801401.432131015,24797000.0
1976-12-01,24814848.071517132,24800000.0
1977-01-01,24814355.105648648,24803000.0
1977-02-01,24806105.223502826,24801000.0
1977-03-01,24790667.95319736,24799000.0
1977-04-01,24788759.39417754,24802000.0
1977-05-01,24793337.812921565,24800000.0
1977-06-01,24800342.84438822,24804000.0
1977-07-01,24804780.068636086,24809000.0
1977-08-01,24810747.028314162,24813000.0
1977-09-01,24815832.007390272,24818000.0
1977-10-01,24826805.104731698,24822000.0
1977-11-01,24835409.798478976,24833000.0
1977-12-01,24851496.430674884,24844000.0
1978-01-01,24861645.75859131,24862000.0
1978-02-01,24872528.067610245,24874000.0
1978-03-01,24873477.948330875,24886000.0
1978-04-01,24887020.184926886,24897000.0
1978-05-01,24898425.471202448,24908000.0
1978-06-01,24919447.250768315,24919000.0
1978-07-01,24929486.160319034,24941000.0
1978-08-01,24954962.46245419,24975000.0
1978-09-01,24996292.671293993,25017000.0
1978-10-01,25050782.69927102,25059000.0
1978-11-01,25102066.286463097,25087000.0
1978-12-01,25130768.817892388,25106000.0
1979-01-01,25142898.734985296,25113000.0
1979-02-01,25132115.423846576,25121000.0
1979-03-01,25124575.996694393,25136000.0
1979-04-01,25140604.576639127,25159000.0
1979-05-01,25166948.573166996,25186000.0
1979-06-01,25207267.808809653,25211000.0
1979-07-01,25232920.888571236,25229000.0
1979-08-01,25249020.6578667,25248000.0
1979-09-01,25267893.950254045,25265000.0
1979-10-01,25288985.945909407,25280000.0
1979-11-01,25307100.845053375,25280000.0
1979-12-01,25303590.254796837,25270000.0
1980-01-01,25283607.88254181,25250000.0
1980-02-01,25244607.09437979,25235000.0
1980-03-01,25214593.676094107,25215000.0
1980-04-01,25191711.41103065,25190000.0
1980-05-01,25162959.894565392,25160000.0
1980-06-01,25138426.005566277,25110000.0
1980-07-01,25077797.643789787,25050000.0
1980-08-01,25007466.4207923,24985000.0
1980-09-01,24934720.890088283,24915000.0
1980-10-01,24862819.02271564,24855000.0
1980-11-01,24806196.439146638,24785000.0
1980-12-01,24734807.970872756,24720000.0
1981-01-01,24666434.61479547,24661000.0
1981-02-01,24598468.4778655,24606000.0
1981-03-01,24534500.174134657,24549000.0
1981-04-01,24479555.66433408,24495000.0
1981-05-01,24427859.117946174,24444000.0
1981-06-01,24388948.07507885,24398000.0
1981-07-01,24345609.75994362,24355000.0
1981-08-01,24305452.40673716,24311000.0
1981-09-01,24263645.02201526,24261000.0
1981-10-01,24217881.318587646,24209000.0
1981-11-01,24168847.422465537,24169000.0
1981-12-01,24134994.31999516,24139000.0
1982-01-01,24108300.702582378,24120000.0
1982-02-01,24086419.143049553,24092000.0
1982-03-01,24048826.556147255,24067000.0
1982-04-01,24027122.725121163,24027000.0
1982-05-01,23984016.9353973,23992000.0
1982-06-01,23958145.474787813,23949000.0
1982-07-01,23911460.250837047,23901000.0
1982-08-01,23859271.51461731,23852000.0
1982-09-01,23807874.6383954,23803000.0
1982-10-01,23762279.42054784,23755000.0
1982-11-01,23717869.117498122,23712000.0
1982-12-01,23678899.075944625,23675000.0
1983-01-01,23642439.1099794,23651000.0
1983-02-01,23614354.97920611,23636000.0
1983-03-01,23595439.90737342,23630000.0
1983-04-01,23598374.017269127,23647000.0
1983-05-01,23629475.01257594,23687000.0
1983-06-01,23695990.46501075,23741000.0
1983-07-01,23765509.39213996,23809000.0
1983-08-01,23848420.158123247,23879000.0
1983-09-01,23929483.316259876,23947000.0
1983-10-01,24008858.521969814,23994000.0
1983-11-01,24056937.325076293,24044000.0
1983-12-01,24108468.348386243,24085000.0
1984-01-01,24143204.02702846,24125000.0
1984-02-01,24169695.446373146,24165000.0
1984-03-01,24196463.935208116,24208000.0
1984-04-01,24240246.373013854,24245000.0
1984-05-01,24275913.372320242,24275000.0
1984-06-01,24311731.926380184,24305000.0
1984-07-01,24338977.58725395,24335000.0
1984-08-01,24367026.20633036,24370000.0
1984-09-01,24403228.335387312,24400000.0
1984-10-01,24437137.644441966,24435000.0
1984-11-01,24477718.452497657,24470000.0
1984-12-01,24516070.015561577,24490000.0
1985-01-01,24529003.87521688,24515000.0
1985-02-01,24541987.597940713,24540000.0
1985-03-01,24554734.604960952,24554000.0
1985-04-01,24565138.197819177,24570000.0
1985-05-01,24579787.12871729,24590000.0
1985-06-01,24609483.855848216,24610000.0
1985-07-01,24629354.54742055,24625000.0
1985-08-01,24642328.991149105,24635000.0
1985-09-01,24649872.11944364,24650000.0
1985-10-01,24669936.289626505,24660000.0
1985-11-01,24682782.066743247,24660000.0
1985-12-01,24680779.902772617,24670000.0
1986-01-01,24689120.365850464,24670000.0
1986-02-01,24675396.781690523,24675000.0
1986-03-01,24668618.917132758,24683000.0
1986-04-01,24678321.213004652,24695000.0
1986-05-01,24693163.664438713,24720000.0
1986-06-01,24733638.850627713,24740000.0
1986-07-01,24755654.243706506,24770000.0
1986-08-01,24790185.9522477,24800000.0
1986-09-01,24823850.46526074,24830000.0
1986-10-01,24861011.77579434,24850000.0
1986-11-01,24883498.859794844,24875000.0
1986-12-01,24911594.403478023,24900000.0
1987-01-01,24934620.650508586,24925000.0
1987-02-01,24949339.72824794,24970000.0
1987-03-01,24989929.70887826,25031000.0
1987-04-01,25061978.222960435,25110000.0
1987-05-01,25154918.97032149,25190000.0
1987-06-01,25253271.64620686,25270000.0
1987-07-01,25339084.36554138,25345000.0
1987-08-01,25415666.753647413,25420000.0
1987-09-01,25492382.952319577,25495000.0
1987-10-01,25573218.019258,25575000.0
1987-11-01,25660245.46417851,25655000.0
1987-12-01,25744511.004151832,25730000.0
1988-01-01,25816562.194939222,25795000.0
