Start Date,Prediction,Actual
1971-01-01,39743507.927354395,40513000.0
1971-02-01,39766100.408637166,40531000.0
1971-03-01,39786506.520763576,40550000.0
1971-04-01,39809099.00204635,40568000.0
1971-05-01,39830962.69361037,40587000.0
1971-06-01,39853555.17489314,40605000.0
1971-07-01,39875418.866457164,40618000.0
1971-08-01,39898011.347739935,40631000.0
1971-09-01,39920603.829022706,40645000.0
1971-10-01,39942467.52058673,40658000.0
1971-11-01,39965060.0018695,40671000.0
1971-12-01,39986923.69343346,40684000.0
1972-01-01,40009516.174716294,40697000.0
1972-02-01,40032108.655999064,40710000.0
1972-03-01,40053243.55784422,40723000.0
1972-04-01,40075836.03912705,40736000.0
1972-05-01,40097699.730691016,40750000.0
1972-06-01,40120292.21197379,40763000.0
1972-07-01,40142155.90353781,40777000.0
1972-08-01,40164748.38482058,40792000.0
1972-09-01,40187340.86610341,40807000.0
1972-10-01,40209204.557667375,40821000.0
1972-11-01,40231797.038950145,40836000.0
1972-12-01,40253660.73051417,40851000.0
1973-01-01,40276253.21179694,40865000.0
1973-02-01,40298845.69307971,40880000.0
1973-03-01,40319251.80520612,40895000.0
1973-04-01,40341844.28648889,40909000.0
1973-05-01,40363707.978052914,40924000.0
1973-06-01,40386300.459335685,40939000.0
1973-07-01,40408164.15089965,40952000.0
1973-08-01,40430756.63218248,40965000.0
1973-09-01,40453349.11346525,40978000.0
1973-10-01,40475212.80502921,40991000.0
1973-11-01,40497805.28631204,41004000.0
1973-12-01,40519668.97787601,41018000.0
1974-01-01,40542261.45915884,41031000.0
1974-02-01,40564853.94044161,41044000.0
1974-03-01,40585260.05256796,41057000.0
1974-04-01,40607852.53385079,41070000.0
1974-05-01,40629716.22541475,41083000.0
1974-06-01,40652308.70669758,41096000.0
1974-07-01,40674172.39826155,41112000.0
1974-08-01,40696764.87954432,41127000.0
1974-09-01,40719357.36082715,41142000.0
1974-10-01,40741221.05239111,41158000.0
1974-11-01,40763813.53367388,41173000.0
1974-12-01,40785677.225237906,41189000.0
1975-01-01,40808269.70652068,41204000.0
1975-02-01,40830862.18780345,41219000.0
1975-03-01,40851268.29992986,41235000.0
1975-04-01,40873860.78121263,41250000.0
1975-05-01,40895724.47277665,41265000.0
1975-06-01,40918316.95405942,41281000.0
1975-07-01,40940180.645623386,41300000.0
1975-08-01,40962773.126906216,41319000.0
1975-09-01,40985365.60818899,41338000.0
1975-10-01,41007229.29975301,41358000.0
1975-11-01,41029821.78103578,41377000.0
1975-12-01,41051685.472599745,41396000.0
1976-01-01,41074277.953882575,41415000.0
1976-02-01,41096870.435165346,41435000.0
1976-03-01,41118005.3370105,41454000.0
1976-04-01,41140597.81829333,41473000.0
1976-05-01,41162461.5098573,41492000.0
1976-06-01,41185053.99114007,41512000.0
1976-07-01,41206917.68270409,41535000.0
1976-08-01,41229510.16398686,41558000.0
1976-09-01,41252102.64526969,41581000.0
1976-10-01,41273966.336833656,41604000.0
1976-11-01,41296558.81811643,41627000.0
1976-12-01,41318422.50968045,41650000.0
1977-01-01,41341014.99096322,41674000.0
1977-02-01,41363607.47224599,41697000.0
1977-03-01,41384013.5843724,41720000.0
1977-04-01,41406606.06565517,41743000.0
1977-05-01,41428469.757219195,41766000.0
1977-06-01,41451062.238501966,41789000.0
1977-07-01,41472925.93006593,41813000.0
1977-08-01,41495518.41134876,41837000.0
1977-09-01,41518110.89263153,41862000.0
1977-10-01,41539974.584195495,41886000.0
1977-11-01,41562567.065478325,41910000.0
1977-12-01,41584430.75704229,41934000.0
1978-01-01,41607023.23832512,41958000.0
1978-02-01,41629615.71960789,41982000.0
1978-03-01,41650021.83173424,42006000.0
1978-04-01,41672614.31301707,42030000.0
1978-05-01,41694478.004581034,42054000.0
1978-06-01,41717070.485863864,42079000.0
1978-07-01,41738934.17742783,42105000.0
1978-08-01,41761526.6587106,42132000.0
1978-09-01,41784119.13999343,42159000.0
1978-10-01,41805982.83155739,42186000.0
1978-11-01,41828575.31284016,42213000.0
1978-12-01,41850439.00440419,42240000.0
1979-01-01,41873031.48568696,42267000.0
1979-02-01,41895623.96696973,42294000.0
1979-03-01,41916030.07909614,42321000.0
1979-04-01,41938622.56037891,42348000.0
1979-05-01,41960486.25194293,42375000.0
1979-06-01,41983078.7332257,42402000.0
1979-07-01,42004942.42478967,42432000.0
1979-08-01,42027534.9060725,42462000.0
1979-09-01,42050127.38735527,42491000.0
1979-10-01,42071991.07891929,42521000.0
1979-11-01,42094583.56020206,42551000.0
