Start Date,Prediction,Actual
1971-01-01,24981604.84188956,25593000.0
1971-02-01,24996253.34456098,25573000.0
1971-03-01,25009484.250199735,25582000.0
1971-04-01,25024132.752871215,25600000.0
1971-05-01,25038308.723198414,25603000.0
1971-06-01,25052957.225869894,25576000.0
1971-07-01,25067133.196197152,25539000.0
1971-08-01,25081781.698868573,25515000.0
1971-09-01,25096430.201540053,25511000.0
1971-10-01,25110606.17186725,25528000.0
1971-11-01,25125254.67453873,25560000.0
1971-12-01,25139430.64486599,25605000.0
1972-01-01,25154079.14753741,25656000.0
1972-02-01,25168727.65020889,25690000.0
1972-03-01,25182431.088191867,25694000.0
1972-04-01,25197079.590863347,25682000.0
1972-05-01,25211255.561190546,25663000.0
1972-06-01,25225904.063862026,25664000.0
1972-07-01,25240080.034189224,25685000.0
1972-08-01,25254728.536860704,25706000.0
1972-09-01,25269377.039532185,25728000.0
1972-10-01,25283553.009859383,25758000.0
1972-11-01,25298201.512530863,25796000.0
1972-12-01,25312377.48285806,25848000.0
1973-01-01,25327025.985529542,25904000.0
1973-02-01,25341674.488201022,25949000.0
1973-03-01,25354905.393839777,25963000.0
1973-04-01,25369553.896511197,25954000.0
1973-05-01,25383729.866838455,25932000.0
1973-06-01,25398378.369509876,25908000.0
1973-07-01,25412554.339837134,25899000.0
1973-08-01,25427202.842508614,25898000.0
1973-09-01,25441851.345180035,25898000.0
1973-10-01,25456027.315507293,25887000.0
1973-11-01,25470675.818178713,25891000.0
1973-12-01,25484851.78850597,25899000.0
1974-01-01,25499500.29117745,25908000.0
1974-02-01,25514148.793848872,25916000.0
1974-03-01,25527379.699487627,25919000.0
1974-04-01,25542028.202159107,25940000.0
1974-05-01,25556204.172486305,25961000.0
1974-06-01,25570852.675157785,25995000.0
1974-07-01,25585028.645484984,26024000.0
1974-08-01,25599677.148156464,26042000.0
1974-09-01,25614325.650827944,26044000.0
1974-10-01,25628501.621155143,26041000.0
1974-11-01,25643150.123826623,26033000.0
1974-12-01,25657326.09415382,26025000.0
1975-01-01,25671974.5968253,26025000.0
1975-02-01,25686623.09949678,26036000.0
1975-03-01,25699854.005135536,26054000.0
1975-04-01,25714502.507806957,26081000.0
1975-05-01,25728678.478134215,26107000.0
1975-06-01,25743326.980805635,26127000.0
1975-07-01,25757502.951132894,26139000.0
1975-08-01,25772151.453804374,26149000.0
1975-09-01,25786799.956475794,26167000.0
1975-10-01,25800975.926803052,26183000.0
1975-11-01,25815624.429474473,26190000.0
1975-12-01,25829800.39980173,26188000.0
1976-01-01,25844448.90247321,26187000.0
1976-02-01,25859097.40514463,26185000.0
1976-03-01,25872800.84312761,26193000.0
1976-04-01,25887449.34579909,26192000.0
1976-05-01,25901625.316126287,26195000.0
1976-06-01,25916273.818797767,26196000.0
1976-07-01,25930449.789125025,26198000.0
1976-08-01,25945098.291796446,26203000.0
1976-09-01,25959746.794467926,26210000.0
1976-10-01,25973922.764795125,26220000.0
1976-11-01,25988571.267466605,26232000.0
1976-12-01,26002747.237793863,26236000.0
1977-01-01,26017395.740465283,26239000.0
1977-02-01,26032044.243136764,26238000.0
1977-03-01,26045275.148775518,26240000.0
1977-04-01,26059923.651446998,26254000.0
1977-05-01,26074099.621774197,26267000.0
1977-06-01,26088748.124445677,26285000.0
1977-07-01,26102924.094772875,26302000.0
1977-08-01,26117572.597444355,26312000.0
1977-09-01,26132221.100115836,26319000.0
1977-10-01,26146397.070443034,26321000.0
1977-11-01,26161045.573114514,26326000.0
1977-12-01,26175221.543441713,26328000.0
