Start Date,Prediction,Actual
1971-01-01,2055918.1802030234,980000.0
1971-02-01,2055609.0429855995,998000.0
1971-03-01,2055329.8222730868,1023000.0
1971-04-01,2055020.685055662,1045000.0
1971-05-01,2054721.520006542,1062000.0
1971-06-01,2054412.3827891173,1068000.0
1971-07-01,2054113.2177399965,1076000.0
1971-08-01,2053804.0805225726,1090000.0
1971-09-01,2053494.9433051478,1113000.0
1971-10-01,2053195.778256027,1133000.0
1971-11-01,2052886.6410386031,1143000.0
1971-12-01,2052587.4759894824,1149000.0
1972-01-01,2052278.3387720576,1155000.0
1972-02-01,2051969.2015546337,1161000.0
1972-03-01,2051680.008673817,1155000.0
1972-04-01,2051370.871456392,1140000.0
1972-05-01,2051071.7064072723,1122000.0
1972-06-01,2050762.5691898474,1107000.0
1972-07-01,2050463.4041407267,1100000.0
1972-08-01,2050154.2669233028,1092000.0
1972-09-01,2049845.129705878,1085000.0
1972-10-01,2049545.9646567572,1070000.0
1972-11-01,2049236.8274393333,1049000.0
1972-12-01,2048937.6623902125,1024000.0
1973-01-01,2048628.5251727877,1002000.0
1973-02-01,2048319.3879553638,987000.0
1973-03-01,2048040.167242851,977000.0
1973-04-01,2047731.0300254263,968000.0
1973-05-01,2047431.8649763064,957000.0
1973-06-01,2047122.7277588816,943000.0
1973-07-01,2046823.5627097609,927000.0
1973-08-01,2046514.425492337,913000.0
1973-09-01,2046205.2882749122,901000.0
1973-10-01,2045906.1232257914,888000.0
1973-11-01,2045596.9860083675,892000.0
1973-12-01,2045297.8209592467,904000.0
1974-01-01,2044988.683741822,923000.0
1974-02-01,2044679.546524398,931000.0
1974-03-01,2044400.3258118853,933000.0
1974-04-01,2044091.1885944605,937000.0
1974-05-01,2043792.0235453406,941000.0
1974-06-01,2043482.8863279158,951000.0
1974-07-01,2043183.721278795,958000.0
1974-08-01,2042874.5840613712,965000.0
1974-09-01,2042565.4468439464,969000.0
1974-10-01,2042266.2817948256,976000.0
1974-11-01,2041957.1445774017,989000.0
1974-12-01,2041657.979528281,1007000.0
1975-01-01,2041348.842310856,1029000.0
