Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,40528382.03983617,40474917.63571438,40581820.70173244,40513000.0
1971-02-01,40541538.89344856,40487041.918604836,40596163.16539275,40531000.0
1971-03-01,40549695.79973554,40493793.512468204,40605961.235557064,40550000.0
1971-04-01,40567073.5964716,40512522.1980196,40621071.505468465,40568000.0
1971-05-01,40586265.94865032,40530266.07461981,40636564.43100349,40587000.0
1971-06-01,40600027.19663494,40548829.14439461,40653164.05014567,40605000.0
1971-07-01,40613137.27172545,40554979.09895768,40668616.77305951,40618000.0
1971-08-01,40626271.098966815,40573577.15095227,40680501.61919758,40631000.0
1971-09-01,40638678.184336096,40584845.81556262,40691970.65242135,40645000.0
1971-10-01,40652571.73945032,40599828.56721531,40705729.72912823,40658000.0
1971-11-01,40667347.27131882,40614353.84063484,40721012.71952157,40671000.0
1971-12-01,40683098.08380272,40628535.65710272,40737792.093445,40684000.0
1972-01-01,40696829.10574983,40642714.375683464,40751739.11200492,40697000.0
1972-02-01,40709917.2709804,40655206.42794195,40763395.18206964,40710000.0
1972-03-01,40727829.194306694,40671217.65678422,40783358.537461996,40723000.0
1972-04-01,40737846.310610294,40684412.51545573,40787039.64566273,40736000.0
1972-05-01,40747513.2496799,40692583.530443415,40800533.340299286,40750000.0
1972-06-01,40763844.26504513,40708971.893670134,40815716.33468233,40763000.0
1972-07-01,40779535.14836482,40723016.73294939,40835432.55946662,40777000.0
1972-08-01,40794851.01776355,40739623.36979952,40850524.87812691,40792000.0
1972-09-01,40808989.44635404,40755367.239878014,40861316.67583572,40807000.0
1972-10-01,40822741.292775765,40766708.16708473,40877568.028386116,40821000.0
1972-11-01,40834990.39251504,40781288.81827371,40889389.54749509,40836000.0
1972-12-01,40847824.45433605,40795910.55365308,40901244.17855236,40851000.0
1973-01-01,40859560.73062343,40803394.796843484,40910607.55378118,40865000.0
1973-02-01,40872647.443474166,40820488.15931583,40925343.85634222,40880000.0
1973-03-01,40891145.86597635,40834447.57340414,40946386.632570244,40895000.0
1973-04-01,40903507.9048138,40850400.25889311,40956113.00628903,40909000.0
1973-05-01,40916375.127887316,40863349.74328695,40966036.53855305,40924000.0
1973-06-01,40931908.57429937,40876498.97576308,40986103.35947908,40939000.0
1973-07-01,40946757.6750444,40896436.53325473,41003248.639591865,40952000.0
1973-08-01,40961337.53992189,40905470.96982687,41014759.50711348,40965000.0
1973-09-01,40974870.365619406,40920800.64786271,41028227.55923241,40978000.0
1973-10-01,40988630.32598417,40932361.59716078,41042993.3674563,40991000.0
1973-11-01,41001700.662942864,40948356.98039913,41053051.33137928,41004000.0
1973-12-01,41015517.52250066,40961001.34646675,41071565.49556155,41018000.0
1974-01-01,41027953.952695586,40976656.42036567,41081679.39048843,41031000.0
1974-02-01,41041106.743896164,40986800.05172024,41096525.43591961,41044000.0
1974-03-01,41054404.20712037,40993549.093600936,41107771.54881104,41057000.0
1974-04-01,41069220.65446759,41012576.849858016,41124282.512557186,41070000.0
1974-05-01,41085264.50337058,41031641.638585076,41141336.02197718,41083000.0
1974-06-01,41099941.264115654,41049720.19314745,41149168.7420142,41096000.0
1974-07-01,41116125.69650001,41061564.982265025,41166320.57823595,41112000.0
1974-08-01,41132247.08149908,41073542.00523653,41183601.09359032,41127000.0
1974-09-01,41147471.798812576,41093463.451369524,41197609.168412745,41142000.0
1974-10-01,41163473.28416514,41108803.24133446,41214992.45050338,41158000.0
1974-11-01,41179653.580811225,41122355.5734425,41232896.076947674,41173000.0
1974-12-01,41196637.52243936,41142564.9942864,41250481.528086595,41189000.0
1975-01-01,41212006.54337604,41157023.864049055,41268250.44819892,41204000.0
1975-02-01,41227426.863183536,41171783.14302974,41282284.09632851,41219000.0
1975-03-01,41237628.19054996,41186772.99393962,41290962.522535786,41235000.0
1975-04-01,41257269.45348113,41201213.14596363,41307857.46270815,41250000.0
1975-05-01,41278652.2568164,41226525.606151655,41334824.32762179,41265000.0
1975-06-01,41294676.97099613,41241289.36277209,41347507.53123637,41281000.0
1975-07-01,41309977.49724319,41256453.61657479,41360009.848710015,41300000.0
1975-08-01,41325374.79067964,41272241.03736159,41376230.844259545,41319000.0
1975-09-01,41340045.34224403,41283773.35588995,41392802.3609776,41338000.0
1975-10-01,41356129.348514795,41303837.44528543,41411102.181696884,41358000.0
1975-11-01,41373168.34657842,41323046.213372864,41425468.94521955,41377000.0
1975-12-01,41391109.61021886,41338566.55350438,41447461.08931119,41396000.0
1976-01-01,41407104.098361075,41353487.966986865,41460426.3723192,41415000.0
1976-02-01,41422455.729786746,41366213.784853965,41479152.87636737,41435000.0
1976-03-01,41448758.702117495,41395113.53770226,41503633.72293647,41454000.0
1976-04-01,41467745.560460344,41411224.27364006,41519125.54162993,41473000.0
1976-05-01,41486092.8950518,41432547.23212512,41540709.06008116,41492000.0
1976-06-01,41511393.652456276,41457735.36009314,41564830.19802264,41512000.0
1976-07-01,41535764.93129782,41479652.98727979,41591726.600563474,41535000.0
1976-08-01,41560050.542735785,41504551.32275526,41614471.839141265,41558000.0
1976-09-01,41583158.713365525,41528999.21005374,41635669.32441047,41581000.0
1976-10-01,41605596.62582146,41549753.31084805,41666184.20133859,41604000.0
1976-11-01,41626821.327129416,41572797.31556589,41678257.04012901,41627000.0
1976-12-01,41648341.45498463,41596316.94539681,41703193.502308935,41650000.0
1977-01-01,41669053.33284069,41618746.39154006,41724630.339824185,41674000.0
1977-02-01,41691115.647260115,41640078.34583186,41746824.74417319,41697000.0
