Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,14997835.817938179,14873641.362382859,15114838.406690862,14919000.0
1971-02-01,15000054.06438808,14875587.152861668,15115216.36458647,14959000.0
1971-03-01,15006773.897853596,14879449.952721663,15123839.366368951,14968000.0
1971-04-01,15005301.097398125,14875890.456209708,15132165.536696475,14968000.0
1971-05-01,15017650.37886776,14895167.73815368,15147846.205462823,14984000.0
1971-06-01,15026053.48867859,14901613.342269761,15137972.884727424,15029000.0
1971-07-01,15018553.80729237,14899837.236987397,15153491.690085737,15079000.0
1971-08-01,15021217.361371018,14899478.68585971,15139578.50981819,15117000.0
1971-09-01,15022724.427901685,14890924.505502276,15140813.57504098,15134000.0
1971-10-01,15028096.215278473,14904693.227493115,15151030.344849825,15130000.0
1971-11-01,15028790.589290496,14908161.043296542,15151998.443551963,15111000.0
1971-12-01,15023819.172072047,14906447.606643463,15150823.495251754,15079000.0
1972-01-01,15021575.478568885,14899805.076484954,15152791.803870471,15041000.0
1972-02-01,15023438.601857664,14896774.874822224,15157279.313480463,15020000.0
1972-03-01,15024104.984537313,14891910.8680613,15139293.484918293,15029000.0
1972-04-01,15040779.948849577,14922084.931294762,15154841.99612141,15055000.0
1972-05-01,15033157.345896712,14914158.3019743,15155374.461715572,15087000.0
1972-06-01,15041063.514232565,14920805.654161323,15161881.83137401,15099000.0
1972-07-01,15057001.537139263,14931892.192847343,15181083.882400688,15092000.0
1972-08-01,15058405.865691977,14926428.065350298,15180136.588498686,15086000.0
1972-09-01,15046106.599925566,14918422.736607818,15169382.4929347,15079000.0
1972-10-01,15047704.508052384,14927733.524043944,15173916.67994556,15063000.0
1972-11-01,15048562.813993946,14933675.911928708,15174611.636744795,15040000.0
1972-12-01,15048604.8633123,14922241.918526642,15167548.25355974,15002000.0
1973-01-01,15053869.675072182,14935294.557263074,15173501.161063984,14961000.0
1973-02-01,15057095.32745689,14932100.819467219,15183336.741024178,14931000.0
1973-03-01,15052866.464145534,14923899.37890516,15168284.644407433,14932000.0
1973-04-01,15063478.79845805,14937776.111153657,15188138.535620898,14955000.0
1973-05-01,15062486.004681371,14935197.490911013,15173058.0753879,14992000.0
1973-06-01,15070730.028295724,14956156.488591284,15198206.709163418,15030000.0
1973-07-01,15078850.141661087,14955492.772758648,15205368.505948843,15053000.0
1973-08-01,15080501.789214445,14957599.008872917,15205841.167587481,15067000.0
1973-09-01,15072756.066919189,14941485.858650276,15196444.230930315,15080000.0
1973-10-01,15075686.901207576,14947598.663203675,15203021.999471478,15104000.0
1973-11-01,15076561.224640807,14955786.15662738,15195179.17652763,15113000.0
1973-12-01,15074982.00661502,14957582.294607267,15205791.661897939,15119000.0
1974-01-01,15077713.814325541,14951969.528222447,15196367.272913007,15123000.0
1974-02-01,15080386.292714939,14958416.743741537,15208403.773460437,15128000.0
1974-03-01,15081646.24741227,14957532.116629548,15203435.469194142,15138000.0
1974-04-01,15086208.035105357,14962856.434968235,15211043.710597714,15131000.0
1974-05-01,15091874.649409274,14976285.02068286,15217132.64233966,15122000.0
1974-06-01,15100284.21823624,14974925.361239953,15231766.871340116,15102000.0
1974-07-01,15108479.990213519,14985920.066754524,15238815.929452494,15088000.0
1974-08-01,15118705.693937778,14990831.581770621,15243430.389216943,15085000.0
1974-09-01,15123718.41778198,15009448.56690354,15251415.471575694,15098000.0
1974-10-01,15135799.668473845,15007437.20153279,15258888.997664412,15117000.0
1974-11-01,15144773.715646021,15020135.551857295,15269362.281278687,15140000.0
1974-12-01,15149413.700110069,15030684.235169046,15264826.381809095,15164000.0
1975-01-01,15157795.92706522,15030730.849502677,15281841.97195798,15179000.0
1975-02-01,15168168.590901533,15050047.612389904,15288207.132198576,15184000.0
1975-03-01,15182253.704587039,15056020.973756414,15301520.516320242,15180000.0
1975-04-01,15188935.321517982,15059141.772923436,15309060.26302717,15169000.0
1975-05-01,15209175.974651888,15091378.288702661,15326288.35059998,15158000.0
1975-06-01,15225733.501849132,15107791.96041988,15345172.261969212,15154000.0
1975-07-01,15226125.192127187,15103921.158880075,15352965.536993153,15161000.0
1975-08-01,15236943.163592245,15120026.257380763,15361322.137296705,15170000.0
1975-09-01,15246604.647509329,15119310.05733513,15368818.211652668,15172000.0
1975-10-01,15259867.806550391,15135336.607225006,15381765.419185264,15175000.0
1975-11-01,15268716.597948825,15143258.945276057,15397615.65193016,15187000.0
1975-12-01,15271636.552394649,15147613.812733546,15392641.399680626,15208000.0
1976-01-01,15277547.276277903,15158611.726185123,15408531.341873439,15228000.0
1976-02-01,15287564.816953095,15167468.104794344,15407936.886622032,15250000.0
1976-03-01,15297033.343659999,15172263.276953604,15415485.477093358,15261000.0
1976-04-01,15323117.496415189,15202273.971276736,15444902.474782152,15281000.0
1976-05-01,15324600.55969741,15200525.583978077,15453437.322783316,15298000.0
1976-06-01,15341915.916476183,15216036.445606034,15461154.443549694,15315000.0
1976-07-01,15366959.605617972,15244807.752398053,15482227.930376643,15336000.0
1976-08-01,15377773.122613603,15239041.852211488,15500230.30420141,15355000.0
1976-09-01,15374883.04529012,15252742.012350425,15494812.134354426,15371000.0
1976-10-01,15385586.618942928,15261300.310972223,15501852.308272485,15384000.0
1976-11-01,15395854.11259468,15266206.018821906,15516004.905368581,15395000.0
1976-12-01,15405001.82743902,15286223.060256377,15535335.55287597,15414000.0
1977-01-01,15419675.826909099,15290400.81034703,15532994.333127564,15434000.0
1977-02-01,15432310.667003995,15312804.920210123,15558428.690392004,15459000.0
1977-03-01,15436580.42485023,15320406.805649316,15565781.061993664,15480000.0
1977-04-01,15456601.946872931,15330118.104420878,15582789.51410915,15489000.0
1977-05-01,15464714.818622246,15344455.875496317,15588956.057148512,15499000.0
1977-06-01,15482368.029946793,15360313.426414156,15597437.626663648,15504000.0
1977-07-01,15499593.808838148,15381307.195069,15621105.464728002,15511000.0
1977-08-01,15510654.644101689,15391544.065803392,15640741.978849074,15526000.0
1977-09-01,15512318.10951663,15393428.256263949,15631124.483077861,15542000.0
1977-10-01,15524354.609331004,15398464.053511351,15644843.87023276,15565000.0
1977-11-01,15534638.120474422,15404410.64576949,15665718.807239922,15584000.0
1977-12-01,15542072.667007731,15417877.389704654,15663818.066259822,15606000.0
1978-01-01,15554118.698095987,15427636.20127395,15672329.808796745,15622000.0
1978-02-01,15566105.399863116,15449372.265844744,15698332.919982258,15639000.0
1978-03-01,15575778.201482266,15455516.946702804,15702097.450458514,15654000.0
1978-04-01,15589654.21255309,15467698.299202757,15709952.429122034,15670000.0
1978-05-01,15604334.591416107,15486775.773246452,15731895.341069011,15687000.0
1978-06-01,15622058.383620797,15496276.058512395,15747011.492158866,15701000.0
1978-07-01,15631376.549201995,15509991.812006231,15747098.419396363,15709000.0
1978-08-01,15642762.059650311,15529017.109083245,15753582.38342419,15708000.0
1978-09-01,15648934.590218564,15524795.887514427,15759802.72360678,15708000.0
1978-10-01,15662138.234514344,15539397.230335135,15775769.672261104,15706000.0
1978-11-01,15672272.088410577,15547027.376806125,15800481.201565964,15713000.0
1978-12-01,15678034.466478543,15562023.721149698,15800687.254587296,15718000.0
1979-01-01,15687576.500157746,15565314.276757728,15812781.934141448,15734000.0
1979-02-01,15699108.97071811,15580169.104389833,15820888.346657967,15759000.0
1979-03-01,15714241.651767276,15586741.529125243,15831296.932430627,15780000.0
1979-04-01,15722083.075422266,15600446.611422276,15845874.718820732,15783000.0
1979-05-01,15743446.1221601,15620914.042426689,15867352.008762786,15773000.0
1979-06-01,15761163.456081389,15632484.132307315,15885235.336085519,15769000.0
1979-07-01,15762677.539963365,15640247.94958643,15878888.497219188,15773000.0
1979-08-01,15774655.317218233,15648606.567442412,15893765.190194497,15772000.0
1979-09-01,15785476.606925122,15666673.469612181,15907815.771469248,15773000.0
1979-10-01,15799862.158665998,15674707.352532275,15920324.994745111,15770000.0
1979-11-01,15809870.755854243,15695859.336239481,15931646.572429802,15781000.0
1979-12-01,15813913.102999885,15690562.782444762,15926023.650249192,15789000.0
1980-01-01,15820983.632672941,15709785.018244524,15942248.51030296,15802000.0
1980-02-01,15832160.979137942,15712453.504211795,15958352.537058039,15802000.0
1980-03-01,15841540.667369545,15716404.124285992,15959248.118393624,15806000.0
1980-04-01,15867529.854858026,15751434.2730913,15986238.48640371,15809000.0
1980-05-01,15868921.016269252,15740234.826087233,15996445.08884965,15812000.0
1980-06-01,15886141.407781329,15761152.344428567,16014434.813976424,15820000.0
1980-07-01,15911093.195052117,15780270.332757054,16036031.131327113,15829000.0
1980-08-01,15921811.746781047,15804676.499575939,16043655.569241203,15836000.0
1980-09-01,15918826.704190858,15797220.207000654,16028126.062913146,15844000.0
1980-10-01,15929438.37597267,15811565.479716225,16046468.226538619,15837000.0
1980-11-01,15939610.904357718,15818911.861340191,16073736.190346632,15847000.0
1980-12-01,15948666.71733106,15826929.467791926,16074757.005635114,15863000.0
1981-01-01,15963245.751534428,15835495.551055994,16071765.061947228,15876000.0
1981-02-01,15975785.62636263,15846842.563453648,16096382.626898225,15883000.0
1981-03-01,15979969.609129261,15860469.39519903,16098014.922366757,15898000.0
1981-04-01,15999896.165885264,15890789.134851273,16116535.00165107,15935000.0
1981-05-01,16025935.28597317,15904303.708227653,16147897.156218823,15975000.0
1981-06-01,16062112.28724759,15936948.99614104,16183075.033503233,16016000.0
