Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,24474421.664948482,24234743.777765676,24706225.887705553,24613000.0
1971-02-01,24484821.245404553,24231008.365328036,24708526.238646116,24575000.0
1971-03-01,24497160.697032414,24256261.711217996,24738771.643707287,24559000.0
1971-04-01,24512437.246899992,24271402.80993487,24749326.732404158,24556000.0
1971-05-01,24515593.524970774,24269876.027508207,24764442.50137845,24541000.0
1971-06-01,24520441.31039091,24283636.333276894,24739749.04112875,24508000.0
1971-07-01,24537035.007028908,24278679.01746935,24775530.179919362,24464000.0
1971-08-01,24552916.462208044,24305300.153645683,24795370.741499346,24424000.0
1971-09-01,24563542.30383701,24312923.533424873,24810039.15720468,24398000.0
1971-10-01,24578822.434941832,24318502.92471336,24820414.359859616,24395000.0
1971-11-01,24587245.230863668,24340035.691903453,24827167.74270262,24416000.0
1971-12-01,24605956.07429033,24352321.008939695,24855900.74497337,24455000.0
1972-01-01,24622136.814165276,24396586.151310034,24874299.08300726,24501000.0
1972-02-01,24631279.286511105,24389774.065704554,24852574.251598254,24529000.0
1972-03-01,24646694.717284992,24410322.186903737,24888472.920924447,24539000.0
1972-04-01,24644485.649927534,24403124.76162031,24875174.648395535,24542000.0
1972-05-01,24671950.337948255,24437184.687090334,24919163.372886475,24541000.0
1972-06-01,24680232.373586956,24442917.823927805,24917993.972498573,24557000.0
1972-07-01,24680361.49666238,24427670.747884013,24916641.099438775,24585000.0
1972-08-01,24687484.508406352,24446218.639343858,24914855.28896509,24614000.0
1972-09-01,24717092.807454463,24477797.0383153,24956497.408467628,24643000.0
1972-10-01,24722314.584715735,24485293.415186796,24955457.112449806,24689000.0
1972-11-01,24741524.031140987,24502804.905392386,24980040.647590917,24748000.0
1972-12-01,24753029.15453493,24526245.91151714,25005184.88205381,24825000.0
1973-01-01,24767560.419579316,24528712.89047396,25001294.366640612,24903000.0
1973-02-01,24780462.76082021,24565615.27730202,25030103.694909763,24962000.0
1973-03-01,24792980.680598896,24558242.901969526,25043089.938239384,24986000.0
1973-04-01,24796697.882107396,24552127.658889182,25044179.92561884,24986000.0
1973-05-01,24816134.81021975,24582994.980252218,25039049.884730205,24975000.0
1973-06-01,24823103.81457543,24591330.681366652,25067037.702000473,24965000.0
1973-07-01,24828652.367406566,24583414.94601148,25067185.76128236,24972000.0
1973-08-01,24838833.386052616,24599796.84002158,25062752.536140718,24984000.0
1973-09-01,24862150.094341658,24631145.40667006,25104229.181140684,24997000.0
1973-10-01,24870695.295645174,24636350.207481846,25110506.10212949,24999000.0
1973-11-01,24886300.263360128,24639906.034238774,25131777.51364007,25000000.0
1973-12-01,24900155.152895764,24673422.573009238,25134114.106981993,24995000.0
1974-01-01,24915268.631162174,24677996.135951027,25156614.432951953,24984000.0
1974-02-01,24926921.89536953,24674484.399155997,25161351.692346673,24984000.0
1974-03-01,24939322.504496872,24703734.180391125,25191391.577115025,24985000.0
1974-04-01,24948869.732105326,24719059.34836804,25206324.24150861,25002000.0
1974-05-01,24960201.01004483,24706299.54181642,25202369.75829454,25020000.0
1974-06-01,24966024.61973771,24726316.340677258,25217850.60162315,25044000.0
1974-07-01,24960818.30079491,24723855.765575662,25202458.416558467,25066000.0
1974-08-01,24957132.94714754,24707993.483172532,25177987.85235643,25077000.0
1974-09-01,24957333.374584284,24711852.84176522,25199248.425721932,25075000.0
1974-10-01,24952986.268521894,24701534.849414647,25180128.168243118,25065000.0
1974-11-01,24948207.820277277,24713040.14035179,25196595.944874175,25044000.0
1974-12-01,24948219.878263164,24689244.039098617,25192428.999277297,25018000.0
1975-01-01,24947096.53052321,24709680.678536877,25179698.457433596,24996000.0
1975-02-01,24940709.167836957,24701160.96997671,25182423.404906243,24980000.0
1975-03-01,24937886.21920724,24684274.213210482,25200106.003486082,24965000.0
