Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,580505.9156199862,196417.42887104338,965066.318466143,980000.0
1971-02-01,596003.7657990626,192663.73619258997,962892.4353106315,998000.0
1971-03-01,595032.8357587343,193821.283004635,961044.3795248929,1023000.0
1971-04-01,613854.693704017,218861.58281830957,1006798.142707336,1045000.0
1971-05-01,631379.0719675526,235960.49414004566,1043807.6140034415,1062000.0
1971-06-01,645716.1443477036,233375.5020179248,1039370.2226192048,1068000.0
1971-07-01,661898.9632264272,296595.19898711785,1063249.002514995,1076000.0
1971-08-01,670832.968742976,270295.4376392441,1077876.0575934874,1090000.0
1971-09-01,685121.68122393,282902.44509918406,1043722.5267409488,1113000.0
1971-10-01,692748.4300302719,295046.5890628984,1112343.341309938,1133000.0
1971-11-01,712540.8111571664,338238.1303732209,1094866.3868647106,1143000.0
1971-12-01,729668.2865094737,338368.0787353347,1110158.3392333244,1149000.0
1972-01-01,757738.9917784313,377287.49652470736,1138775.7914400112,1155000.0
1972-02-01,774845.679722986,379360.134916397,1184194.812491584,1161000.0
1972-03-01,790237.5433147302,391353.08390986617,1179864.4198511653,1155000.0
1972-04-01,798081.8225106733,415695.5994783305,1203624.0212608476,1140000.0
1972-05-01,800381.9988108248,424578.5250393089,1182030.9651023173,1122000.0
1972-06-01,812167.2878434408,418900.2715176954,1218250.5086193325,1107000.0
1972-07-01,824666.0154136069,446054.92805735127,1218479.3091744909,1100000.0
1972-08-01,845281.6667646441,478879.056551783,1212462.8754568659,1092000.0
1972-09-01,857823.9597653536,461206.53594298766,1245989.7806820015,1085000.0
1972-10-01,878661.4917819379,475296.0241594133,1263755.38483112,1070000.0
1972-11-01,888379.1166199709,499724.90886359767,1288749.2245168255,1049000.0
1972-12-01,905003.3601551853,507312.139139758,1282617.042684247,1024000.0
1973-01-01,917007.5647690586,531049.3875026195,1312599.4298693163,1002000.0
1973-02-01,928576.7124569283,526877.2602184481,1291566.3864310638,987000.0
1973-03-01,955543.390020238,570563.6275686277,1345515.3368218492,977000.0
1973-04-01,966811.5414896515,566147.1096100587,1358013.4059638202,968000.0
1973-05-01,974157.2099596708,607007.7692137733,1351286.4097406154,957000.0
1973-06-01,986862.7831475128,595034.1374094386,1380998.7459628852,943000.0
1973-07-01,1000703.7214822996,612956.6486756383,1374506.9186119128,927000.0
1973-08-01,1017467.8150921002,630899.2187273552,1398546.0635747425,913000.0
1973-09-01,1030587.5182659535,630585.4617744057,1407942.6946645116,901000.0
1973-10-01,1046942.3200782924,667246.504642461,1417477.1515142983,888000.0
1973-11-01,1059926.4370657282,693873.6611418308,1445978.8592659594,892000.0
1973-12-01,1076676.550132592,688592.1987751187,1465850.3271250867,904000.0
1974-01-01,1094080.066657619,712751.7076801654,1498494.447374978,923000.0
1974-02-01,1107731.8951017072,750506.426941622,1511100.7170883962,931000.0
1974-03-01,1120715.680907427,745526.9875139145,1507843.579778681,933000.0
1974-04-01,1135643.8381969705,748558.3692962538,1521142.442581794,937000.0
1974-05-01,1148066.8085666853,755382.0632645027,1520701.5774606757,941000.0
1974-06-01,1161623.9493512458,793389.3187671,1546542.0506604586,951000.0
1974-07-01,1176693.2478503678,767977.8694003948,1577457.2832255776,958000.0
