Start Date,Prediction,Actual
1971-01-01,0.0,40513000.0
1971-02-01,-40512664.68225847,40531000.0
1971-03-01,40337861.40050119,40550000.0
1971-04-01,39946748.59921687,40568000.0
1971-05-01,40059422.62650053,40587000.0
1971-06-01,40075880.94225625,40605000.0
1971-07-01,40095172.56195673,40618000.0
1971-08-01,40108972.45334538,40631000.0
1971-09-01,40118545.514604636,40645000.0
1971-10-01,40132022.15423392,40658000.0
1971-11-01,40145843.281666614,40671000.0
1971-12-01,40158028.23653775,40684000.0
1972-01-01,80837711.37396622,40697000.0
1972-02-01,53618700.93491985,40710000.0
1972-03-01,13208951.422400966,40723000.0
1972-04-01,41936684.79902949,40736000.0
1972-05-01,40750633.002686135,40750000.0
1972-06-01,40764351.27692066,40763000.0
1972-07-01,40772414.73928731,40777000.0
1972-08-01,40784368.9955192,40792000.0
1972-09-01,40803933.63989693,40807000.0
1972-10-01,40818914.60117388,40821000.0
1972-11-01,40832247.096832745,40836000.0
1972-12-01,40846882.87000362,40851000.0
1973-01-01,40862512.29692476,40865000.0
1973-02-01,40876838.446333915,40880000.0
1973-03-01,40890819.40763698,40895000.0
1973-04-01,40906448.83455812,40909000.0
1973-05-01,40921774.98396726,40924000.0
1973-06-01,40935107.47962612,40939000.0
1973-07-01,40950743.25279701,40952000.0
1973-08-01,40966427.28278553,40965000.0
1973-09-01,40977827.07401122,40978000.0
1973-10-01,40989197.64709008,40991000.0
1973-11-01,41002871.49768093,41004000.0
1973-12-01,41016890.53637787,41018000.0
1974-01-01,41028909.57510092,41031000.0
1974-02-01,41043577.07944206,41044000.0
1974-03-01,41056941.30627119,41057000.0
1974-04-01,41068311.87935003,41070000.0
1974-05-01,41081985.72994089,41083000.0
1974-06-01,41096004.76863783,41096000.0
1974-07-01,41106375.34171668,41112000.0
1974-08-01,41120643.05488437,41127000.0
1974-09-01,41139230.57115923,41142000.0
1974-10-01,41153550.37434476,41158000.0
1974-11-01,41169173.4550423,41173000.0
1974-12-01,41186141.72384592,41189000.0
1975-01-01,41200461.52703146,41204000.0
1975-02-01,41215436.14208479,41219000.0
1975-03-01,41230410.75713814,41235000.0
1975-04-01,41246033.83783569,41250000.0
1975-05-01,41262002.1066393,41265000.0
1975-06-01,41276321.90982484,41281000.0
1975-07-01,41294944.990522385,41300000.0
1975-08-01,41313561.72497021,41319000.0
1975-09-01,41332172.113194436,41338000.0
1975-10-01,41352776.15516893,41358000.0
1975-11-01,41371725.38527561,41377000.0
1975-12-01,41391674.61538229,41396000.0
1976-01-01,41409975.37984477,41415000.0
1976-02-01,41427930.95620119,41435000.0
