Start Date,Prediction,Actual
1971-01-01,0.0,14919000.0
1971-02-01,1566516.8402044566,14959000.0
1971-03-01,1562652.521558365,14968000.0
1971-04-01,1531117.3844783702,14968000.0
1971-05-01,1531014.5265299787,14984000.0
1971-06-01,1532673.6720340045,15029000.0
1971-07-01,1537395.972500588,15079000.0
1971-08-01,1542594.5660964956,15117000.0
1971-09-01,1546460.180589805,15134000.0
1971-10-01,1548111.493498974,15130000.0
1971-11-01,1547592.9593215159,15111000.0
1971-12-01,1545556.8320641078,15079000.0
1972-01-01,16461211.147191238,15041000.0
1972-02-01,14929779.785440594,15020000.0
1972-03-01,14937724.879335778,15029000.0
1972-04-01,14974093.130887281,15055000.0
1972-05-01,14992974.071177967,15087000.0
1972-06-01,15039646.528823609,15099000.0
1972-07-01,15086109.30804816,15092000.0
1972-08-01,15118091.239206469,15086000.0
1972-09-01,15130567.082727764,15079000.0
1972-10-01,15124198.722238557,15063000.0
1972-11-01,15104052.926818723,15040000.0
1972-12-01,15071695.09517076,15002000.0
1973-01-01,15033095.064939907,14961000.0
1973-02-01,15011791.59978789,14931000.0
1973-03-01,15019861.324824726,14932000.0
1973-04-01,15045030.976938073,14955000.0
1973-05-01,15076740.37216524,14992000.0
1973-06-01,15089286.388840789,15030000.0
1973-07-01,15085024.572252633,15053000.0
1973-08-01,15082156.305239934,15067000.0
1973-09-01,15077184.556259522,15080000.0
1973-10-01,15063206.613087215,15104000.0
1973-11-01,15044355.021538641,15113000.0
1973-12-01,15009655.554126045,15119000.0
1974-01-01,14973171.517823754,15123000.0
1974-02-01,14947807.795561789,15128000.0
1974-03-01,14952363.528250255,15138000.0
1974-04-01,14976187.70402925,15131000.0
1974-05-01,15009946.382136272,15122000.0
1974-06-01,15043100.394215075,15102000.0
1974-07-01,15060093.632851008,15088000.0
1974-08-01,15070337.14592726,15085000.0
1974-09-01,15081704.460672911,15098000.0
1974-10-01,15105800.403948287,15117000.0
1974-11-01,15114316.218584158,15140000.0
1974-12-01,15121789.413126925,15164000.0
1975-01-01,15127688.464820972,15179000.0
1975-02-01,15133804.202740656,15184000.0
1975-03-01,15143756.564201152,15180000.0
1975-04-01,15135258.39446622,15169000.0
1975-05-01,15125842.927109627,15158000.0
1975-06-01,15105668.16720352,15154000.0
1975-07-01,15093360.230785472,15161000.0
1975-08-01,15092566.590293685,15170000.0
1975-09-01,15106781.50972368,15172000.0
1975-10-01,15124570.10209943,15175000.0
1975-11-01,15145863.179549191,15187000.0
1975-12-01,15168739.443049483,15208000.0
1976-01-01,15183466.913395636,15228000.0
1976-02-01,15189020.222769925,15250000.0
1976-03-01,15186812.486999197,15261000.0
1976-04-01,15177370.864481328,15281000.0
1976-05-01,15169582.411152136,15298000.0
1976-06-01,15168477.866177633,15315000.0
1976-07-01,15177599.770712003,15336000.0
1976-08-01,15187995.723609833,15355000.0
1976-09-01,15190990.754863631,15371000.0
1976-10-01,15195424.622702645,15384000.0
1976-11-01,15208446.39385182,15395000.0
1976-12-01,15229303.729719883,15414000.0
1977-01-01,15249069.569401933,15434000.0
1977-02-01,15271072.706182798,15459000.0
1977-03-01,15282392.874376148,15480000.0
1977-04-01,15303442.83686819,15489000.0
1977-05-01,15319275.89131766,15499000.0
1977-06-01,15335519.749749152,15504000.0
1977-07-01,15355287.734652266,15511000.0
1977-08-01,15372837.556397477,15526000.0
1977-09-01,15388451.259835843,15542000.0
1977-10-01,15401486.704192529,15565000.0
1977-11-01,15413547.449104816,15584000.0
1977-12-01,15433384.736749565,15606000.0
1978-01-01,15453672.910622818,15622000.0
1978-02-01,15478231.996078666,15639000.0
1978-03-01,15498385.298091322,15654000.0
1978-04-01,15506767.232426401,15670000.0
1978-05-01,15517524.51218667,15687000.0
1978-06-01,15523272.34191943,15701000.0
1978-07-01,15531198.774220446,15709000.0
1978-08-01,15546283.683589002,15708000.0
1978-09-01,15560579.818449792,15708000.0
1978-10-01,15581901.400498144,15706000.0
1978-11-01,15598318.38865678,15713000.0
1978-12-01,15619104.880989356,15718000.0
1979-01-01,15633383.152532814,15734000.0
1979-02-01,15650418.323318694,15759000.0
1979-03-01,15666300.465662723,15780000.0
1979-04-01,15682928.254925964,15783000.0
1979-05-01,15698540.362377314,15773000.0
1979-06-01,15709692.607660474,15769000.0
1979-07-01,15715841.900387214,15773000.0
1979-08-01,15714493.479081847,15772000.0
1979-09-01,15714538.647036852,15773000.0
1979-10-01,15712653.472766569,15770000.0
1979-11-01,15719548.01769453,15781000.0
1979-12-01,15724966.34826118,15789000.0
1980-01-01,15741282.673792379,15802000.0
1980-02-01,15765956.584977942,15802000.0
1980-03-01,15784322.797816211,15806000.0
1980-04-01,15785552.177797265,15809000.0
1980-05-01,15775618.950277682,15812000.0
1980-06-01,15773026.603278697,15820000.0
1980-07-01,15778283.240627106,15829000.0
1980-08-01,15777772.914301844,15836000.0
1980-09-01,15779582.795854848,15844000.0
1980-10-01,15777303.532751586,15837000.0
1980-11-01,15787861.206444865,15847000.0
1980-12-01,15795740.499778979,15863000.0
1981-01-01,15809591.393369116,15876000.0
1981-02-01,15809591.000743555,15883000.0
1981-03-01,15814307.268466694,15898000.0
1981-04-01,15818460.921327561,15935000.0
1981-05-01,15825013.495150927,15975000.0
1981-06-01,15836863.534135388,16016000.0
1981-07-01,15849236.195081998,16045000.0
1981-08-01,15858236.64738428,16076000.0
1981-09-01,15868671.820038822,16114000.0
1981-10-01,15864767.79541371,16160000.0
1981-11-01,15880269.278568553,16197000.0
1981-12-01,15899015.403274821,16230000.0
1982-01-01,15913663.772433493,16254000.0
1982-02-01,15921748.261599282,16287000.0
1982-03-01,15939435.709375676,16315000.0
1982-04-01,15977766.120731752,16354000.0
1982-05-01,16017908.533377118,16389000.0
1982-06-01,16058350.715144314,16427000.0
1982-07-01,16087032.311654175,16476000.0
1982-08-01,16120147.567601938,16526000.0
1982-09-01,16160144.741984367,16575000.0
1982-10-01,16207245.541565929,16622000.0
1982-11-01,16244300.574258244,16670000.0
1982-12-01,16278429.604867587,16715000.0
1983-01-01,16303684.517197702,16750000.0
1983-02-01,16337809.66545998,16776000.0
1983-03-01,16365040.897398176,16788000.0
1983-04-01,16402334.993984949,16765000.0
1983-05-01,16430841.325185686,16721000.0
1983-06-01,16460599.033518448,16670000.0
1983-07-01,16500423.541908834,16608000.0
1983-08-01,16538980.658107772,16545000.0
1983-09-01,16576359.643733848,16478000.0
1983-10-01,16611477.508637775,16434000.0
1983-11-01,16650228.847447706,16384000.0
1983-12-01,16685242.940520538,16340000.0
1984-01-01,16711144.650870945,16296000.0
1984-02-01,16729111.222366596,16258000.0
1984-03-01,16734628.918330556,16224000.0
1984-04-01,16707008.849554224,16222000.0
1984-05-01,16665387.807156214,16225000.0
1984-06-01,16619432.016959043,16231000.0
1984-07-01,16563355.20134729,16228000.0
1984-08-01,16506421.85720283,16220000.0
1984-09-01,16445043.089655701,16218000.0
1984-10-01,16407711.89338595,16217000.0
1984-11-01,16362074.644417364,16216000.0
1984-12-01,16323051.463935494,16230000.0
1985-01-01,16285025.564783098,16243000.0
1985-02-01,16252876.801636044,16251000.0
1985-03-01,16223550.389888048,16273000.0
1985-04-01,16227281.312700668,16284000.0
1985-05-01,16231516.05435218,16294000.0
1985-06-01,16238111.050667137,16302000.0
1985-07-01,16235287.182650896,16307000.0
1985-08-01,16228110.277523726,16317000.0
1985-09-01,16227994.43056457,16321000.0
1985-10-01,16227599.243224747,16328000.0
1985-11-01,16227394.186439632,16342000.0
1985-12-01,16242953.309487967,16345000.0
1986-01-01,16254772.444736326,16356000.0
1986-02-01,16262529.659326902,16367000.0
1986-03-01,16284872.411497755,16373000.0
1986-04-01,16294194.580372639,16375000.0
1986-05-01,16303247.015541608,16358000.0
1986-06-01,16308451.328852953,16348000.0
1986-07-01,16311590.897981375,16335000.0
1986-08-01,16319771.04683645,16328000.0
1986-09-01,16322034.419726705,16323000.0
1986-10-01,16328138.256727492,16330000.0
1986-11-01,16342182.758486131,16328000.0
1986-12-01,16343523.00248,16337000.0
1987-01-01,16355159.262318661,16351000.0
1987-02-01,16366511.345462272,16347000.0
1987-03-01,16370919.169271914,16333000.0
1987-04-01,16370815.128054876,16312000.0
1987-05-01,16351441.301339297,16298000.0
1987-06-01,16341813.343359858,16279000.0
1987-07-01,16327922.276045695,16261000.0
1987-08-01,16320392.649155755,16245000.0
1987-09-01,16314470.372772614,16233000.0
1987-10-01,16320749.988816516,16212000.0
1987-11-01,16315831.477818122,16189000.0
1987-12-01,16322651.231693836,16166000.0
1988-01-01,16333363.440430865,16158000.0
1988-02-01,16327113.53653187,16149000.0
1988-03-01,16312673.579355571,16152000.0
