Start Date,Prediction,Actual
1971-01-01,0.0,980000.0
1971-02-01,952291.8349930672,998000.0
1971-03-01,967106.0096823103,1023000.0
1971-04-01,988496.4578881733,1045000.0
1971-05-01,1010209.6258098611,1062000.0
1971-06-01,1024830.3853229978,1068000.0
1971-07-01,1027221.7481786968,1076000.0
1971-08-01,1033247.1243843312,1090000.0
1971-09-01,1048341.0036979803,1113000.0
1971-10-01,1073470.045092619,1133000.0
1971-11-01,1093661.5702728003,1143000.0
1971-12-01,1100483.2560571823,1149000.0
1972-01-01,2083466.8263447226,1155000.0
1972-02-01,952048.2987741688,1161000.0
1972-03-01,993312.253139247,1155000.0
1972-04-01,1162315.0730153094,1140000.0
1972-05-01,1138983.6222372039,1122000.0
1972-06-01,1110777.9741074305,1107000.0
1972-07-01,1102130.1933512427,1100000.0
1972-08-01,1105723.6703973631,1092000.0
1972-09-01,1107242.2648556426,1085000.0
1972-10-01,1095432.261391569,1070000.0
1972-11-01,1069307.1458743622,1049000.0
1972-12-01,1045561.1123734283,1024000.0
1973-01-01,1022627.5394701513,1002000.0
1973-02-01,1002475.1737737723,987000.0
1973-03-01,978472.6479005731,977000.0
1973-04-01,964707.0638408437,968000.0
1973-05-01,957857.2033884379,957000.0
1973-06-01,951663.448849062,943000.0
1973-07-01,944486.7604767604,927000.0
1973-08-01,924534.378680129,913000.0
1973-09-01,910567.4696244218,901000.0
1973-10-01,891564.4674917136,888000.0
1973-11-01,874210.954504953,892000.0
1973-12-01,879539.205313533,904000.0
1974-01-01,899946.1784392842,923000.0
1974-02-01,927349.6115781583,931000.0
1974-03-01,936160.3910441943,933000.0
1974-04-01,932838.9276299104,937000.0
1974-05-01,932437.8983454173,941000.0
1974-06-01,933431.4450786302,951000.0
1974-07-01,942774.8901642293,958000.0
1974-08-01,952274.1248221477,965000.0
1974-09-01,959755.2649759749,969000.0
1974-10-01,960598.7337562536,976000.0
1974-11-01,983691.8400119602,989000.0
1974-12-01,1002638.7826735212,1007000.0
1975-01-01,1024652.6358362709,1029000.0
1975-02-01,1034299.5244795604,1055000.0
1975-03-01,1056278.543953698,1089000.0
1975-04-01,1096832.2931752605,1126000.0
1975-05-01,1135289.8866370888,1162000.0
1975-06-01,1175901.8669623071,1193000.0
1975-07-01,1200399.1681355108,1221000.0
1975-08-01,1225438.7538280685,1252000.0
1975-09-01,1253083.1580796365,1286000.0
1975-10-01,1290699.3454096753,1319000.0
1975-11-01,1328845.468710883,1343000.0
1975-12-01,1353320.039486987,1363000.0
1976-01-01,1372427.849536864,1379000.0
1976-02-01,1389224.4891505355,1392000.0
1976-03-01,1407726.3847352702,1405000.0
1976-04-01,1421535.0529929565,1413000.0
1976-05-01,1426494.4389633816,1419000.0
1976-06-01,1427039.180616319,1425000.0
1976-07-01,1432012.3178438577,1430000.0
1976-08-01,1442368.880334647,1432000.0
1976-09-01,1447651.5269799526,1431000.0
1976-10-01,1444682.466422958,1432000.0
1976-11-01,1437570.1354205073,1435000.0
1976-12-01,1440449.3157609187,1436000.0
1977-01-01,1440765.8435577797,1436000.0
1977-02-01,1439481.5216706959,1437000.0
1977-03-01,1442436.3878590488,1441000.0
1977-04-01,1443231.9588247265,1452000.0
1977-05-01,1455314.6903099008,1467000.0
1977-06-01,1473514.8104337666,1481000.0
1977-07-01,1487084.8699516626,1493000.0
1977-08-01,1495379.613980599,1498000.0
1977-09-01,1496182.5575841009,1502000.0
1977-10-01,1501658.5986202096,1499000.0
1977-11-01,1499220.7203879743,1493000.0
1977-12-01,1488805.7490879332,1484000.0
1978-01-01,1478067.8168374265,1474000.0
1978-02-01,1469303.2741675524,1469000.0
1978-03-01,1468439.1992333229,1466000.0
1978-04-01,1473268.3243680033,1463000.0
1978-05-01,1473130.275059084,1459000.0
1978-06-01,1466515.4833595916,1459000.0
1978-07-01,1465269.5896642737,1455000.0
1978-08-01,1455447.8572805992,1449000.0
1978-09-01,1449639.5764296239,1435000.0
1978-10-01,1428800.4508963227,1421000.0
1978-11-01,1412491.8193681152,1413000.0
1978-12-01,1404878.0832637784,1417000.0
1979-01-01,1412327.840863072,1420000.0
1979-02-01,1422600.6447021714,1414000.0
1979-03-01,1415557.0427632276,1405000.0
1979-04-01,1403073.7582530696,1405000.0
1979-05-01,1402989.2840235757,1415000.0
1979-06-01,1420514.9656005658,1422000.0
1979-07-01,1423746.0393907765,1430000.0
1979-08-01,1429022.0491558171,1441000.0
1979-09-01,1433345.0989590816,1453000.0
1979-10-01,1447168.5266977162,1471000.0
1979-11-01,1472829.4189512134,1490000.0
1979-12-01,1502712.7458903252,1521000.0
1980-01-01,1530627.5572715679,1558000.0
1980-02-01,1558729.9696498134,1603000.0
1980-03-01,1603634.0461119513,1648000.0
1980-04-01,1659207.448968447,1700000.0
1980-05-01,1719128.0880800113,1756000.0
1980-06-01,1768480.0360460877,1828000.0
1980-07-01,1841784.6584548266,1905000.0
1980-08-01,1923319.4222479404,1989000.0
1980-09-01,2006861.095454168,2077000.0
1980-10-01,2099055.2326809135,2169000.0
1980-11-01,2189043.7360012243,2255000.0
1980-12-01,2282285.4914313387,2330000.0
1981-01-01,2355033.7238229187,2403000.0
1981-02-01,2428415.460876165,2476000.0
1981-03-01,2496959.7677510716,2544000.0
1981-04-01,2568377.2033296516,2588000.0
1981-05-01,2608941.734859679,2624000.0
1981-06-01,2653308.548931681,2654000.0
1981-07-01,2682979.8076402526,2684000.0
1981-08-01,2716727.759232061,2713000.0
1981-09-01,2749353.4824989354,2740000.0
1981-10-01,2780109.555454352,2761000.0
1981-11-01,2794784.101796707,2780000.0
1981-12-01,2804622.177624695,2792000.0
1982-01-01,2818926.1448132154,2803000.0
1982-02-01,2833526.462532834,2813000.0
1982-03-01,2841163.574683918,2824000.0
1982-04-01,2831712.972343046,2841000.0
1982-05-01,2849599.19832069,2857000.0
1982-06-01,2867636.8030726,2877000.0
1982-07-01,2891582.451991212,2897000.0
1982-08-01,2912888.5576462205,2917000.0
1982-09-01,2931490.312477863,2938000.0
1982-10-01,2947594.051747038,2960000.0
1982-11-01,2969659.3900825866,2976000.0
1982-12-01,2979222.478592708,2988000.0
1983-01-01,2990130.7952256855,2998000.0
1983-02-01,2999517.4607513994,3008000.0
1983-03-01,3010549.646547994,3023000.0
1983-04-01,3032450.114283639,3049000.0
1983-05-01,3058923.881799642,3074000.0
1983-06-01,3088483.7573054396,3093000.0
1983-07-01,3105321.861580107,3109000.0
1983-08-01,3118947.653586597,3125000.0
1983-09-01,3135552.4105509478,3146000.0
1983-10-01,3158434.1167645585,3167000.0
1983-11-01,3174009.023047079,3189000.0
1983-12-01,3193109.5493119303,3215000.0
1984-01-01,3219597.4697150975,3243000.0
1984-02-01,3249222.4454266876,3263000.0
1984-03-01,3272788.297939764,3278000.0
1984-04-01,3295078.106351277,3265000.0
1984-05-01,3272251.485739539,3256000.0
1984-06-01,3252452.8024866325,3242000.0
1984-07-01,3238012.636510953,3238000.0
1984-08-01,3237913.818635861,3233000.0
1984-09-01,3241030.287903515,3229000.0
1984-10-01,3237019.5861504306,3217000.0
1984-11-01,3224901.414382859,3206000.0
1984-12-01,3217793.692015279,3195000.0
1985-01-01,3209479.6687233215,3180000.0
1985-02-01,3186226.0481494884,3169000.0
1985-03-01,3173055.186318968,3156000.0
1985-04-01,3136161.7097042794,3152000.0
1985-05-01,3144500.88617236,3145000.0
1985-06-01,3137838.0686830315,3139000.0
1985-07-01,3141503.984236249,3137000.0
1985-08-01,3138226.129839291,3135000.0
