Start Date,Prediction,Actual
1971-01-01,63.132877,63.2
1971-02-01,63.132877,63.1
1971-03-01,63.132877,63.1
1971-04-01,63.10015,63.1
1971-05-01,63.10015,63.1
1971-06-01,62.900352,63.0
1971-07-01,62.900352,62.9
1971-08-01,62.900352,62.8
1971-09-01,62.801888,62.8
1971-10-01,62.801888,62.8
1971-11-01,62.900192,62.8
1971-12-01,62.900192,62.9
1972-01-01,62.900192,63.0
1972-02-01,63.098316,63.1
1972-03-01,63.098316,63.1
1972-04-01,63.000507,63.0
1972-05-01,63.000507,63.0
1972-06-01,63.000507,63.0
1972-07-01,63.000507,63.0
1972-08-01,63.000507,63.0
1972-09-01,63.10014,63.0
1972-10-01,63.10014,63.1
1972-11-01,63.10014,63.2
1972-12-01,63.349747,63.3
1973-01-01,63.349747,63.4
1973-02-01,63.46499,63.5
1973-03-01,63.46499,63.5
1973-04-01,63.46499,63.4
1973-05-01,63.349785,63.4
1973-06-01,63.349785,63.3
1973-07-01,63.200005,63.2
1973-08-01,63.200005,63.2
1973-09-01,63.200005,63.2
1973-10-01,63.15014,63.2
1973-11-01,63.15014,63.1
1973-12-01,63.10142,63.1
1974-01-01,63.10142,63.1
1974-02-01,63.10142,63.1
1974-03-01,63.15011,63.1
1974-04-01,63.15011,63.2
1974-05-01,63.266357,63.2
1974-06-01,63.266357,63.3
1974-07-01,63.266357,63.3
1974-08-01,63.297573,63.3
1974-09-01,63.297573,63.3
1974-10-01,63.23349,63.3
1974-11-01,63.23349,63.2
1974-12-01,63.23349,63.2
1975-01-01,63.203472,63.2
1975-02-01,63.203472,63.2
1975-03-01,63.233368,63.2
1975-04-01,63.233368,63.2
1975-05-01,63.233368,63.3
1975-06-01,63.299095,63.3
1975-07-01,63.299095,63.3
1975-08-01,63.299095,63.3
1975-09-01,63.299095,63.3
1975-10-01,63.299095,63.3
1975-11-01,63.299095,63.3
1975-12-01,63.299095,63.3
1976-01-01,63.20075,63.2
1976-02-01,63.20075,63.2
1976-03-01,63.20075,63.2
1976-04-01,63.148666,63.2
1976-05-01,63.148666,63.1
1976-06-01,63.100693,63.1
1976-07-01,63.100693,63.1
1976-08-01,63.100693,63.1
1976-09-01,63.001617,63.0
1976-10-01,63.001617,63.0
1976-11-01,63.001617,63.0
1976-12-01,63.001617,63.0
1977-01-01,63.001617,63.0
1977-02-01,62.89947,62.9
1977-03-01,62.89947,62.9
1977-04-01,62.89947,62.9
1977-05-01,62.89947,62.9
1977-06-01,62.89947,62.9
1977-07-01,62.89947,62.9
1977-08-01,62.89947,62.9
1977-09-01,62.831367,62.9
1977-10-01,62.831367,62.8
1977-11-01,62.831367,62.8
1977-12-01,62.799847,62.8
1978-01-01,62.799847,62.8
1978-02-01,62.70071,62.7
1978-03-01,62.70071,62.7
1978-04-01,62.70071,62.7
1978-05-01,62.70071,62.7
1978-06-01,62.70071,62.7
1978-07-01,62.70071,62.7
1978-08-01,62.70071,62.7
1978-09-01,62.70071,62.7
1978-10-01,62.796875,62.8
1978-11-01,62.796875,62.8
1978-12-01,62.76623,62.8
1979-01-01,62.76623,62.8
1979-02-01,62.76623,62.7
1979-03-01,62.703396,62.7
1979-04-01,62.703396,62.7
1979-05-01,62.80034,62.8
1979-06-01,62.80034,62.8
1979-07-01,62.80034,62.8
1979-08-01,62.89987,62.9
1979-09-01,62.89987,62.9
1979-10-01,62.89987,62.9
1979-11-01,62.89987,62.9
1979-12-01,62.89987,62.9
1980-01-01,62.89987,62.9
1980-02-01,62.89987,62.9
1980-03-01,63.0005,63.0
1980-04-01,63.0005,63.0
1980-05-01,63.0005,63.0
1980-06-01,63.0005,63.0
1980-07-01,63.0005,63.0
1980-08-01,63.03027,63.0
1980-09-01,63.03027,63.0
1980-10-01,63.03027,63.1
1980-11-01,62.999878,63.0
1980-12-01,62.999878,63.0
1981-01-01,62.999878,63.0
1981-02-01,62.999878,63.0
1981-03-01,62.999878,63.0
1981-04-01,62.95218,63.0
1981-05-01,62.95218,62.9
1981-06-01,62.766,62.8
1981-07-01,62.766,62.8
1981-08-01,62.766,62.7
1981-09-01,62.554874,62.6
1981-10-01,62.554874,62.5
1981-11-01,62.43349,62.5
1981-12-01,62.43349,62.4
1982-01-01,62.43349,62.4
1982-02-01,62.245537,62.3
1982-03-01,62.245537,62.2
1982-04-01,62.100384,62.2
1982-05-01,62.100384,62.1
1982-06-01,62.100384,62.0
1982-07-01,61.849415,61.9
1982-08-01,61.849415,61.8
1982-09-01,61.63357,61.7
1982-10-01,61.63357,61.6
1982-11-01,61.63357,61.6
1982-12-01,61.45116,61.5
1983-01-01,61.45116,61.4
1983-02-01,61.403324,61.4
1983-03-01,61.403324,61.4
1983-04-01,61.403324,61.4
1983-05-01,61.600235,61.5
1983-06-01,61.600235,61.7
1983-07-01,61.99971,61.8
1983-08-01,61.99971,62.0
1983-09-01,61.99971,62.2
1983-10-01,62.349487,62.3
1983-11-01,62.349487,62.4
1983-12-01,62.69863,62.6
1984-01-01,62.69863,62.7
1984-02-01,62.69863,62.8
1984-03-01,62.900997,62.9
1984-04-01,62.900997,62.9
1984-05-01,62.900997,62.9
1984-06-01,62.900997,62.9
1984-07-01,62.99986,63.0
1984-08-01,62.99986,63.0
1984-09-01,62.99986,63.0
1984-10-01,63.04752,63.0
1984-11-01,63.04752,63.1
1984-12-01,63.00011,63.0
1985-01-01,63.00011,63.0
1985-02-01,63.00011,63.0
1985-03-01,63.00011,63.0
1985-04-01,63.00011,63.0
1985-05-01,63.00011,63.0
1985-06-01,63.00011,63.0
1985-07-01,63.00011,63.0
1985-08-01,63.00011,63.0
1985-09-01,63.00011,63.0
1985-10-01,63.00011,63.0
1985-11-01,63.00011,63.0
1985-12-01,63.00011,63.0
1986-01-01,63.00011,63.0
1986-02-01,63.00011,63.0
1986-03-01,63.00011,63.0
1986-04-01,63.00011,63.0
1986-05-01,63.00011,63.0
1986-06-01,63.09696,63.1
1986-07-01,63.09696,63.1
1986-08-01,63.16877,63.1
1986-09-01,63.16877,63.2
1986-10-01,63.16877,63.2
1986-11-01,63.199505,63.2
1986-12-01,63.199505,63.2
1987-01-01,63.199505,63.2
1987-02-01,63.199505,63.2
1987-03-01,63.199505,63.2
1987-04-01,63.30048,63.3
1987-05-01,63.30048,63.3
1987-06-01,63.466724,63.4
1987-07-01,63.466724,63.5
1987-08-01,63.466724,63.5
1987-09-01,63.549572,63.5
1987-10-01,63.549572,63.6
1987-11-01,63.699856,63.7
1987-12-01,63.699856,63.7
1988-01-01,63.699856,63.7
1988-02-01,63.79947,63.8
1988-03-01,63.79947,63.8
1988-04-01,63.831085,63.8
1988-05-01,63.831085,63.8
1988-06-01,63.831085,63.9
1988-07-01,63.952354,63.9
1988-08-01,63.952354,64.0
1988-09-01,64.133545,64.1
1988-10-01,64.133545,64.1
1988-11-01,64.133545,64.2
1988-12-01,64.2995,64.3
1989-01-01,64.2995,64.3
1989-02-01,64.399315,64.4
1989-03-01,64.399315,64.4
1989-04-01,64.399315,64.4
1989-05-01,64.399315,64.4
1989-06-01,64.399315,64.4
1989-07-01,64.43414,64.4
1989-08-01,64.43414,64.4
1989-09-01,64.43414,64.5
1989-10-01,64.49907,64.5
1989-11-01,64.49907,64.5
1989-12-01,64.49907,64.5
1990-01-01,64.49907,64.5
1990-02-01,64.49907,64.5
1990-03-01,64.49907,64.5
1990-04-01,64.49907,64.5
1990-05-01,64.49907,64.5
1990-06-01,64.49907,64.5
1990-07-01,64.49907,64.5
1990-08-01,64.44983,64.5
1990-09-01,64.44983,64.4
