Start Date,Prediction,Actual
1971-01-01,60.665737,60.8
1971-02-01,60.665737,60.6
1971-03-01,60.665737,60.6
1971-04-01,60.499935,60.5
1971-05-01,60.499935,60.5
1971-06-01,60.233303,60.4
1971-07-01,60.233303,60.2
1971-08-01,60.233303,60.1
1971-09-01,60.00244,60.0
1971-10-01,60.00244,60.0
1971-11-01,60.1006,60.0
1971-12-01,60.1006,60.1
1972-01-01,60.1006,60.2
1972-02-01,60.296967,60.3
1972-03-01,60.296967,60.3
1972-04-01,60.201523,60.2
1972-05-01,60.201523,60.2
1972-06-01,60.201523,60.2
1972-07-01,60.29754,60.3
1972-08-01,60.29754,60.3
1972-09-01,60.50158,60.4
1972-10-01,60.50158,60.5
1972-11-01,60.50158,60.6
1972-12-01,60.85002,60.8
1973-01-01,60.85002,60.9
1973-02-01,61.09764,61.1
1973-03-01,61.09764,61.1
1973-04-01,61.09764,61.1
1973-05-01,60.999546,61.0
1973-06-01,60.999546,61.0
1973-07-01,60.999546,61.0
1973-08-01,60.999546,61.0
1973-09-01,60.999546,61.0
1973-10-01,60.999546,61.0
1973-11-01,60.999546,61.0
1973-12-01,60.90165,60.9
1974-01-01,60.90165,60.9
1974-02-01,60.90165,60.9
1974-03-01,60.90165,60.9
1974-04-01,60.90165,60.9
1974-05-01,60.932896,60.9
1974-06-01,60.932896,60.9
1974-07-01,60.932896,61.0
1974-08-01,60.94675,61.0
1974-09-01,60.94675,60.9
1974-10-01,60.80177,60.9
1974-11-01,60.80177,60.8
1974-12-01,60.80177,60.7
1975-01-01,60.648327,60.7
1975-02-01,60.648327,60.6
1975-03-01,60.468624,60.5
1975-04-01,60.468624,60.5
1975-05-01,60.468624,60.4
1975-06-01,60.345676,60.4
1975-07-01,60.345676,60.3
1975-08-01,60.199856,60.3
1975-09-01,60.199856,60.2
1975-10-01,60.199856,60.1
1975-11-01,60.053616,60.1
1975-12-01,60.053616,60.0
1976-01-01,59.830494,59.9
1976-02-01,59.830494,59.8
1976-03-01,59.830494,59.8
1976-04-01,59.701885,59.7
1976-05-01,59.701885,59.7
1976-06-01,59.63258,59.7
1976-07-01,59.63258,59.6
1976-08-01,59.63258,59.6
1976-09-01,59.601368,59.6
1976-10-01,59.601368,59.6
1976-11-01,59.53354,59.6
1976-12-01,59.53354,59.5
1977-01-01,59.53354,59.5
1977-02-01,59.451885,59.5
1977-03-01,59.451885,59.4
1977-04-01,59.39708,59.4
1977-05-01,59.39708,59.4
1977-06-01,59.39708,59.4
1977-07-01,59.299587,59.3
1977-08-01,59.299587,59.3
1977-09-01,59.299587,59.3
1977-10-01,59.299587,59.3
1977-11-01,59.299587,59.3
1977-12-01,59.250217,59.2
1978-01-01,59.250217,59.3
1978-02-01,59.233475,59.3
1978-03-01,59.233475,59.2
1978-04-01,59.233475,59.2
1978-05-01,59.206917,59.2
1978-06-01,59.206917,59.2
1978-07-01,59.265556,59.2
1978-08-01,59.265556,59.3
1978-09-01,59.265556,59.3
1978-10-01,59.399864,59.4
1978-11-01,59.399864,59.4
1978-12-01,59.399864,59.4
1979-01-01,59.399864,59.4
1979-02-01,59.399864,59.4
1979-03-01,59.399864,59.4
1979-04-01,59.399864,59.4
1979-05-01,59.466747,59.4
1979-06-01,59.466747,59.5
1979-07-01,59.466747,59.5
1979-08-01,59.493736,59.5
1979-09-01,59.493736,59.5
1979-10-01,59.400806,59.5
1979-11-01,59.400806,59.4
1979-12-01,59.400806,59.3
1980-01-01,59.24853,59.3
1980-02-01,59.24853,59.2
1980-03-01,59.00005,59.1
1980-04-01,59.00005,59.0
1980-05-01,59.00005,58.9
1980-06-01,58.60004,58.7
