Start Date,Prediction,Actual
1971-01-01,3.900632,3.8
1971-02-01,3.900632,3.9
1971-03-01,3.900632,4.0
1971-04-01,4.1000547,4.1
1971-05-01,4.1000547,4.1
1971-06-01,4.2330284,4.2
1971-07-01,4.2330284,4.2
1971-08-01,4.2330284,4.3
1971-09-01,4.4007454,4.4
1971-10-01,4.4007454,4.4
1971-11-01,4.499281,4.5
1971-12-01,4.499281,4.5
1972-01-01,4.499281,4.5
1972-02-01,4.499281,4.5
1972-03-01,4.499281,4.5
1972-04-01,4.36651,4.4
1972-05-01,4.36651,4.4
1972-06-01,4.36651,4.3
1972-07-01,4.251808,4.3
1972-08-01,4.251808,4.2
1972-09-01,4.1656,4.2
1972-10-01,4.1656,4.2
1972-11-01,4.1656,4.1
1972-12-01,3.9518807,4.0
1973-01-01,3.9518807,3.9
1973-02-01,3.7666678,3.8
1973-03-01,3.7666678,3.8
1973-04-01,3.7666678,3.7
1973-05-01,3.6485772,3.7
1973-06-01,3.6485772,3.6
1973-07-01,3.5331295,3.6
1973-08-01,3.5331295,3.5
1973-09-01,3.5331295,3.5
1973-10-01,3.4032407,3.4
1973-11-01,3.4032407,3.4
1973-12-01,3.5668068,3.5
1974-01-01,3.5668068,3.6
1974-02-01,3.5668068,3.6
1974-03-01,3.5998275,3.6
1974-04-01,3.5998275,3.6
1974-05-01,3.6658754,3.6
1974-06-01,3.6658754,3.7
1974-07-01,3.6658754,3.7
1974-08-01,3.6996949,3.7
1974-09-01,3.6996949,3.7
1974-10-01,3.8006434,3.7
1974-11-01,3.8006434,3.8
1974-12-01,3.8006434,3.9
1975-01-01,4.050256,4.0
1975-02-01,4.050256,4.1
1975-03-01,4.3326726,4.2
1975-04-01,4.3326726,4.3
1975-05-01,4.3326726,4.5
1975-06-01,4.6476426,4.6
1975-07-01,4.6476426,4.7
1975-08-01,4.9000244,4.8
1975-09-01,4.9000244,4.9
1975-10-01,4.9000244,5.0
1975-11-01,5.152193,5.1
1975-12-01,5.152193,5.2
1976-01-01,5.3334913,5.3
1976-02-01,5.3334913,5.3
1976-03-01,5.3334913,5.4
1976-04-01,5.398428,5.4
1976-05-01,5.398428,5.4
1976-06-01,5.4678497,5.4
1976-07-01,5.4678497,5.5
1976-08-01,5.4678497,5.5
1976-09-01,5.4995923,5.5
1976-10-01,5.4995923,5.5
1976-11-01,5.4995923,5.5
1976-12-01,5.4995923,5.5
1977-01-01,5.4995923,5.5
1977-02-01,5.4995923,5.5
1977-03-01,5.4995923,5.5
1977-04-01,5.5678067,5.5
1977-05-01,5.5678067,5.6
1977-06-01,5.5678067,5.6
1977-07-01,5.699156,5.7
1977-08-01,5.699156,5.7
1977-09-01,5.699156,5.7
1977-10-01,5.699156,5.7
1977-11-01,5.699156,5.7
1977-12-01,5.6000376,5.6
1978-01-01,5.6000376,5.6
1978-02-01,5.6000376,5.6
1978-03-01,5.6000376,5.6
1978-04-01,5.6000376,5.6
1978-05-01,5.502793,5.5
1978-06-01,5.502793,5.5
1978-07-01,5.4651775,5.5
1978-08-01,5.4651775,5.5
1978-09-01,5.4651775,5.4
1978-10-01,5.349651,5.4
1978-11-01,5.349651,5.3
1978-12-01,5.3334165,5.3
1979-01-01,5.3334165,5.4
1979-02-01,5.3334165,5.3
1979-03-01,5.3044086,5.3
1979-04-01,5.3044086,5.3
1979-05-01,5.333367,5.3
1979-06-01,5.333367,5.3
1979-07-01,5.333367,5.4
1979-08-01,5.399033,5.4
1979-09-01,5.399033,5.4
1979-10-01,5.5993357,5.5
1979-11-01,5.5993357,5.6
1979-12-01,5.5993357,5.7
1980-01-01,5.89978,5.8
1980-02-01,5.89978,6.0
1980-03-01,6.3010087,6.1
1980-04-01,6.3010087,6.3
1980-05-01,6.3010087,6.5
1980-06-01,6.9486456,6.8
1980-07-01,6.9486456,7.1
1980-08-01,7.700445,7.4
1980-09-01,7.700445,7.7
1980-10-01,7.700445,8.0
1980-11-01,8.448498,8.3
1980-12-01,8.448498,8.6
1981-01-01,9.134253,8.9
1981-02-01,9.134253,9.1
1981-03-01,9.134253,9.4
1981-04-01,9.646269,9.6
1981-05-01,9.646269,9.7
1981-06-01,9.901992,9.8
1981-07-01,9.901992,9.9
1981-08-01,9.901992,10.0
1981-09-01,10.150396,10.1
1981-10-01,10.150396,10.2
1981-11-01,10.364415,10.3
1981-12-01,10.364415,10.4
1982-01-01,10.364415,10.4
1982-02-01,10.502222,10.5
1982-03-01,10.502222,10.5
1982-04-01,10.632329,10.6
1982-05-01,10.632329,10.6
1982-06-01,10.632329,10.7
1982-07-01,10.85357,10.8
1982-08-01,10.85357,10.9
1982-09-01,11.100207,11.0
1982-10-01,11.100207,11.1
1982-11-01,11.100207,11.2
1982-12-01,11.247663,11.2
1983-01-01,11.247663,11.3
1983-02-01,11.333178,11.3
1983-03-01,11.333178,11.3
1983-04-01,11.333178,11.4
1983-05-01,11.503627,11.5
1983-06-01,11.503627,11.5
1983-07-01,11.566619,11.5
1983-08-01,11.566619,11.6
1983-09-01,11.566619,11.6
1983-10-01,11.699703,11.7
1983-11-01,11.699703,11.7
1983-12-01,11.832392,11.8
1984-01-01,11.832392,11.8
1984-02-01,11.832392,11.9
1984-03-01,11.895963,11.9
1984-04-01,11.895963,11.9
1984-05-01,11.800655,11.8
1984-06-01,11.800655,11.8
1984-07-01,11.699288,11.7
1984-08-01,11.699288,11.7
1984-09-01,11.699288,11.7
1984-10-01,11.600101,11.6
1984-11-01,11.600101,11.6
1984-12-01,11.46846,11.5
1985-01-01,11.46846,11.5
1985-02-01,11.46846,11.4
1985-03-01,11.399704,11.4
1985-04-01,11.399704,11.4
1985-05-01,11.300021,11.3
1985-06-01,11.300021,11.3
1985-07-01,11.300021,11.3
1985-08-01,11.300021,11.3
1985-09-01,11.300021,11.3
1985-10-01,11.300021,11.3
1985-11-01,11.300021,11.3
1985-12-01,11.300021,11.3
1986-01-01,11.300021,11.3
1986-02-01,11.300021,11.3
1986-03-01,11.333887,11.3
1986-04-01,11.333887,11.3
1986-05-01,11.333887,11.4
1986-06-01,11.396219,11.4
1986-07-01,11.396219,11.4
1986-08-01,11.301004,11.3
1986-09-01,11.301004,11.3
1986-10-01,11.301004,11.3
1986-11-01,11.197792,11.2
1986-12-01,11.197792,11.2
1987-01-01,11.001042,11.1
1987-02-01,11.001042,11.0
1987-03-01,11.001042,10.9
1987-04-01,10.649776,10.7
1987-05-01,10.649776,10.6
1987-06-01,10.202962,10.4
1987-07-01,10.202962,10.2
1987-08-01,10.202962,10.0
1987-09-01,9.800273,9.9
1987-10-01,9.800273,9.7
1987-11-01,9.363325,9.5
1987-12-01,9.363325,9.4
1988-01-01,9.363325,9.2
1988-02-01,8.949807,9.0
1988-03-01,8.949807,8.9
1988-04-01,8.6003475,8.7
1988-05-01,8.6003475,8.6
1988-06-01,8.6003475,8.5
1988-07-01,8.352916,8.4
1988-08-01,8.352916,8.3
1988-09-01,8.033494,8.2
1988-10-01,8.033494,8.0
1988-11-01,8.033494,7.9
1988-12-01,7.645694,7.7
1989-01-01,7.645694,7.6
1989-02-01,7.3022585,7.4
1989-03-01,7.3022585,7.3
1989-04-01,7.3022585,7.2
1989-05-01,7.1488595,7.2
1989-06-01,7.1488595,7.1
1989-07-01,7.0669546,7.1
1989-08-01,7.0669546,7.1
1989-09-01,7.0669546,7.0
1989-10-01,6.9972925,7.0
1989-11-01,6.9972925,7.0
1989-12-01,6.902502,6.9
1990-01-01,6.902502,6.9
1990-02-01,6.902502,6.9
1990-03-01,6.902502,6.9
1990-04-01,6.902502,6.9
1990-05-01,6.9993176,6.9
1990-06-01,6.9993176,7.0
1990-07-01,6.9993176,7.1
1990-08-01,7.25016,7.2
1990-09-01,7.25016,7.3
1990-10-01,7.6307607,7.5
1990-11-01,7.6307607,7.6
1990-12-01,7.6307607,7.8
1991-01-01,8.099519,8.0
1991-02-01,8.099519,8.2
1991-03-01,8.667565,8.5
1991-04-01,8.667565,8.7
1991-05-01,8.667565,8.8
1991-06-01,9.104445,9.0
1991-07-01,9.104445,9.2
1991-08-01,9.396928,9.3
1991-09-01,9.396928,9.4
1991-10-01,9.396928,9.5
1991-11-01,9.553465,9.5
1991-12-01,9.553465,9.6
1992-01-01,9.778863,9.7
1992-02-01,9.778863,9.8
1992-03-01,9.778863,9.833181907839103
1992-04-01,9.8370905,9.785393959513424
1992-05-01,9.8370905,9.887805542272732
1992-06-01,9.981162,9.93651034029277
1992-07-01,9.981162,9.937055357617014
1992-08-01,9.981162,10.068678471190845
1992-09-01,10.30588,10.241256795098703
1992-10-01,10.30588,10.37111901413199
1992-11-01,10.611775,10.545767030343647
1992-12-01,10.611775,10.683897174993987
1993-01-01,10.611775,10.618491017822633
1993-02-01,10.515687,10.579910019156689
1993-03-01,10.515687,10.454189149677951
1993-04-01,10.35824,10.3847804485706
1993-05-01,10.35824,10.3719431166318
1993-06-01,10.35824,10.311489864207903
1993-07-01,10.246475,10.246574148315249
1993-08-01,10.246475,10.250753649545082
1993-09-01,10.244472,10.23041404163543
1993-10-01,10.244472,10.25229437742452
1993-11-01,10.244472,10.250909064405304
1993-12-01,10.019935,10.08654415861178
1994-01-01,10.019935,9.945820511591542
1994-02-01,9.755108,9.813374016467115
1994-03-01,9.755108,9.749076975651812
1994-04-01,9.755108,9.706457463282527
1994-05-01,9.562609,9.58649960299014
1994-06-01,9.562609,9.53961250665731
1994-07-01,9.23449,9.359784835192968
1994-08-01,9.23449,9.257988113907196
1994-09-01,9.23449,9.07880151663105
1994-10-01,8.924299,8.96378064041639
1994-11-01,8.924299,8.89259906384772
1994-12-01,8.858299,8.871576764779514
1995-01-01,8.858299,8.865518927914893
1995-02-01,8.858299,8.830895628092755
1995-03-01,8.710354,8.766606184997219
1995-04-01,8.710354,8.664015796506522
1995-05-01,8.6462,8.66853314969064
1995-06-01,8.6462,8.62415449723507
1995-07-01,8.6462,8.648027252374407
1995-08-01,8.58202,8.611241251246058
1995-09-01,8.58202,8.552189091295284
1995-10-01,8.335639,8.30388993210171
1995-11-01,8.335639,8.378935078079573
1995-12-01,8.335639,8.317320136364216
1996-01-01,8.261929,8.234201626672487
1996-02-01,8.261929,8.294613291384689
1996-03-01,8.235096,8.279749780248695
1996-04-01,8.235096,8.25487005436371
1996-05-01,8.235096,8.172541331954013
1996-06-01,8.066668,8.061173084500481
1996-07-01,8.066668,8.061487404902513
1996-08-01,7.946745,8.052014941592162
1996-09-01,7.946745,7.954635152221464
1996-10-01,7.946745,7.841694004268963
1996-11-01,7.58411,7.670393282320713
1996-12-01,7.58411,7.48998868358338
1997-01-01,7.236424,7.323361191515847
1997-02-01,7.236424,7.20529479838012
1997-03-01,7.236424,7.184802977619562
1997-04-01,7.234918,7.179728597125977
1997-05-01,7.234918,7.290441022200378
1997-06-01,6.875733,7.08772541669119
1997-07-01,6.875733,6.840051244814995
1997-08-01,6.875733,6.694882787959822
1997-09-01,6.5760994,6.618301221330807
1997-10-01,6.5760994,6.540948401793262
1997-11-01,6.3900304,6.400776894180519
1997-12-01,6.3900304,6.377402396223901
1998-01-01,6.3148537,6.364736796156352
1998-02-01,6.3148537,6.311211296012386
1998-03-01,6.3148537,6.270022477423046
1998-04-01,6.2909307,6.283775576548489
1998-05-01,6.2909307,6.300874907645775
1998-06-01,6.2563515,6.311978879141675
1998-07-01,6.2563515,6.240113057812691
1998-08-01,6.2563515,6.217195678218907
1998-09-01,6.1573243,6.157694963796601
1998-10-01,6.1573243,6.1431129087922125
1998-11-01,6.2062383,6.21802491858632
1998-12-01,6.2062383,6.227228869350337
1999-01-01,6.2062383,6.176034037490549
1999-02-01,6.1264358,6.154285485305076
1999-03-01,6.1264358,6.1087506241721785
1999-04-01,5.9748697,6.044762699717492
1999-05-01,5.9748697,5.974863344122718
1999-06-01,5.9748697,5.904006708585477
1999-07-01,5.8626575,5.886385813828738
1999-08-01,5.8626575,5.837730398794391
1999-09-01,5.839529,5.846396290696957
1999-10-01,5.839529,5.806274910986721
1999-11-01,5.839529,5.866417433001598
1999-12-01,5.806157,5.810689648404304
2000-01-01,5.806157,5.792769864339204
2000-02-01,5.6112857,5.694816209816298
2000-03-01,5.6112857,5.638500811543541
2000-04-01,5.6112857,5.500535351501502
2000-05-01,5.2949715,5.335225182121901
2000-06-01,5.2949715,5.255470794376089
2000-07-01,5.336835,5.318544596121041
2000-08-01,5.336835,5.39851597711687
2000-09-01,5.336835,5.299106939869218
2000-10-01,5.195146,5.227436595192065
2000-11-01,5.195146,5.162518491539875
2000-12-01,5.1004367,5.204289650445173
2001-01-01,5.1004367,5.089593895317561
2001-02-01,5.1004367,5.010367366255335
2001-03-01,4.9768023,4.91099432932782
2001-04-01,4.9768023,5.030760852534427
2001-05-01,5.072666,5.046281821592862
2001-06-01,5.072666,5.077598896180946
2001-07-01,5.072666,5.093184656528398
2001-08-01,5.0969005,5.0901882848738085
2001-09-01,5.0969005,5.106410126123555
2001-10-01,5.170814,5.182510178347541
