Start Date,Prediction,Actual
1971-01-01,1081032.5441919186,967000.0
1971-02-01,927179.8695602231,985000.0
1971-03-01,967301.397698863,1009000.0
1971-04-01,1007584.9900390157,1031000.0
1971-05-01,1038590.4797687931,1049000.0
1971-06-01,1061030.5628080184,1055000.0
1971-07-01,1061741.5169614968,1063000.0
1971-08-01,1072989.0415909188,1077000.0
1971-09-01,1090489.6145421874,1100000.0
1971-10-01,1114747.339991031,1120000.0
1971-11-01,1138653.5635005808,1130000.0
1971-12-01,1145603.5018637495,1136000.0
1972-01-01,1150755.0239587044,1142000.0
1972-02-01,1153569.6489322288,1148000.0
1972-03-01,1154698.58555957,1142000.0
1972-04-01,1141845.8720875315,1126000.0
1972-05-01,1118143.8187655506,1108000.0
1972-06-01,1095752.4827914273,1094000.0
1972-07-01,1078273.09956645,1087000.0
1972-08-01,1077650.8124843996,1079000.0
1972-09-01,1072086.3912517224,1072000.0
1972-10-01,1062258.1278835055,1056000.0
1972-11-01,1045241.6927658459,1035000.0
1972-12-01,1020532.9616862488,1010000.0
1973-01-01,994295.8160321439,989000.0
1973-02-01,971567.9117214554,974000.0
1973-03-01,955017.6726650046,964000.0
1973-04-01,947315.6054743765,955000.0
1973-05-01,940632.3601703475,944000.0
1973-06-01,931037.4282763106,931000.0
1973-07-01,915355.1588135574,914000.0
1973-08-01,900424.7900884097,900000.0
1973-09-01,888095.8467565232,888000.0
1973-10-01,873231.0680515704,875000.0
1973-11-01,862591.244034594,879000.0
1973-12-01,874115.547706806,891000.0
1974-01-01,896535.3201314746,910000.0
1974-02-01,921823.1656133457,918000.0
1974-03-01,925738.0350934502,920000.0
1974-04-01,923793.2553805092,924000.0
1974-05-01,926885.962255156,928000.0
1974-06-01,931313.2732389569,938000.0
1974-07-01,941449.5866459463,944000.0
1974-08-01,951201.6716537048,952000.0
1974-09-01,961402.0982470815,956000.0
1974-10-01,960326.2220120748,963000.0
1974-11-01,970103.1406769732,976000.0
1974-12-01,986153.547221275,993000.0
1975-01-01,1009292.3854725508,1016000.0
1975-02-01,1035627.4872264265,1042000.0
1975-03-01,1061860.4477943326,1076000.0
1975-04-01,1100340.5460824282,1112000.0
1975-05-01,1140309.5335667848,1149000.0
1975-06-01,1180994.2045668906,1179000.0
1975-07-01,1207479.9716027295,1207000.0
1975-08-01,1237929.9435062686,1239000.0
1975-09-01,1272206.911108696,1273000.0
1975-10-01,1303801.394870025,1305000.0
1975-11-01,1337966.4907852516,1329000.0
1975-12-01,1358766.0044088587,1349000.0
1976-01-01,1377859.539782509,1365000.0
1976-02-01,1388906.160013462,1378000.0
1976-03-01,1394836.90972569,1391000.0
1976-04-01,1404641.912675081,1399000.0
1976-05-01,1409264.1721820952,1405000.0
1976-06-01,1413391.9242268258,1410000.0
1976-07-01,1414287.8537278546,1416000.0
1976-08-01,1423650.1632046984,1418000.0
1976-09-01,1425111.1922992384,1417000.0
1976-10-01,1417941.9540790904,1417000.0
1976-11-01,1419112.1466960881,1421000.0
1976-12-01,1424498.97314618,1422000.0
1977-01-01,1427682.3503862836,1421000.0
1977-02-01,1424380.6138017105,1423000.0
1977-03-01,1423361.8563202925,1426000.0
1977-04-01,1425885.0825022485,1438000.0
1977-05-01,1442001.00646772,1452000.0
1977-06-01,1460195.5096447861,1466000.0
1977-07-01,1474039.9378770166,1478000.0
1977-08-01,1490328.4406148768,1483000.0
1977-09-01,1494121.5199663425,1487000.0
1977-10-01,1492407.0077703567,1484000.0
1977-11-01,1487430.3812429914,1478000.0
1977-12-01,1477998.1039322107,1469000.0
1978-01-01,1468400.8449182287,1459000.0
1978-02-01,1454974.183200513,1454000.0
1978-03-01,1447105.8332504637,1451000.0
1978-04-01,1444185.0276544918,1448000.0
1978-05-01,1441769.13088672,1443000.0
1978-06-01,1437235.2981878105,1443000.0
1978-07-01,1437030.952978682,1439000.0
1978-08-01,1436437.2108799391,1433000.0
1978-09-01,1430909.391003439,1419000.0
1978-10-01,1409199.3356875498,1405000.0
1978-11-01,1394964.3422535767,1396000.0
1978-12-01,1386948.7543266783,1399000.0
1979-01-01,1398225.56752951,1403000.0
1979-02-01,1404891.94275644,1397000.0
1979-03-01,1393176.0857589797,1388000.0
1979-04-01,1380392.8291603962,1388000.0
1979-05-01,1382509.111870949,1398000.0
1979-06-01,1399009.0048888393,1405000.0
1979-07-01,1405929.1963094086,1412000.0
1979-08-01,1418048.3845839044,1424000.0
1979-09-01,1434462.4452140438,1437000.0
1979-10-01,1445937.7979800901,1454000.0
1979-11-01,1467903.8829351861,1474000.0
1979-12-01,1491100.3381884217,1506000.0
1980-01-01,1532505.322396053,1543000.0
1980-02-01,1574557.470248565,1587000.0
1980-03-01,1621473.2973373304,1633000.0
1980-04-01,1670845.4696316733,1686000.0
1980-05-01,1729185.3494833272,1741000.0
1980-06-01,1789094.6279458741,1814000.0
1980-07-01,1869975.0673872076,1891000.0
1980-08-01,1958458.0454116235,1975000.0
1980-09-01,2051370.8937168936,2063000.0
1980-10-01,2141755.9467910505,2155000.0
