Start Date,Prediction,Actual
1971-01-01,24.603340619870494,24.9
1971-02-01,24.598862484584515,25.0
1971-03-01,24.594817717229446,25.0
1971-04-01,24.590339581943468,24.9
1971-05-01,24.58600590263447,25.0
1971-06-01,24.58152776734849,25.0
1971-07-01,24.577194088039477,25.1
1971-08-01,24.572715952753498,25.2
1971-09-01,24.568237817467534,25.2
1971-10-01,24.56390413815852,25.2
1971-11-01,24.55942600287254,25.1
1971-12-01,24.555092323563542,25.0
1972-01-01,24.550614188277564,24.8
1972-02-01,24.546136052991585,24.7
1972-03-01,24.54194682965955,24.7
1972-04-01,24.537468694373572,24.8
1972-05-01,24.53313501506456,24.8
1972-06-01,24.528656879778595,24.9
1972-07-01,24.52432320046958,24.8
1972-08-01,24.519845065183603,24.8
1972-09-01,24.515366929897624,24.7
1972-10-01,24.511033250588625,24.6
1972-11-01,24.506555115302646,24.5
1972-12-01,24.502221435993633,24.4
1973-01-01,24.49774330070767,24.3
1973-02-01,24.49326516542169,24.2
1973-03-01,24.48922039806662,24.1
1973-04-01,24.484742262780642,24.2
1973-05-01,24.48040858347163,24.3
1973-06-01,24.47593044818565,24.3
1973-07-01,24.47159676887665,24.4
1973-08-01,24.467118633590673,24.4
1973-09-01,24.462640498304694,24.4
1973-10-01,24.458306818995695,24.4
1973-11-01,24.453828683709716,24.4
1973-12-01,24.449495004400703,24.4
1974-01-01,24.44501686911474,24.4
1974-02-01,24.44053873382876,24.3
1974-03-01,24.436493966473677,24.3
1974-04-01,24.432015831187712,24.3
1974-05-01,24.4276821518787,24.2
1974-06-01,24.42320401659272,24.1
1974-07-01,24.41887033728372,24.1
1974-08-01,24.414392201997742,24.0
1974-09-01,24.409914066711764,24.0
1974-10-01,24.405580387402765,24.1
1974-11-01,24.401102252116786,24.1
1974-12-01,24.396768572807773,24.1
1975-01-01,24.392290437521808,24.1
1975-02-01,24.38781230223583,24.1
1975-03-01,24.383767534880747,24.1
1975-04-01,24.379289399594782,24.0
1975-05-01,24.37495572028577,23.9
1975-06-01,24.37047758499979,23.9
1975-07-01,24.36614390569079,23.9
1975-08-01,24.361665770404812,23.8
1975-09-01,24.357187635118834,23.8
1975-10-01,24.352853955809834,23.8
1975-11-01,24.348375820523856,23.8
1975-12-01,24.344042141214842,23.8
1976-01-01,24.339564005928864,23.9
1976-02-01,24.3350858706429,23.9
1976-03-01,24.33089664731085,23.9
1976-04-01,24.326418512024873,23.9
1976-05-01,24.322084832715873,23.9
1976-06-01,24.317606697429895,23.9
1976-07-01,24.31327301812088,24.0
