Start Date,Prediction,Actual
1971-01-01,8155126.700588454,8373000.0
1971-02-01,8156861.699888464,8393000.0
1971-03-01,8158428.796030406,8390000.0
1971-04-01,8160163.795330416,8377000.0
1971-05-01,8161842.826911066,8380000.0
1971-06-01,8163577.826211076,8406000.0
1971-07-01,8165256.857791733,8440000.0
1971-08-01,8166991.8570917435,8467000.0
1971-09-01,8168726.856391754,8479000.0
1971-10-01,8170405.887972403,8459000.0
1971-11-01,8172140.887272414,8436000.0
1971-12-01,8173819.918853071,8394000.0
1972-01-01,8175554.918153081,8346000.0
1972-02-01,8177289.917453084,8310000.0
1972-03-01,8178912.981314387,8309000.0
1972-04-01,8180647.980614398,8329000.0
1972-05-01,8182327.012195047,8352000.0
1972-06-01,8184062.0114950575,8357000.0
1972-07-01,8185741.043075714,8341000.0
1972-08-01,8187476.042375725,8325000.0
1972-09-01,8189211.041675735,8303000.0
1972-10-01,8190890.073256385,8288000.0
1972-11-01,8192625.072556395,8255000.0
1972-12-01,8194304.104137052,8218000.0
1973-01-01,8196039.103437062,8167000.0
1973-02-01,8197774.102737065,8133000.0
1973-03-01,8199341.198879015,8123000.0
1973-04-01,8201076.198179025,8136000.0
1973-05-01,8202755.2297596745,8163000.0
1973-06-01,8204490.229059685,8185000.0
1973-07-01,8206169.260640342,8198000.0
1973-08-01,8207904.259940352,8207000.0
1973-09-01,8209639.259240363,8209000.0
1973-10-01,8211318.290821012,8218000.0
1973-11-01,8213053.290121023,8222000.0
1973-12-01,8214732.321701679,8217000.0
1974-01-01,8216467.32100169,8206000.0
1974-02-01,8218202.320301693,8201000.0
1974-03-01,8219769.416443642,8200000.0
1974-04-01,8221504.415743653,8187000.0
1974-05-01,8223183.447324302,8169000.0
1974-06-01,8224918.446624313,8134000.0
1974-07-01,8226597.478204969,8115000.0
1974-08-01,8228332.47750498,8102000.0
1974-09-01,8230067.476804983,8106000.0
1974-10-01,8231746.50838564,8115000.0
1974-11-01,8233481.50768565,8128000.0
1974-12-01,8235160.539266307,8137000.0
1975-01-01,8236895.53856631,8136000.0
1975-02-01,8238630.53786632,8137000.0
1975-03-01,8240197.63400827,8118000.0
1975-04-01,8241932.633308273,8097000.0
1975-05-01,8243611.66488893,8077000.0
1975-06-01,8245346.66418894,8061000.0
1975-07-01,8247025.695769597,8060000.0
1975-08-01,8248760.6950696,8051000.0
1975-09-01,8250495.69436961,8050000.0
1975-10-01,8252174.725950267,8044000.0
1975-11-01,8253909.725250278,8049000.0
1975-12-01,8255588.756830927,8057000.0
1976-01-01,8257323.7561309375,8068000.0
1976-02-01,8259058.755430948,8083000.0
1976-03-01,8260681.819292251,8085000.0
1976-04-01,8262416.818592254,8097000.0
1976-05-01,8264095.850172911,8107000.0
1976-06-01,8265830.849472921,8110000.0
1976-07-01,8267509.881053578,8123000.0
1976-08-01,8269244.880353589,8133000.0
1976-09-01,8270979.879653592,8145000.0
1976-10-01,8272658.911234248,8151000.0
1976-11-01,8274393.910534259,8154000.0
1976-12-01,8276072.942114916,8159000.0
1977-01-01,8277807.941414919,8177000.0
1977-02-01,8279542.940714929,8192000.0
1977-03-01,8281110.036856879,8201000.0
1977-04-01,8282845.036156882,8206000.0
1977-05-01,8284524.067737538,8208000.0
1977-06-01,8286259.067037549,8203000.0
1977-07-01,8287938.098618206,8197000.0
1977-08-01,8289673.097918209,8209000.0
1977-09-01,8291408.097218219,8217000.0
1977-10-01,8293087.128798876,8231000.0
1977-11-01,8294822.128098886,8242000.0
1977-12-01,8296501.159679536,8251000.0
1978-01-01,8298236.158979546,8264000.0
1978-02-01,8299971.158279557,8273000.0
1978-03-01,8301538.254421499,8280000.0
1978-04-01,8303273.253721509,8292000.0
1978-05-01,8304952.285302166,8302000.0
1978-06-01,8306687.284602176,8302000.0
1978-07-01,8308366.316182826,8303000.0
1978-08-01,8310101.315482836,8298000.0
1978-09-01,8311836.314782847,8296000.0
1978-10-01,8313515.3463635035,8292000.0
1978-11-01,8315250.345663514,8286000.0
1978-12-01,8316929.377244163,8288000.0
1979-01-01,8318664.376544174,8297000.0
1979-02-01,8320399.375844184,8318000.0
1979-03-01,8321966.471986126,8329000.0
1979-04-01,8323701.471286137,8327000.0
1979-05-01,8325380.502866793,8315000.0
1979-06-01,8327115.502166804,8318000.0
1979-07-01,8328794.533747453,8317000.0
1979-08-01,8330529.533047464,8313000.0
