Start Date,Prediction,Actual
1971-01-01,2041291.118259945,967000.0
1971-02-01,2040970.379053142,985000.0
1971-03-01,2040680.6791244177,1009000.0
1971-04-01,2040359.9399176156,1031000.0
1971-05-01,2040049.5471368385,1049000.0
1971-06-01,2039728.8079300364,1055000.0
1971-07-01,2039418.4151492603,1063000.0
1971-08-01,2039097.6759424573,1077000.0
1971-09-01,2038776.9367356552,1100000.0
1971-10-01,2038466.543954879,1120000.0
1971-11-01,2038145.804748076,1130000.0
1971-12-01,2037835.4119672999,1136000.0
1972-01-01,2037514.6727604978,1142000.0
1972-02-01,2037193.9335536957,1148000.0
1972-03-01,2036893.8871989446,1142000.0
1972-04-01,2036573.1479921425,1126000.0
1972-05-01,2036262.7552113654,1108000.0
1972-06-01,2035942.0160045633,1094000.0
1972-07-01,2035631.6232237872,1087000.0
1972-08-01,2035310.884016985,1079000.0
1972-09-01,2034990.144810182,1072000.0
1972-10-01,2034679.752029406,1056000.0
1972-11-01,2034359.0128226038,1035000.0
1972-12-01,2034048.6200418267,1010000.0
1973-01-01,2033727.8808350246,989000.0
1973-02-01,2033407.1416282225,974000.0
1973-03-01,2033117.4416994974,964000.0
1973-04-01,2032796.7024926953,955000.0
1973-05-01,2032486.3097119192,944000.0
1973-06-01,2032165.5705051161,931000.0
1973-07-01,2031855.17772434,914000.0
1973-08-01,2031534.438517538,900000.0
1973-09-01,2031213.6993107349,888000.0
1973-10-01,2030903.3065299587,875000.0
1973-11-01,2030582.5673231566,879000.0
1973-12-01,2030272.1745423796,891000.0
1974-01-01,2029951.4353355775,910000.0
1974-02-01,2029630.6961287754,918000.0
1974-03-01,2029340.9962000502,920000.0
1974-04-01,2029020.2569932481,924000.0
1974-05-01,2028709.864212472,928000.0
1974-06-01,2028389.125005669,938000.0
1974-07-01,2028078.7322248928,944000.0
1974-08-01,2027757.9930180907,952000.0
1974-09-01,2027437.2538112886,956000.0
1974-10-01,2027126.8610305116,963000.0
1974-11-01,2026806.1218237095,976000.0
1974-12-01,2026495.7290429333,993000.0
1975-01-01,2026174.9898361303,1016000.0
1975-02-01,2025854.2506293282,1042000.0
1975-03-01,2025564.550700604,1076000.0
1975-04-01,2025243.811493801,1112000.0
1975-05-01,2024933.4187130248,1149000.0
1975-06-01,2024612.6795062227,1179000.0
1975-07-01,2024302.2867254457,1207000.0
1975-08-01,2023981.5475186436,1239000.0
1975-09-01,2023660.8083118415,1273000.0
1975-10-01,2023350.4155310644,1305000.0
1975-11-01,2023029.6763242623,1329000.0
1975-12-01,2022719.2835434861,1349000.0
1976-01-01,2022398.5443366831,1365000.0
1976-02-01,2022077.805129881,1378000.0
1976-03-01,2021777.7587751308,1391000.0
1976-04-01,2021457.0195683278,1399000.0
1976-05-01,2021146.6267875517,1405000.0
1976-06-01,2020825.8875807496,1410000.0
1976-07-01,2020515.4947999725,1416000.0
1976-08-01,2020194.7555931704,1418000.0
1976-09-01,2019874.0163863683,1417000.0
1976-10-01,2019563.6236055922,1417000.0
1976-11-01,2019242.8843987891,1421000.0
1976-12-01,2018932.491618013,1422000.0
1977-01-01,2018611.752411211,1421000.0
1977-02-01,2018291.0132044079,1423000.0
1977-03-01,2018001.3132756837,1426000.0
1977-04-01,2017680.5740688816,1438000.0
1977-05-01,2017370.1812881045,1452000.0
1977-06-01,2017049.4420813024,1466000.0
1977-07-01,2016739.0493005263,1478000.0
1977-08-01,2016418.3100937232,1483000.0
1977-09-01,2016097.5708869211,1487000.0
1977-10-01,2015787.178106145,1484000.0
1977-11-01,2015466.438899342,1478000.0
1977-12-01,2015156.0461185658,1469000.0
1978-01-01,2014835.3069117637,1459000.0
1978-02-01,2014514.5677049616,1454000.0
1978-03-01,2014224.8677762365,1451000.0
1978-04-01,2013904.1285694344,1448000.0
1978-05-01,2013593.7357886573,1443000.0
1978-06-01,2013272.9965818552,1443000.0
1978-07-01,2012962.603801079,1439000.0
1978-08-01,2012641.864594276,1433000.0
1978-09-01,2012321.125387474,1419000.0
1978-10-01,2012010.7326066978,1405000.0
1978-11-01,2011689.9933998957,1396000.0
