Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,33566631.52762394,33526509.822131127,33608363.01282849,33559000.0
1971-02-01,33568964.569796704,33525003.682200406,33608870.59500848,33565000.0
1971-03-01,33568941.3198848,33525085.783837847,33610524.71868864,33570000.0
1971-04-01,33574764.29736501,33534541.009190477,33614212.58873567,33576000.0
1971-05-01,33581362.09247138,33536678.11343235,33627043.16385003,33581000.0
1971-06-01,33584194.53897303,33541056.4064157,33628779.64802385,33586000.0
1971-07-01,33586926.90406585,33544765.3215989,33629376.48288851,33589000.0
1971-08-01,33589240.02420642,33546183.85185407,33629811.297755726,33591000.0
1971-09-01,33590941.44847781,33548678.304156255,33633617.54636258,33594000.0
1971-10-01,33593815.644504026,33551762.953952853,33637986.53868843,33596000.0
1971-11-01,33597324.06612263,33555075.407794304,33638111.56621508,33598000.0
1971-12-01,33601793.20044124,33559620.81388472,33648620.194786206,33601000.0
1972-01-01,33604893.35712892,33562295.39997229,33647431.70489686,33603000.0
1972-02-01,33606742.576744996,33563563.85868405,33648517.53092978,33606000.0
1972-03-01,33613413.01291247,33571995.55873957,33656316.882410616,33608000.0
1972-04-01,33613188.57836714,33570083.05731299,33654964.53298848,33611000.0
1972-05-01,33614660.178397276,33573652.23786208,33660290.68072612,33613000.0
1972-06-01,33619286.462060854,33577532.142704055,33659695.45414422,33616000.0
1972-07-01,33623734.431674235,33581010.40503102,33666556.489786394,33620000.0
1972-08-01,33627383.226976275,33587161.24713801,33669524.80814896,33624000.0
1972-09-01,33629916.61605724,33585379.575459234,33671776.575607024,33628000.0
1972-10-01,33632696.79941003,33590314.20592395,33672990.92805704,33632000.0
1972-11-01,33634389.26619234,33593191.16704513,33675742.24351163,33636000.0
1972-12-01,33636639.60032841,33595530.04065672,33680674.70823262,33640000.0
1973-01-01,33638024.69135855,33598480.44133151,33681431.728613906,33644000.0
1973-02-01,33641036.812587194,33601962.17131317,33682237.30343796,33648000.0
1973-03-01,33647164.94347424,33606229.31809631,33690893.01605272,33652000.0
1973-04-01,33648730.56715638,33603730.2455508,33692627.75656795,33656000.0
1973-05-01,33651779.30204326,33611326.591931924,33694823.45002823,33659000.0
1973-06-01,33655681.99898967,33612650.215798244,33701041.08500305,33663000.0
1973-07-01,33659411.58413174,33612672.46174853,33699495.302068315,33666000.0
1973-08-01,33662446.33068896,33618201.25315065,33705476.63026118,33668000.0
1973-09-01,33664523.29665379,33621094.65595444,33708642.38627904,33670000.0
