Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,8397237.956609998,8268729.755117587,8523495.785427222,8373000.0
1971-02-01,8393911.192368492,8263269.260433828,8528448.578997811,8393000.0
1971-03-01,8382377.955011988,8259758.66220746,8511780.324733285,8390000.0
1971-04-01,8379999.420686444,8254015.897352946,8503365.520317035,8377000.0
1971-05-01,8385335.348101353,8266807.911133084,8516998.464479648,8380000.0
1971-06-01,8379328.510061372,8256078.401452202,8505166.006909575,8406000.0
1971-07-01,8366208.268401504,8233920.93794717,8491423.447753461,8440000.0
1971-08-01,8357941.269223477,8232104.061832809,8490024.12646157,8467000.0
1971-09-01,8353808.622600086,8234119.551850146,8480797.805281756,8479000.0
1971-10-01,8346765.671220733,8228071.798506931,8473911.805847602,8459000.0
1971-11-01,8339632.023950981,8213047.432325269,8461657.841340171,8436000.0
1971-12-01,8331930.114854437,8209175.6757676,8459793.098737648,8394000.0
1972-01-01,8325893.649014621,8199092.470234527,8442910.442674777,8346000.0
1972-02-01,8320541.5528974,8183316.263845398,8448108.34704271,8310000.0
1972-03-01,8315195.420152327,8181344.924055527,8445845.14876996,8309000.0
1972-04-01,8316451.647119283,8195548.690929408,8444026.208569136,8329000.0
1972-05-01,8296967.210716115,8180269.183822932,8425204.240568932,8352000.0
1972-06-01,8296350.405131502,8174084.194162612,8425948.726803055,8357000.0
1972-07-01,8304276.88294388,8179302.925762006,8427092.80408576,8341000.0
1972-08-01,8298495.748811711,8167777.8198746,8431870.29055053,8325000.0
1972-09-01,8278859.503205448,8153167.370039237,8397035.915305527,8303000.0
1972-10-01,8273043.042233737,8145694.676687849,8397977.171702325,8288000.0
1972-11-01,8264344.027795644,8136948.496468455,8390847.230403785,8255000.0
1972-12-01,8255459.718311222,8128744.92823975,8375714.695160502,8218000.0
1973-01-01,8252278.462563193,8129100.069561858,8375930.086727959,8167000.0
1973-02-01,8253045.649532131,8115768.720065969,8375610.419000315,8133000.0
1973-03-01,8241754.853503787,8127504.900593979,8371063.853407664,8123000.0
1973-04-01,8241698.40317876,8117693.971047247,8371685.689302953,8136000.0
1973-05-01,8230531.266238145,8094245.857725537,8373195.6431515105,8163000.0
1973-06-01,8228320.412743423,8095395.570812094,8354639.116878489,8185000.0
1973-07-01,8229234.503907166,8097457.6995214475,8361363.094407897,8198000.0
1973-08-01,8222457.286783802,8100328.489160814,8342646.749862719,8207000.0
1973-09-01,8207940.492825498,8077717.569226187,8331843.708803561,8209000.0
1973-10-01,8201766.478108312,8075673.093793585,8329381.130803532,8218000.0
1973-11-01,8193605.97326525,8070241.526171101,8316457.462650588,8222000.0
1973-12-01,8185161.535061161,8043548.385542491,8322527.020028259,8217000.0
1974-01-01,8181069.799466306,8050901.387349093,8299926.94044152,8206000.0
1974-02-01,8179783.742978571,8054407.648232753,8301849.151770048,8201000.0
1974-03-01,8168333.194614342,8036272.941752822,8299501.630517875,8200000.0
1974-04-01,8167065.457598805,8047309.470611046,8304949.770737923,8187000.0
1974-05-01,8164174.868346074,8035433.575859617,8288550.7809495935,8169000.0
1974-06-01,8160166.733517923,8030806.285356479,8288566.286747646,8134000.0
1974-07-01,8157569.608419457,8032023.111488681,8285279.12006494,8115000.0
1974-08-01,8153587.670043884,8028170.310902827,8285419.201626813,8102000.0
1974-09-01,8147865.008422221,8015066.878305311,8272507.690387719,8106000.0
1974-10-01,8144790.182992546,8011351.975948994,8271884.800163034,8115000.0
1974-11-01,8140776.136847374,8009966.686897348,8267343.844429172,8128000.0
1974-12-01,8136233.415405478,8014535.9413887095,8271187.501477157,8137000.0
1975-01-01,8134813.791734892,8007512.532953586,8261587.535061968,8136000.0
