Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,25137319.61594096,25031529.59753042,25261011.68301496,25187000.0
1971-02-01,25143489.1625514,25033753.89965291,25265786.63791969,25172000.0
1971-03-01,25156745.231308024,25034799.83348735,25273622.84005094,25180000.0
1971-04-01,25166338.950918395,25053552.89018221,25283735.05976864,25199000.0
1971-05-01,25168722.664633203,25050328.605490576,25288260.360081766,25202000.0
1971-06-01,25178047.298452288,25061670.847175896,25292350.572524134,25180000.0
1971-07-01,25195107.712911226,25074010.352851305,25317179.111323263,25148000.0
1971-08-01,25207301.762534216,25098344.71121187,25319413.733875863,25124000.0
1971-09-01,25214709.30469173,25101775.07523138,25335013.44436992,25115000.0
1971-10-01,25226459.825907107,25109038.6894769,25342468.232652053,25137000.0
1971-11-01,25239584.02518966,25119377.55025206,25354827.151405886,25163000.0
1971-12-01,25253634.984447375,25142591.500112537,25368776.296626996,25207000.0
1972-01-01,25264701.71131303,25146141.475272767,25380180.03518835,25257000.0
1972-02-01,25271055.01517513,25159193.245756086,25385603.411429364,25296000.0
1972-03-01,25285650.768541988,25168734.85314642,25394981.2764613,25300000.0
1972-04-01,25284851.87908684,25175005.696792528,25407193.38673192,25281000.0
1972-05-01,25306747.67300033,25192977.80312876,25415935.243736807,25262000.0
1972-06-01,25313842.38962451,25192397.77093264,25429123.088975202,25259000.0
1972-07-01,25311791.390835937,25195108.077066876,25423676.01290528,25279000.0
1972-08-01,25322761.742160875,25207754.9743437,25439108.12507959,25299000.0
1972-09-01,25346622.05762161,25237897.83698467,25462015.359052453,25325000.0
1972-10-01,25356845.145062044,25239087.746953543,25480168.706406176,25344000.0
1972-11-01,25368415.28431345,25252196.385115962,25485038.595855087,25381000.0
1972-12-01,25380760.657919716,25261949.8855985,25497864.967337564,25422000.0
1973-01-01,25387334.90076864,25273122.406346302,25501091.678961523,25477000.0
1973-02-01,25392695.944022585,25274845.546188194,25503423.264515407,25515000.0
1973-03-01,25409464.27532859,25293006.245697267,25525598.65507733,25528000.0
1973-04-01,25411859.74307508,25305515.160694007,25520718.417836137,25520000.0
1973-05-01,25426940.887928482,25306157.71216692,25545496.931818034,25497000.0
1973-06-01,25434299.592427418,25314916.400252644,25546127.226684727,25478000.0
1973-07-01,25438312.829158656,25326266.609324694,25549637.399212938,25468000.0
1973-08-01,25449530.933561962,25338333.416996043,25566333.279623166,25461000.0
1973-09-01,25467617.58721787,25354288.69205609,25584248.11267681,25461000.0
1973-10-01,25478165.259855535,25364442.939066213,25592135.196148474,25455000.0
1973-11-01,25490116.998882882,25374933.79774779,25604040.992155883,25453000.0
1973-12-01,25502904.117149998,25379840.686496116,25619291.652707487,25460000.0
1974-01-01,25510876.787823364,25394777.44556833,25620975.13079926,25474000.0
1974-02-01,25516501.890181847,25402476.189306326,25632271.007887628,25481000.0
1974-03-01,25531370.079799384,25412413.780476663,25638326.483511128,25484000.0
1974-04-01,25537230.331656188,25424742.859350603,25650972.12284505,25499000.0
1974-05-01,25545805.237053033,25431900.210843187,25664967.281776194,25520000.0
1974-06-01,25553907.560141668,25444797.052548893,25669800.737384636,25557000.0
1974-07-01,25562924.106151532,25441983.662021913,25682163.35186241,25581000.0
1974-08-01,25573134.81048198,25466016.558578663,25686588.730117623,25599000.0
1974-09-01,25584319.648921993,25463102.173610244,25699975.72474431,25600000.0
1974-10-01,25593902.83014564,25478380.5231404,25704308.957791157,25597000.0
1974-11-01,25604850.485577624,25491018.557851132,25717269.78060689,25589000.0
1974-12-01,25616733.346037727,25509122.49445474,25724383.10924778,25586000.0
1975-01-01,25624681.81121024,25517958.141923483,25741093.425549425,25592000.0
1975-02-01,25629115.481484476,25511946.478731446,25744063.911109213,25597000.0
1975-03-01,25640803.661937434,25527359.696085863,25760066.137815326,25621000.0
1975-04-01,25648661.505211595,25538030.709669776,25770469.99646108,25647000.0
1975-05-01,25649365.338601038,25531395.77461275,25764815.611277375,25673000.0
1975-06-01,25656954.09608392,25533882.74252915,25776845.712813914,25692000.0
1975-07-01,25672334.630217493,25552846.32604888,25792502.90443698,25704000.0
1975-08-01,25682792.803504284,25570767.6107876,25798832.492175587,25723000.0
1975-09-01,25688464.469325583,25571223.32907748,25807833.218711328,25735000.0
1975-10-01,25698535.110215604,25587337.56991139,25810290.0403851,25751000.0
1975-11-01,25709923.43316195,25603096.44710835,25830253.84992961,25758000.0
1975-12-01,25722294.512094304,25606935.35032072,25842996.554989807,25760000.0
1976-01-01,25731625.36262375,25612220.084273066,25846616.914821867,25759000.0
1976-02-01,25736242.790149644,25618269.146291498,25848832.450093824,25756000.0
1976-03-01,25746483.32481274,25637930.88147302,25855255.130069155,25764000.0
1976-04-01,25741028.85674323,25623432.701524615,25850263.214225337,25762000.0
1976-05-01,25758419.25199766,25645513.066785805,25875349.53710192,25764000.0
1976-06-01,25760858.390007474,25655800.508410495,25875076.534977384,25769000.0
1976-07-01,25754301.992559843,25632206.365398426,25868415.020086527,25771000.0
1976-08-01,25760616.765270416,25651237.37768198,25875019.95451198,25774000.0
1976-09-01,25779821.50211679,25661720.968230367,25891878.88679606,25776000.0
1976-10-01,25785849.20466692,25674512.107703023,25906157.659287516,25784000.0
1976-11-01,25793084.112865012,25677922.432271622,25901499.477094017,25795000.0
1976-12-01,25801234.10158097,25687406.75329521,25913206.893418614,25803000.0
1977-01-01,25803473.113376576,25678420.589826215,25917375.741710324,25799000.0
1977-02-01,25804498.925577205,25688607.184521943,25927120.877353366,25798000.0
1977-03-01,25817351.564318933,25703938.964282196,25931889.076686855,25803000.0
1977-04-01,25815411.801012103,25702732.99093899,25933867.337043043,25811000.0
1977-05-01,25826297.560975198,25715206.020627324,25940486.831599753,25823000.0
1977-06-01,25829321.034420818,25710653.809670277,25947656.190399386,25840000.0
1977-07-01,25829138.88626175,25715568.571104366,25945837.08929594,25859000.0
1977-08-01,25836021.75961175,25726561.78636648,25951707.640151203,25862000.0
1977-09-01,25849773.18221433,25734458.768817876,25960886.051217534,25868000.0
1977-10-01,25856125.469961688,25742401.328462295,25973050.454853065,25868000.0
1977-11-01,25863741.977935724,25754854.787768632,25977124.002367713,25871000.0
1977-12-01,25881704.917306866,25767040.798531115,25998302.25986156,25876000.0
1978-01-01,25895025.9364544,25782977.80644109,26005215.47241019,25877000.0
1978-02-01,25905999.387287054,25790996.98261621,26027830.32786401,25882000.0
1978-03-01,25925698.343268346,25809627.88340957,26038772.05028955,25890000.0
1978-04-01,25936906.943599313,25826032.568510022,26055850.58472716,25892000.0
1978-05-01,25950657.67010018,25836951.948271368,26063384.821633313,25896000.0
1978-06-01,25964108.341662988,25852795.31248258,26072496.826938752,25910000.0
1978-07-01,25979670.575333484,25859831.573892407,26097969.13090122,25927000.0
1978-08-01,25996645.156913254,25885826.90182828,26112572.897894587,25949000.0
1978-09-01,26014593.872602593,25902591.002155203,26124995.338382132,25970000.0
1978-10-01,26030722.74148688,25912893.840132713,26143328.98681134,25991000.0
1978-11-01,26048434.274168186,25930354.433444604,26165764.22744097,26014000.0
1978-12-01,26066862.82228892,25942867.68497389,26181020.77345244,26030000.0
1979-01-01,26081575.164710756,25975971.564543564,26189159.228289805,26039000.0
1979-02-01,26092772.712234315,25966990.99134145,26206251.325469952,26036000.0
1979-03-01,26110570.20117053,25994620.713322446,26225528.929435417,26043000.0
1979-04-01,26125191.92169402,26008151.356495984,26236476.68170389,26062000.0
1979-05-01,26132441.44274409,26016344.763856415,26245683.980849754,26092000.0
1979-06-01,26146794.077476297,26028488.138873067,26254314.296249934,26118000.0
1979-07-01,26168720.29927051,26047272.264115676,26289779.250515465,26139000.0
1979-08-01,26186747.20430464,26068109.877037797,26305505.26453424,26163000.0
1979-09-01,26199987.601873275,26090270.475883473,26309389.77114996,26191000.0
1979-10-01,26217382.821873616,26107285.773163874,26329180.44747042,26213000.0
1979-11-01,26236339.876567304,26128656.172956046,26347429.047326412,26230000.0
1979-12-01,26256035.534609973,26135794.115548983,26366963.99648047,26250000.0
1980-01-01,26272935.116886772,26158971.13561286,26391498.588920936,26273000.0
1980-02-01,26285121.27615999,26169205.20269478,26401560.53534463,26293000.0
1980-03-01,26305173.571685646,26188567.478495665,26421099.46887231,26321000.0
1980-04-01,26310207.537641633,26193394.118764687,26426078.671406545,26345000.0
1980-05-01,26337748.030340087,26219777.61299923,26451102.710628495,26371000.0
1980-06-01,26350675.602375392,26231384.8045588,26462569.017500672,26396000.0
1980-07-01,26354269.302371785,26234399.2236312,26462668.36972933,26409000.0
1980-08-01,26371072.509107858,26254489.58708005,26487777.98946421,26424000.0
1980-09-01,26400765.67997972,26283671.639544517,26512667.289005075,26448000.0
1980-10-01,26416943.479973875,26300069.33997622,26534121.86295013,26471000.0
1980-11-01,26434666.822197463,26322114.598454487,26549115.70868879,26499000.0
1980-12-01,26452966.90835745,26323095.208316248,26562002.49210354,26510000.0
1981-01-01,26465694.354178555,26352695.21899585,26571790.396709763,26525000.0
1981-02-01,26477208.60040467,26361287.73334985,26600996.614337284,26538000.0
1981-03-01,26499534.663427494,26379367.22457517,26610027.78427054,26553000.0
1981-04-01,26508083.334146153,26390111.086471442,26622528.76704812,26545000.0
1981-05-01,26500616.717487425,26391952.777804203,26607938.985674888,26531000.0
1981-06-01,26484676.068423837,26367327.999856416,26605702.97963987,26522000.0
1981-07-01,26466141.54364295,26342478.018797483,26581111.77245552,26513000.0
1981-08-01,26454060.294483718,26340638.972415477,26565457.794708885,26497000.0
1981-09-01,26448847.594577085,26331703.454188842,26562893.545245044,26484000.0
1981-10-01,26436847.50570263,26323250.593059033,26552671.87340531,26460000.0
1981-11-01,26425499.891167443,26319050.08311131,26535810.627851646,26438000.0
1981-12-01,26415739.247922428,26294603.581161756,26535864.67706069,26421000.0
1982-01-01,26400412.565033264,26289274.79494414,26517831.474809088,26413000.0
1982-02-01,26382738.313829225,26273951.649568103,26497190.639522076,26399000.0
1982-03-01,26376561.926035434,26264139.528668348,26498699.51320168,26391000.0
1982-04-01,26359122.824329704,26241683.999787457,26472395.990855314,26373000.0
1982-05-01,26345149.968214415,26220111.526621677,26460339.17820123,26354000.0
1982-06-01,26329952.937740523,26206736.267356697,26448818.044635646,26332000.0
1982-07-01,26317791.588794865,26201713.994185634,26432507.383607123,26313000.0
1982-08-01,26306118.46833795,26191614.95458974,26425857.559805922,26289000.0
1982-09-01,26295419.48199058,26190399.6576746,26408800.082950704,26262000.0
1982-10-01,26283824.768258702,26176068.927981373,26398805.73696493,26240000.0
1982-11-01,26272888.598903313,26147831.05160811,26385998.3511755,26219000.0
1982-12-01,26263593.564407896,26150205.700876746,26371204.029810406,26200000.0
1983-01-01,26304947.380150616,26190645.148925886,26419715.67527168,26191000.0
1983-02-01,26342786.400995072,26224488.60476148,26457918.371866766,26185000.0
1983-03-01,26384647.156156607,26271116.522868708,26496886.384854935,26197000.0
1983-04-01,26425910.350000996,26309499.501065396,26544115.094457325,26246000.0
1983-05-01,26458941.94200677,26339631.459692616,26572143.363296323,26302000.0
1983-06-01,26499936.050059862,26388317.63051482,26608547.15464645,26383000.0
1983-07-01,26547644.342809778,26432103.81013815,26657283.457104858,26467000.0
1983-08-01,26591507.866666786,26475707.960926976,26701744.06628162,26551000.0
1983-09-01,26630584.883058295,26507902.132721502,26748248.953684162,26630000.0
1983-10-01,26672983.282564655,26556141.914024383,26790021.135401778,26702000.0
1983-11-01,26717776.95608122,26599945.980965275,26827078.551868618,26774000.0
1983-12-01,26762475.793629907,26632168.800823875,26882358.736775637,26842000.0
1984-01-01,26805211.994729575,26697501.71651189,26922726.132229477,26909000.0
1984-02-01,26843234.772825673,26724162.792196788,26955149.60780157,26969000.0
1984-03-01,26887456.808540475,26774827.283113506,26994042.056344148,27025000.0
1984-04-01,26918327.39331934,26808117.20092643,27033395.47564125,27050000.0
1984-05-01,26970871.065523807,26851298.132279888,27082915.97630969,27074000.0
1984-06-01,27009635.25638198,26897954.070500724,27126378.87517779,27088000.0
1984-07-01,27038232.135884393,26918997.112003163,27142954.511039477,27110000.0
1984-08-01,27080871.961443357,26961260.11060993,27190014.362205263,27142000.0
1984-09-01,27136401.751138087,27029659.80730815,27255069.12816656,27170000.0
1984-10-01,27153716.22709486,27039207.74176509,27267120.737937205,27194000.0
1984-11-01,27172614.13447983,27059051.31248819,27287442.284625802,27206000.0
1984-12-01,27192050.896602433,27078643.847166732,27306855.884702988,27223000.0
1985-01-01,27205952.907584913,27098043.43847087,27323714.058043137,27234000.0
1985-02-01,27218641.71897241,27102109.198608644,27332365.832102206,27249000.0
1985-03-01,27242028.679560337,27123211.63841967,27362968.934855502,27250000.0
1985-04-01,27251751.915440377,27141594.116582446,27368219.588273395,27268000.0
1985-05-01,27273924.448810115,27166207.656575095,27391724.415309023,27276000.0
1985-06-01,27288610.92144262,27184812.29609842,27410775.042225298,27291000.0
1985-07-01,27299715.5466902,27186742.380091704,27415947.915008623,27309000.0
1985-08-01,27318261.419227056,27203986.84681564,27430199.16670814,27327000.0
1985-09-01,27343675.84101651,27225425.753670324,27449950.19314382,27340000.0
1985-10-01,27361314.90217052,27248126.924106788,27474006.483341195,27348000.0
1985-11-01,27380594.409331422,27264693.326929994,27485827.55674619,27357000.0
1985-12-01,27400472.916114885,27284251.649094116,27515269.069735315,27372000.0
1986-01-01,27415773.354921803,27301558.68999291,27541647.560229916,27385000.0
1986-02-01,27428726.225413844,27314114.35746778,27535161.4164189,27396000.0
1986-03-01,27450213.044313293,27337816.23190751,27565318.662200205,27408000.0
1986-04-01,27463401.064303655,27346195.214004222,27582512.712463327,27423000.0
1986-05-01,27479067.358216833,27363556.459997438,27597361.115206055,27453000.0
1986-06-01,27500652.247179188,27386445.133617166,27605376.095833506,27489000.0
1986-07-01,27524086.304139577,27408820.549178887,27634594.20950749,27520000.0
1986-08-01,27549195.103118893,27438477.364492033,27668887.887097485,27535000.0
1986-09-01,27575278.036207777,27461103.776342053,27689955.975734465,27564000.0
1986-10-01,27599278.72838195,27479183.69896769,27722618.89979806,27580000.0
1986-11-01,27625124.478462808,27506357.22379067,27750382.91093907,27599000.0
1986-12-01,27651424.84987343,27539353.91170007,27768234.362930108,27607000.0
1987-01-01,27674271.409694806,27563343.16399114,27793879.768908888,27607000.0
1987-02-01,27693603.17461791,27579381.473444663,27808418.692083728,27629000.0
1987-03-01,27718747.698624697,27606768.00971725,27833559.105884667,27662000.0
1987-04-01,27741503.636547733,27632986.448919956,27857949.310094923,27696000.0
1987-05-01,27756624.98088769,27635195.960803032,27870077.988581616,27732000.0
1987-06-01,27779111.833019428,27669669.901415914,27904275.634407923,27764000.0
1987-07-01,27808909.878103532,27698827.80878786,27923626.614776056,27801000.0
1987-08-01,27834266.146039203,27723751.98548824,27958955.063834015,27824000.0
1987-09-01,27854835.906509366,27737201.559835564,27964740.163070235,27848000.0
1987-10-01,27879324.058349907,27761801.464111514,27992335.688148018,27876000.0
1987-11-01,27905610.47594512,27793540.395271033,28030391.304990716,27908000.0
1987-12-01,27932399.065828,27815438.647356935,28055147.041649673,27939000.0
1988-01-01,27956628.011006325,27838662.364571173,28074928.087177627,27960000.0
1988-02-01,27976315.29287151,27869934.66785911,28084058.60288102,27977000.0
1988-03-01,28003384.767596103,27893640.575125817,28117873.085985243,27990000.0
1988-04-01,28015919.856144052,27895640.655895874,28134476.179870516,28011000.0
1988-05-01,28050719.499737937,27931154.406091552,28160566.068042357,28024000.0
1988-06-01,28071148.194365222,27959344.462600466,28177803.166047085,28045000.0
1988-07-01,28082001.045257073,27965328.664376236,28198894.740592044,28083000.0
1988-08-01,28106305.374585092,27993356.4145084,28217255.47676108,28116000.0
1988-09-01,28143499.668048926,28030204.34609996,28250084.637803845,28145000.0
1988-10-01,28166936.618938524,28047985.678899597,28276580.518878076,28163000.0
1988-11-01,28192161.083754074,28083652.707038216,28309419.768795032,28190000.0
1988-12-01,28217720.320809513,28106670.43034246,28332917.657339174,28224000.0
1989-01-01,28237948.889222573,28125768.258468986,28351222.94658259,28266000.0
1989-02-01,28256964.25804066,28145428.552966885,28378357.67872914,28289000.0
1989-03-01,28286065.528565887,28166828.206737746,28408215.674321007,28300000.0
1989-04-01,28302115.321876515,28184802.44481709,28423852.792046,28301000.0
1989-05-01,28330410.33017909,28214372.694161907,28444803.540682066,28311000.0
1989-06-01,28351423.36024216,28236347.9573985,28479912.347327095,28314000.0
1989-07-01,28368650.460422575,28256413.57679237,28479600.518957514,28328000.0
1989-08-01,28393522.890390035,28270536.12956553,28509777.161157068,28343000.0
1989-09-01,28425263.86961006,28315095.648210187,28543395.412740413,28367000.0
1989-10-01,28449025.405696888,28331875.9795508,28553975.100169465,28387000.0
1989-11-01,28436909.273531605,28318048.41569566,28552399.297354784,28389000.0
1989-12-01,28426404.90354778,28314947.654406685,28553632.844578646,28395000.0
1990-01-01,28410309.703028508,28286251.372917105,28519653.110010747,28394000.0
1990-02-01,28391866.934194356,28271002.80958567,28499872.0580151,28405000.0
1990-03-01,28384996.40144434,28276306.391561385,28505547.814651966,28419000.0
1990-04-01,28366788.7821085,28255150.260265436,28470457.698547874,28431000.0
1990-05-01,28352072.199254405,28230893.6547975,28468152.446880274,28438000.0
1990-06-01,28336106.6511504,28218574.863724817,28464455.142403226,28444000.0
1990-07-01,28323201.575465936,28208153.12133851,28437722.683009136,28434000.0
1990-08-01,28310759.9373789,28201881.570368692,28418015.26657655,28420000.0
1990-09-01,28299292.433401432,28183934.3281962,28421081.562500194,28412000.0
1990-10-01,28286953.992930744,28171071.03245209,28395613.705301736,28401000.0
1990-11-01,28275249.305945244,28163623.924697712,28395902.082658824,28374000.0
1990-12-01,28265210.544711012,28147113.214366127,28372522.31017007,28359000.0
1991-01-01,28250506.66746605,28137864.04568608,28365492.17201111,28341000.0
1991-02-01,28232287.995322797,28110529.65596037,28363364.141575966,28334000.0
