Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,24102509.56872079,23868003.260892857,24319863.86185812,24219000.0
1971-02-01,24108313.053740624,23886872.620914984,24343415.549311552,24187000.0
1971-03-01,24127927.62268693,23894378.509552862,24372871.531822253,24171000.0
1971-04-01,24135506.535128035,23886708.377959866,24365832.664512824,24168000.0
1971-05-01,24134894.32369223,23890934.793158215,24368397.553470742,24153000.0
1971-06-01,24143750.95665334,23910508.279477417,24384129.404959355,24125000.0
1971-07-01,24156737.555426516,23932893.470404413,24393209.05430016,24085000.0
1971-08-01,24173574.217775114,23945661.851914655,24411502.08243884,24046000.0
1971-09-01,24180045.485026285,23932464.335915316,24414999.76860765,24015000.0
1971-10-01,24196766.826129254,23945608.878023017,24434020.923623167,24017000.0
1971-11-01,24203658.32030884,23983253.594496716,24428197.750417963,24032000.0
1971-12-01,24215779.12568405,23983347.586724993,24441541.132442657,24071000.0
1972-01-01,24227724.415484097,23976013.177775208,24458596.700243123,24115000.0
1972-02-01,24233108.649056364,23984755.804226372,24471334.502423573,24148000.0
1972-03-01,24245147.228574958,24010670.378790423,24487720.969556663,24158000.0
1972-04-01,24246376.83490752,24018920.649836622,24477372.59263119,24155000.0
1972-05-01,24277310.933377456,24048468.01173622,24523316.162680626,24154000.0
1972-06-01,24283081.63814429,24036544.879351955,24522151.343705624,24164000.0
1972-07-01,24281329.493571192,24035871.16729293,24520418.082844153,24192000.0
1972-08-01,24285616.15257236,24052560.121368006,24530347.394558173,24220000.0
1972-09-01,24313161.98118048,24071809.912743323,24563517.777129926,24253000.0
1972-10-01,24316396.069115046,24082654.12588242,24539911.221463576,24288000.0
1972-11-01,24334734.136006933,24098149.507714793,24566490.8921619,24346000.0
1972-12-01,24345333.941727012,24097871.529354136,24577745.182709105,24412000.0
1973-01-01,24358445.302636668,24116662.221648335,24584139.505532265,24488000.0
1973-02-01,24365292.94621446,24124092.713881128,24591124.235601734,24541000.0
1973-03-01,24374786.592772152,24158093.93024161,24603771.182082463,24565000.0
1973-04-01,24378319.732260738,24146948.198333643,24622119.335015047,24564000.0
1973-05-01,24398751.872083034,24155292.87063571,24631664.50052521,24552000.0
1973-06-01,24405342.894951884,24182178.463047676,24647558.434505466,24548000.0
1973-07-01,24408429.042019576,24168465.821426153,24646820.762961052,24554000.0
1973-08-01,24417039.728392657,24179837.01514254,24662317.232223332,24561000.0
1973-09-01,24437603.138426434,24203528.050202586,24675916.15626486,24573000.0
1973-10-01,24445318.15179808,24207895.552671585,24677646.254572585,24580000.0
1973-11-01,24459874.274242867,24245163.545746773,24690202.60574385,24575000.0
1973-12-01,24470931.0517813,24254025.411995694,24718706.976313435,24569000.0
1974-01-01,24483630.825196527,24252339.270124093,24720791.16314937,24563000.0
1974-02-01,24489921.908423033,24272715.323511735,24731894.97843294,24563000.0
1974-03-01,24504488.528152898,24263974.771696478,24750044.36068029,24564000.0
1974-04-01,24510138.330499705,24295140.50830944,24752825.391836986,24575000.0
1974-05-01,24520051.022555806,24282478.641375013,24748153.518025,24592000.0
1974-06-01,24527670.585574817,24298932.13213174,24761266.699892886,24620000.0
1974-07-01,24522763.315465774,24289647.488800976,24757858.73103293,24636000.0
1974-08-01,24522219.748537973,24279523.081599243,24762654.37733826,24647000.0
1974-09-01,24522417.32476972,24298979.44094566,24757811.667657923,24644000.0
1974-10-01,24521719.990423236,24300926.743146412,24748213.517031852,24635000.0
1974-11-01,24519120.37715555,24268910.663150005,24761360.326438468,24613000.0
1974-12-01,24517775.11096711,24292612.439167164,24752622.74372976,24592000.0
1975-01-01,24516746.96521309,24285567.262806963,24764012.82451636,24576000.0
1975-02-01,24509211.349241905,24281833.952475812,24750297.328769974,24555000.0
1975-03-01,24516777.697938252,24293226.881026153,24757738.869696088,24544000.0
1975-04-01,24511017.509388335,24282162.399587933,24747772.913470645,24534000.0
1975-05-01,24497496.490541857,24245582.92084757,24732574.55083367,24524000.0
1975-06-01,24493014.022511948,24262780.393299244,24729428.991780557,24513000.0
1975-07-01,24493091.813874453,24256492.688841768,24721762.075009137,24496000.0
1975-08-01,24496589.37523203,24274510.96477401,24729899.546378523,24484000.0
1975-09-01,24489721.54149217,24256503.524949502,24725721.98308441,24463000.0
1975-10-01,24493534.07518448,24272555.24108463,24739170.339767333,24446000.0
1975-11-01,24487086.468373034,24261550.03098474,24717336.666791447,24429000.0
1975-12-01,24486298.46633758,24239659.0432039,24723866.191707004,24412000.0
1976-01-01,24484904.655146603,24249997.560323916,24716373.968634576,24395000.0
