Start Date,yhat,yhat_lower,yhat_upper,Actual
1971-01-01,586699.819013257,181265.76306686457,991924.885114381,967000.0
1971-02-01,601735.7328014537,182360.73969948117,997654.2545538971,985000.0
1971-03-01,602230.3375275455,218664.21448941337,995078.1755043129,1009000.0
1971-04-01,619923.776425292,225526.50773061241,988295.3843392143,1031000.0
1971-05-01,637127.7180018193,254439.92448825642,1027411.3724417022,1049000.0
1971-06-01,651469.8529824995,235694.4461352559,1035578.8010821601,1055000.0
1971-07-01,667289.2759765869,261305.12000163697,1106768.9424961912,1063000.0
1971-08-01,675875.2233334219,285880.0571175258,1058851.8262315681,1077000.0
1971-09-01,690063.5760758147,309787.1977757666,1087355.1108987192,1100000.0
1971-10-01,697286.4293824444,307524.16938797355,1092864.8084748613,1120000.0
1971-11-01,716888.857267609,327796.89919240377,1091919.8523746815,1130000.0
1971-12-01,733129.2546066714,360112.92736595985,1123720.8481477918,1136000.0
1972-01-01,759799.111429848,369202.44146325294,1143415.4822190995,1142000.0
1972-02-01,776513.2783340808,386830.84858428506,1172624.309931922,1148000.0
1972-03-01,791606.578424938,364152.7248901081,1165356.560911059,1142000.0
1972-04-01,799901.1719381869,421766.3542833843,1178313.4459359972,1126000.0
1972-05-01,803011.5068802863,414046.6987040036,1172974.3378377645,1108000.0
1972-06-01,814959.1726742641,443173.55203056574,1215316.624791106,1094000.0
1972-07-01,826536.9051266935,430910.0504493162,1214686.454357479,1087000.0
1972-08-01,846928.6744389992,449203.0767154268,1229990.642493887,1079000.0
1972-09-01,857903.9284893115,451486.80102727964,1224729.064129811,1072000.0
1972-10-01,879202.5147033375,471416.4372851242,1291884.640732533,1056000.0
1972-11-01,888613.3212422365,504941.51866593026,1281830.5787843103,1035000.0
1972-12-01,905022.2314965437,496440.40960997826,1299028.5478894876,1010000.0
1973-01-01,916470.2459369765,530340.338068407,1290440.466344777,989000.0
1973-02-01,927485.9336441685,511633.04966626485,1301634.839483726,974000.0
1973-03-01,953850.9725392228,571683.076176963,1332475.8935645956,964000.0
1973-04-01,965060.9485083541,579480.2904161128,1356643.6592712358,955000.0
1973-05-01,972837.0746365591,563616.1262012057,1347335.5433260675,944000.0
1973-06-01,985643.4051803702,631621.8794856316,1421667.6059197756,931000.0
1973-07-01,998743.2959185787,622459.087588297,1392898.5998910097,914000.0
1973-08-01,1015237.9720248301,617422.3854150067,1421942.6377070989,900000.0
1973-09-01,1027283.7537038041,641684.9608636829,1448682.7085769675,888000.0
1973-10-01,1043820.8969455654,662967.7353208149,1432445.1533808284,875000.0
1973-11-01,1056539.5199098838,684885.9268782509,1456464.877591344,879000.0
1973-12-01,1072852.365174227,687183.6319762358,1440434.7542401052,891000.0
1974-01-01,1089409.866528352,696579.6526556396,1469576.0173988582,910000.0
1974-02-01,1102546.0382463057,724418.3283281355,1468201.1791647826,918000.0
1974-03-01,1115967.1239089204,732747.1972070205,1515338.5017579654,920000.0
1974-04-01,1130310.700242139,736284.0987511732,1510483.4957293523,924000.0
1974-05-01,1142787.0469329283,753849.3123705663,1545680.3590488133,928000.0
1974-06-01,1156392.4597231573,754368.9294544836,1580203.9196009322,938000.0
1974-07-01,1170906.5934385615,731555.8825713411,1568027.959706101,944000.0
1974-08-01,1183464.597979457,801291.9605821305,1588377.4664856475,952000.0
1974-09-01,1196580.9860769024,830765.6854420546,1614372.6296395084,956000.0
1974-10-01,1208424.6557381009,835556.2915144637,1601108.1588369475,963000.0
1974-11-01,1224541.4506800277,827382.1211703557,1612824.9378719907,976000.0
1974-12-01,1240799.1057387278,830894.5448816171,1636985.8014522947,993000.0
1975-01-01,1262432.671167534,865888.3686533018,1646996.2958366678,1016000.0
1975-02-01,1277468.5848836673,871684.9642116367,1672310.9580044546,1042000.0
1975-03-01,1277963.1895446621,899651.6008259853,1652323.8785573617,1076000.0
1975-04-01,1295656.6283703484,906976.7098664152,1691026.0911593274,1112000.0
1975-05-01,1312860.5698771367,918990.50872696,1697464.537065368,1149000.0
1975-06-01,1327202.7047857523,948115.1091679608,1711701.1303041556,1179000.0
1975-07-01,1343022.1277101007,948235.5646452201,1706744.0232071148,1207000.0
1975-08-01,1351608.0749948707,960497.9413886158,1735545.0429039712,1239000.0
1975-09-01,1365796.4276652012,957844.5713819752,1753741.2026718878,1273000.0
1975-10-01,1373019.2809020823,1007520.057886098,1774396.7926105065,1305000.0
1975-11-01,1392621.7087151918,1001066.1348876327,1797142.4130581394,1329000.0
1975-12-01,1408862.1059845118,998419.6342916414,1835323.666387216,1349000.0
1976-01-01,1435531.962735626,1068484.2274964235,1837708.6164714235,1365000.0
1976-02-01,1452246.1295677929,1060713.4569390009,1823230.579978015,1378000.0
1976-03-01,1467339.7591799349,1077530.965767217,1873107.7882724428,1391000.0
1976-04-01,1475634.7049400744,1080026.593803774,1908330.3684614738,1399000.0
1976-05-01,1478745.3807662649,1094416.2055063653,1861849.4983763094,1405000.0
1976-06-01,1490693.3988071333,1077133.9651464566,1880567.151139552,1410000.0
1976-07-01,1502271.4721436491,1080274.0724827268,1907189.3976847543,1416000.0
1976-08-01,1522663.5937028478,1121210.4029159502,1920435.6379949125,1418000.0
1976-09-01,1533639.2000000507,1169275.961987681,1936891.61506846,1417000.0
1976-10-01,1554938.127109323,1186327.6322375545,1932763.709155479,1417000.0
1976-11-01,1564349.285906646,1178686.7161483704,1987901.1249353916,1421000.0
1976-12-01,1580758.5370562011,1217228.0382810372,1944132.7668210787,1422000.0
1977-01-01,1592206.9037550557,1207398.1816409773,2016918.105687593,1421000.0
1977-02-01,1603222.943720668,1190483.6256726182,1978500.4953283772,1423000.0
1977-03-01,1629588.3007846256,1243055.5068827865,2013863.6496208091,1426000.0
1977-04-01,1640798.6290121803,1231851.6002221697,1999082.5646406403,1438000.0
1977-05-01,1648575.0960356328,1265273.4215576558,2051798.060849206,1452000.0
1977-06-01,1661381.7788378692,1237456.4240023366,2036850.4697429743,1466000.0
1977-07-01,1674482.0104713256,1268901.421422936,2087830.5267588266,1478000.0
1977-08-01,1690977.0388359989,1289686.4753156526,2095282.8803677033,1483000.0
1977-09-01,1703023.1727733964,1303454.6322446899,2099759.7157224943,1487000.0
1977-10-01,1719560.6569104071,1320665.9238420734,2128890.977649587,1484000.0
1977-11-01,1732279.6321331488,1366357.7306118815,2101658.900959939,1478000.0
1977-12-01,1748748.0489452134,1380773.1346209312,2122345.0403682343,1469000.0
1978-01-01,1765466.3075653247,1355021.8988262522,2145102.588705338,1459000.0
1978-02-01,1778763.2365492536,1369953.444309321,2191158.819585171,1454000.0
1978-03-01,1792329.5223230827,1427586.8290428952,2208629.2552736723,1451000.0
1978-04-01,1806833.855922273,1433207.083231995,2216372.05601851,1448000.0
1978-05-01,1819465.774160792,1426371.8238556879,2213146.4412803515,1443000.0
1978-06-01,1833231.9442170057,1469139.582424753,2200564.302639529,1443000.0
1978-07-01,1847901.6495387116,1475248.9961708516,2239702.898898303,1439000.0
1978-08-01,1860620.4114061226,1471472.2832685523,2248552.2521106517,1433000.0
1978-09-01,1873897.5568300805,1486962.74603676,2282247.3261529678,1419000.0
1978-10-01,1885896.798097584,1522098.9552775826,2289747.2368492763,1405000.0
1978-11-01,1902174.3503660199,1499839.505569426,2302458.7313750805,1396000.0
1978-12-01,1918587.577031029,1537038.130660216,2297141.715709477,1399000.0
1979-01-01,1940381.8997863429,1563401.145810896,2336160.5896615046,1403000.0
1979-02-01,1955578.5708289957,1562390.6604066135,2352628.110547326,1397000.0
1979-03-01,1956218.3756558718,1558044.4223207205,2375774.949247462,1388000.0
1979-04-01,1974072.571808075,1584573.3568571226,2371942.764879324,1388000.0
1979-05-01,1991432.0849211605,1616174.8801949057,2396966.676513974,1398000.0
1979-06-01,2005934.9771562892,1596391.946465041,2372776.4660959723,1405000.0
1979-07-01,2021909.9716869409,1643057.4501483259,2402297.1236341367,1412000.0
1979-08-01,2030656.9763488774,1618971.1092843784,2417489.278576425,1424000.0
1979-09-01,2045006.3863963739,1638233.8549607063,2424512.7322262903,1437000.0
1979-10-01,2052385.101611165,1653290.2893326152,2452064.2341565248,1454000.0
1979-11-01,2072148.5868014384,1634553.2611748914,2480244.627311814,1474000.0
1979-12-01,2088544.8460486669,1715795.775322791,2477333.4359365245,1506000.0
1980-01-01,2115375.760176946,1729650.1881750096,2520024.319855312,1543000.0
1980-02-01,2132250.9843862816,1755816.285649983,2528735.053042641,1587000.0
1980-03-01,2147494.950988367,1785689.5096788635,2519654.058775689,1633000.0
1980-04-01,2155950.6018067175,1734088.7152174457,2554896.931289098,1686000.0
1980-05-01,2159216.7986569777,1778284.063201024,2556490.3169531506,1741000.0
1980-06-01,2171325.5217560646,1768556.535128548,2568596.0325669665,1814000.0
1980-07-01,2183059.116116654,1797802.0285552691,2566666.303806542,1891000.0
1980-08-01,2203611.9427340664,1796788.7809705846,2586854.9838369745,1975000.0
1980-09-01,2214748.254089478,1827075.61463058,2592738.3196371123,2063000.0
1980-10-01,2236202.702222829,1858534.826433927,2653922.8267590706,2155000.0
1980-11-01,2245774.5660783625,1861877.1279096287,2625558.3198178387,2242000.0
1980-12-01,2262339.3382520033,1895692.150366572,2630314.109660472,2317000.0
1981-01-01,2273948.4100090642,1888521.7045820514,2665812.6510963957,2390000.0
1981-02-01,2285125.155032885,1883679.806385416,2671774.9958352614,2462000.0
1981-03-01,2311635.665052637,1941345.0577385363,2699444.822942004,2530000.0
1981-04-01,2323006.698338414,1929574.167465904,2686458.451889318,2574000.0
1981-05-01,2330938.686494396,1928110.5319717862,2720254.8520233855,2611000.0
1981-06-01,2343906.0744668916,1987396.6853770257,2717661.607893957,2641000.0
1981-07-01,2357161.8272328754,1963835.1551044784,2754682.46406649,2671000.0
1981-08-01,2373817.5607678182,1984300.9389673877,2787539.401238053,2699000.0
1981-09-01,2386024.3998754867,1968782.460873369,2762189.3027857356,2726000.0
1981-10-01,2402717.4051450193,2013720.5494091879,2814745.0151719213,2747000.0
1981-11-01,2415597.085538026,1995300.0767780545,2817711.5555225178,2766000.0
1981-12-01,2432065.792830141,2055568.8193168165,2836147.814510929,2778000.0
1982-01-01,2448784.3516129567,2064940.0993249405,2826639.167095097,2789000.0
1982-02-01,2462081.5807596087,2080951.6079297957,2855118.931192505,2799000.0
1982-03-01,2475648.137648134,2089899.6794291458,2881038.352761803,2810000.0
1982-04-01,2490152.7714100475,2071946.3943550475,2891144.093614959,2826000.0
1982-05-01,2502784.980128612,2140881.5291415732,2887051.8080457966,2843000.0
1982-06-01,2516551.450347535,2150599.1665691254,2919463.9910944034,2863000.0
1982-07-01,2531221.4461492877,2108569.145433905,2909089.983918582,2883000.0
1982-08-01,2543940.508179401,2159956.5480101183,2907129.833597708,2903000.0
1982-09-01,2557217.953766076,2141017.8371169874,2943259.436501579,2925000.0
1982-10-01,2569217.485513611,2201144.092688688,2946832.2641957784,2946000.0
1982-11-01,2585495.3379447744,2193080.157681963,2978955.3105758433,2963000.0
1982-12-01,2601908.855089822,2211904.797305385,3032456.1813299647,2975000.0
1983-01-01,2620292.847379644,2210211.96121976,2994408.679596866,2985000.0
1983-02-01,2632079.1879568035,2212941.231360659,2990431.848179264,2996000.0
1983-03-01,2629638.6942987205,2242504.6407535304,2987653.7284738016,3010000.0
1983-04-01,2644082.5599854197,2263358.1735676597,3029764.555524535,3035000.0
1983-05-01,2658141.7532931888,2274883.045781152,3073390.0115341614,3059000.0
1983-06-01,2669234.315062832,2273298.552053003,3076474.3212156245,3077000.0
1983-07-01,2681908.989788166,2275262.5362895266,3084095.8249894506,3091000.0
1983-08-01,2687245.363933949,2317140.8798410855,3068660.9082757384,3106000.0
1983-09-01,2698184.143465298,2318431.0896112337,3087307.9206734276,3126000.0
1983-10-01,2702262.248503165,2319809.4063936654,3131334.692478599,3145000.0
1983-11-01,2718615.103177291,2330633.642010029,3112161.068919083,3165000.0
1983-12-01,2731710.7522476004,2355378.724112486,3123824.7826258256,3190000.0
1984-01-01,2755131.0358597403,2356421.940622683,3148732.087684508,3216000.0
1984-02-01,2768595.629552919,2355459.1313484693,3168737.686449028,3235000.0
1984-03-01,2780649.0063173105,2391424.524865365,3142849.6582951145,3248000.0
1984-04-01,2785694.026619522,2372231.279731947,3190257.9380257707,3235000.0
1984-05-01,2785659.613292863,2395632.2315254556,3170820.514225489,3225000.0
1984-06-01,2794357.705875798,2405432.214727305,3171785.21808329,3213000.0
1984-07-01,2802790.6900594593,2421335.5066502094,3183954.8643303057,3209000.0
1984-08-01,2819932.886160734,2412703.3837242452,3249464.404194736,3203000.0
1984-09-01,2827658.5669999965,2417794.9611254674,3222650.7930201897,3198000.0
1984-10-01,2836240.2488558525,2458591.1564779053,3209562.5834382335,3187000.0
1984-11-01,2832510.2542246557,2423748.1945440853,3187992.6244755113,3175000.0
1984-12-01,2836202.260120804,2415210.2981745685,3235945.3262030846,3165000.0
1985-01-01,2834509.473391132,2433162.9757665996,3225621.660873252,3150000.0
1985-02-01,2832384.359928212,2444463.0118698566,3216100.930910358,3139000.0
1985-03-01,2846880.2880889825,2454439.109776867,3225214.675179114,3125000.0
1985-04-01,2844949.462888016,2467338.517082533,3219251.0247289105,3121000.0
1985-05-01,2840008.684658054,2433115.724613863,3253943.0963804023,3115000.0
1985-06-01,2839674.214031759,2462994.0843999675,3206098.122514988,3109000.0
1985-07-01,2840057.2004118096,2418097.286904373,3240148.49603653,3107000.0
1985-08-01,2843411.0753479516,2472783.292514115,3254332.0339317685,3106000.0
1985-09-01,2842316.0558568314,2460746.555631536,3238511.7598095443,3105000.0
1985-10-01,2846136.2947404296,2469379.026473428,3227841.845402069,3106000.0
1985-11-01,2845714.1165346424,2465232.2787206178,3268601.2852294142,3109000.0
1985-12-01,2849310.0574408243,2461780.6734224246,3274865.417912866,3114000.0
1986-01-01,2852726.757624851,2452243.3704133597,3270728.0384150897,3123000.0
1986-02-01,2852722.128172695,2458486.776788306,3272592.1043970403,3124000.0
1986-03-01,2854274.103101009,2446094.063913745,3243723.419482626,3128000.0
1986-04-01,2855476.8782641306,2481763.0788479447,3233391.619661842,3132000.0
1986-05-01,2855236.3205967695,2454852.9858963885,3249155.295634706,3143000.0
1986-06-01,2848867.722381938,2492852.457094312,3229823.9060745738,3150000.0
1986-07-01,2844052.1680865125,2443979.8703714204,3214304.083296937,3151000.0
1986-08-01,2836636.1616828833,2418985.655519329,3234943.601376597,3147000.0
1986-09-01,2829778.5388358054,2440639.294880468,3206120.724169601,3141000.0
1986-10-01,2822292.520486169,2430851.4872729424,3228224.3821807536,3133000.0
1986-11-01,2818435.3044835767,2445515.935288193,3221047.341926994,3127000.0
1986-12-01,2815363.271531451,2395662.1049413104,3192995.179417555,3111000.0
1987-01-01,2817022.826015717,2467013.0422508614,3202001.1892512776,3091000.0
1987-02-01,2812084.728787348,2429790.576509978,3198726.454804358,3069000.0
1987-03-01,2794538.2913049012,2389896.8262237557,3196642.894373204,3040000.0
1987-04-01,2792257.7191860476,2396792.808513938,3199222.9434746103,3001000.0
1987-05-01,2790131.9726820136,2383885.509791506,3174354.0659545604,2952000.0
1987-06-01,2784500.096646111,2381734.970430236,3172685.4710014644,2909000.0
1987-07-01,2780989.8315596194,2378923.1887913086,3186320.6231740196,2865000.0
1987-08-01,2769601.7678998676,2362274.889186893,3168534.7235411424,2818000.0
1987-09-01,2763816.109625674,2363877.240471224,3171402.6847958025,2767000.0
1987-10-01,2751709.274851725,2333423.0723590315,3133523.8086562054,2720000.0
1987-11-01,2751337.691720304,2367198.436733622,3147530.475190033,2676000.0
1987-12-01,2748248.4009787966,2353078.092660539,3136417.8234232794,2637000.0
1988-01-01,2754944.24678539,2365844.1013211054,3141521.807126466,2592000.0
1988-02-01,2751684.4025102938,2371606.729526607,3161869.021175193,2549000.0
1988-03-01,2748092.3373043495,2350998.4159604684,3164477.7032327447,2505000.0
1988-04-01,2736412.919638292,2353111.7571035693,3125152.2595591825,2469000.0
1988-05-01,2720193.566342353,2308960.051564262,3099589.03396618,2429000.0
1988-06-01,2712167.220956996,2303592.4368019137,3102122.6649035886,2392000.0
1988-07-01,2704415.2651713896,2312623.386758737,3107793.32594764,2361000.0
