Start Date,Prediction,Actual
1971-01-01,75.03361,75.1
1971-02-01,75.03361,75.0
1971-03-01,75.03361,75.0
1971-04-01,75.048645,75.1
1971-05-01,75.048645,75.0
1971-06-01,74.90032,75.0
1971-07-01,74.90032,74.9
1971-08-01,74.90032,74.8
1971-09-01,74.80312,74.8
1971-10-01,74.80312,74.8
1971-11-01,75.033264,74.9
1971-12-01,75.033264,75.0
1972-01-01,75.033264,75.2
1972-02-01,75.29736,75.3
1972-03-01,75.29736,75.3
1972-04-01,75.16798,75.2
1972-05-01,75.16798,75.2
1972-06-01,75.16798,75.1
1972-07-01,75.20031,75.2
1972-08-01,75.20031,75.2
1972-09-01,75.39873,75.3
1972-10-01,75.39873,75.4
1972-11-01,75.39873,75.5
1972-12-01,75.65162,75.6
1973-01-01,75.65162,75.7
1973-02-01,75.83175,75.8
1973-03-01,75.83175,75.9
1973-04-01,75.83175,75.8
1973-05-01,75.70008,75.7
1973-06-01,75.70008,75.7
1973-07-01,75.60171,75.6
1973-08-01,75.60171,75.6
1973-09-01,75.60171,75.6
1973-10-01,75.60171,75.6
1973-11-01,75.60171,75.6
1973-12-01,75.633064,75.6
1974-01-01,75.633064,75.6
1974-02-01,75.633064,75.7
1974-03-01,75.700584,75.7
1974-04-01,75.700584,75.7
1974-05-01,75.86751,75.8
1974-06-01,75.86751,75.9
1974-07-01,75.86751,75.9
1974-08-01,75.99362,76.0
1974-09-01,75.99362,76.0
1974-10-01,75.90223,75.9
1974-11-01,75.90223,75.9
1974-12-01,75.90223,75.9
1975-01-01,75.90223,75.9
1975-02-01,75.90223,75.9
1975-03-01,75.99939,75.9
1975-04-01,75.99939,76.0
1975-05-01,75.99939,76.1
1975-06-01,76.101295,76.1
1975-07-01,76.101295,76.1
1975-08-01,76.19762,76.2
1975-09-01,76.19762,76.2
1975-10-01,76.19762,76.2
1975-11-01,76.19762,76.2
1975-12-01,76.19762,76.2
1976-01-01,76.10158,76.1
1976-02-01,76.10158,76.1
1976-03-01,76.10158,76.1
1976-04-01,76.10158,76.1
1976-05-01,76.10158,76.1
1976-06-01,76.030014,76.1
1976-07-01,76.030014,76.0
1976-08-01,76.030014,76.0
1976-09-01,76.0031,76.0
1976-10-01,76.0031,76.0
1976-11-01,75.964,76.0
1976-12-01,75.964,76.0
1977-01-01,75.964,75.9
1977-02-01,75.90017,75.9
1977-03-01,75.90017,75.9
1977-04-01,75.90017,75.9
1977-05-01,75.90017,75.9
1977-06-01,75.90017,75.9
1977-07-01,75.90017,75.9
1977-08-01,75.90017,75.9
1977-09-01,75.86683,75.9
1977-10-01,75.86683,75.9
1977-11-01,75.86683,75.8
1977-12-01,75.800224,75.8
1978-01-01,75.800224,75.8
1978-02-01,75.76774,75.8
1978-03-01,75.76774,75.8
1978-04-01,75.76774,75.7
1978-05-01,75.708115,75.7
1978-06-01,75.708115,75.7
1978-07-01,75.76631,75.7
1978-08-01,75.76631,75.8
1978-09-01,75.76631,75.8
1978-10-01,75.80014,75.8
1978-11-01,75.80014,75.8
1978-12-01,75.80014,75.8
1979-01-01,75.80014,75.8
1979-02-01,75.80014,75.8
1979-03-01,75.80014,75.8
1979-04-01,75.80014,75.8
1979-05-01,75.834,75.8
1979-06-01,75.834,75.8
1979-07-01,75.834,75.9
1979-08-01,75.89623,75.9
1979-09-01,75.89623,75.9
1979-10-01,75.93522,75.9
1979-11-01,75.93522,75.9
1979-12-01,75.93522,76.0
1980-01-01,76.00026,76.0
1980-02-01,76.00026,76.0
1980-03-01,76.06662,76.0
1980-04-01,76.06662,76.1
1980-05-01,76.06662,76.1
1980-06-01,76.099144,76.1
1980-07-01,76.099144,76.1
1980-08-01,76.099144,76.1
1980-09-01,76.099144,76.1
1980-10-01,76.099144,76.1
1980-11-01,76.19413,76.2
1980-12-01,76.19413,76.2
1981-01-01,76.13256,76.2
1981-02-01,76.13256,76.1
1981-03-01,76.13256,76.1
1981-04-01,76.05004,76.1
1981-05-01,76.05004,76.0
1981-06-01,75.86759,75.9
1981-07-01,75.86759,75.9
1981-08-01,75.86759,75.8
1981-09-01,75.65443,75.7
1981-10-01,75.65443,75.6
1981-11-01,75.430435,75.5
1981-12-01,75.430435,75.4
1982-01-01,75.430435,75.4
1982-02-01,75.25501,75.3
1982-03-01,75.25501,75.2
1982-04-01,74.99761,75.1
1982-05-01,74.99761,75.0
1982-06-01,74.99761,74.9
1982-07-01,74.74842,74.8
1982-08-01,74.74842,74.7
1982-09-01,74.46694,74.6
1982-10-01,74.46694,74.5
1982-11-01,74.46694,74.3
1982-12-01,74.20048,74.2
1983-01-01,74.20048,74.2
1983-02-01,74.10427,74.1
1983-03-01,74.10427,74.1
1983-04-01,74.10427,74.1
1983-05-01,74.350395,74.3
1983-06-01,74.350395,74.4
1983-07-01,74.79972,74.6
1983-08-01,74.79972,74.8
1983-09-01,74.79972,75.0
1983-10-01,75.19655,75.1
1983-11-01,75.19655,75.3
1983-12-01,75.502304,75.4
1984-01-01,75.502304,75.5
1984-02-01,75.502304,75.6
1984-03-01,75.74941,75.7
1984-04-01,75.74941,75.8
1984-05-01,75.80027,75.8
1984-06-01,75.80027,75.8
1984-07-01,75.864975,75.8
1984-08-01,75.864975,75.9
1984-09-01,75.864975,75.9
1984-10-01,76.003876,76.0
1984-11-01,76.003876,76.0
1984-12-01,76.033394,76.0
1985-01-01,76.033394,76.0
1985-02-01,76.033394,76.1
1985-03-01,76.099785,76.1
1985-04-01,76.099785,76.1
1985-05-01,76.099785,76.1
1985-06-01,76.099785,76.1
1985-07-01,76.099785,76.1
1985-08-01,76.1987,76.2
1985-09-01,76.1987,76.2
1985-10-01,76.1987,76.2
1985-11-01,76.1987,76.2
1985-12-01,76.1987,76.2
1986-01-01,76.24988,76.2
1986-02-01,76.24988,76.3
1986-03-01,76.33592,76.3
1986-04-01,76.33592,76.3
1986-05-01,76.33592,76.4
1986-06-01,76.49809,76.5
1986-07-01,76.49809,76.5
1986-08-01,76.56863,76.5
1986-09-01,76.56863,76.6
1986-10-01,76.56863,76.6
1986-11-01,76.6949,76.7
1986-12-01,76.6949,76.7
1987-01-01,76.66968,76.6
1987-02-01,76.66968,76.7
1987-03-01,76.66968,76.7
1987-04-01,76.84953,76.8
1987-05-01,76.84953,76.9
1987-06-01,77.03115,77.0
1987-07-01,77.03115,77.0
1987-08-01,77.03115,77.1
1987-09-01,77.15147,77.1
1987-10-01,77.15147,77.2
1987-11-01,77.330666,77.3
1987-12-01,77.330666,77.3
1988-01-01,77.330666,77.4
1988-02-01,77.40319,77.4
1988-03-01,77.40319,77.4
1988-04-01,77.500916,77.5
1988-05-01,77.500916,77.5
1988-06-01,77.500916,77.5
1988-07-01,77.64566,77.6
1988-08-01,77.64566,77.7
1988-09-01,77.83542,77.8
1988-10-01,77.83542,77.8
1988-11-01,77.83542,77.9
1988-12-01,77.9505,77.9
1989-01-01,77.9505,78.0
1989-02-01,78.10039,78.1
1989-03-01,78.10039,78.1
1989-04-01,78.10039,78.1
1989-05-01,78.10039,78.1
1989-06-01,78.10039,78.1
1989-07-01,78.166534,78.1
1989-08-01,78.166534,78.2
1989-09-01,78.166534,78.2
1989-10-01,78.294044,78.3
1989-11-01,78.294044,78.3
1989-12-01,78.26941,78.3
1990-01-01,78.26941,78.2
1990-02-01,78.26941,78.3
1990-03-01,78.29721,78.3
1990-04-01,78.29721,78.3
1990-05-01,78.29721,78.3
1990-06-01,78.29721,78.3
1990-07-01,78.29721,78.3
1990-08-01,78.202446,78.2
1990-09-01,78.202446,78.2
1990-10-01,78.097946,78.2
1990-11-01,78.097946,78.1
1990-12-01,78.097946,78.0
1991-01-01,77.95325,78.0
1991-02-01,77.95325,77.9
1991-03-01,77.79785,77.9
1991-04-01,77.79785,77.8
1991-05-01,77.79785,77.7
1991-06-01,77.549904,77.6
1991-07-01,77.549904,77.5
1991-08-01,77.2332,77.4
1991-09-01,77.2332,77.2
1991-10-01,77.2332,77.1
1991-11-01,77.00802,77.0
1991-12-01,77.00802,77.0
1992-01-01,76.86953,76.9
1992-02-01,76.86953,76.9
1992-03-01,76.86953,76.81829654917497
1992-04-01,76.637375,76.67371553118262
1992-05-01,76.637375,76.60286319419473
1992-06-01,76.584496,76.61751979805716
1992-07-01,76.584496,76.58751535267311
1992-08-01,76.584496,76.54866238055055
1992-09-01,76.5572,76.58847989735908
1992-10-01,76.5572,76.5186060321237
1992-11-01,76.57295,76.5665029191848
1992-12-01,76.57295,76.59776611735397
1993-01-01,76.57295,76.56515802611301
1993-02-01,76.4641,76.46066254247931
1993-03-01,76.4641,76.4590562732574
1993-04-01,76.39903,76.43620150321814
1993-05-01,76.39903,76.43483885375635
1993-06-01,76.39903,76.32405467887057
1993-07-01,76.384544,76.38846014757
1993-08-01,76.384544,76.38161004242654
1993-09-01,76.384544,76.3748856452892
1993-10-01,76.384544,76.38789999779296
1993-11-01,76.384544,76.39024950953907
1993-12-01,76.39161,76.3866419395684
1994-01-01,76.39161,76.40602829543076
1994-02-01,76.33806,76.39201682846654
1994-03-01,76.33806,76.33518809249226
1994-04-01,76.33806,76.28649304072472
1994-05-01,76.332565,76.35951130601978
1994-06-01,76.332565,76.30323963295346
1994-07-01,76.14912,76.25190237436213
1994-08-01,76.14912,76.14952199873196
1994-09-01,76.14912,76.04592047793719
1994-10-01,75.89398,75.94290466040431
1994-11-01,75.89398,75.82659522888399
1994-12-01,76.01467,75.93561940539827
1995-01-01,76.01467,76.02774435714399
1995-02-01,76.01467,76.08006902848665
1995-03-01,76.1039,76.11151937767761
1995-04-01,76.1039,76.09569496237964
1995-05-01,76.24905,76.17156061711106
1995-06-01,76.24905,76.26963049639203
1995-07-01,76.24905,76.30669991078702
1995-08-01,76.30087,76.31132703538717
1995-09-01,76.30087,76.2921183197178
1995-10-01,76.35853,76.33763772912741
1995-11-01,76.35853,76.40814055055131
1995-12-01,76.35853,76.33928183840627
1996-01-01,76.25911,76.234661256719
1996-02-01,76.25911,76.27480717579034
1996-03-01,76.26728,76.31659172521255
1996-04-01,76.26728,76.29723947160724
1996-05-01,76.26728,76.19289564677669
1996-06-01,76.21589,76.21706948121313
1996-07-01,76.21589,76.20357876017836
1996-08-01,76.37593,76.33704667267143
1996-09-01,76.37593,76.4167935581957
1996-10-01,76.37593,76.37332171593943
1996-11-01,76.38423,76.37541356404058
1996-12-01,76.38423,76.38923403059613
1997-01-01,76.40963,76.39355746222732
1997-02-01,76.40963,76.41286542908745
1997-03-01,76.40963,76.42250856399498
1997-04-01,76.55267,76.57208502071852
1997-05-01,76.55267,76.55776470179954
1997-06-01,76.35125,76.40082287418358
1997-07-01,76.35125,76.3526704841641
1997-08-01,76.35125,76.3038940152603
1997-09-01,76.25579,76.27172145070837
1997-10-01,76.25579,76.23842613028684
1997-11-01,76.12735,76.09159532305283
1997-12-01,76.12735,76.14544240224387
1998-01-01,76.144005,76.16629619232079
1998-02-01,76.144005,76.15687619438637
1998-03-01,76.144005,76.10518989940101
1998-04-01,76.176285,76.0945033911154
1998-05-01,76.176285,76.25552846567459
1998-06-01,76.402405,76.41556642275118
1998-07-01,76.402405,76.36544687294676
1998-08-01,76.402405,76.44005458536597
1998-09-01,76.531975,76.52823391839127
1998-10-01,76.531975,76.52869780426663
1998-11-01,76.66117,76.67232474394903
1998-12-01,76.66117,76.68626582231258
1999-01-01,76.66117,76.63732536021239
1999-02-01,76.56698,76.5905244051114
1999-03-01,76.56698,76.53434841330919
1999-04-01,76.56698,76.56329718323951
1999-05-01,76.56698,76.5450231453734
1999-06-01,76.56698,76.59010608618465
1999-07-01,76.62826,76.66634057951981
1999-08-01,76.62826,76.58855758816233
1999-09-01,76.74354,76.72156580252081
1999-10-01,76.74354,76.77391991909775
1999-11-01,76.74354,76.74815372790866
1999-12-01,76.71674,76.66199943729103
2000-01-01,76.71674,76.75794949382923
2000-02-01,76.76448,76.76433140067587
2000-03-01,76.76448,76.8114191381878
2000-04-01,76.76448,76.73692440059479
2000-05-01,76.730705,76.72374466382286
2000-06-01,76.730705,76.73902312639966
2000-07-01,76.65361,76.75278952897949
2000-08-01,76.65361,76.68942653112886
2000-09-01,76.65361,76.5176314060212
2000-10-01,76.62415,76.53247539844426
2000-11-01,76.62415,76.7104973980546
2000-12-01,76.5947,76.65527558233735
2001-01-01,76.5947,76.56594671429032
2001-02-01,76.5947,76.5658778529967
2001-03-01,76.54571,76.5253206500763
2001-04-01,76.54571,76.56489959912224
2001-05-01,76.493126,76.47632777653736
2001-06-01,76.493126,76.52014201269964
2001-07-01,76.493126,76.46551751792524
2001-08-01,76.51417,76.47126733312454
2001-09-01,76.51417,76.56207202225173
2001-10-01,76.50397,76.59467119987384
2001-11-01,76.50397,76.47116351388019
2001-12-01,76.50397,76.43791415474553
2002-01-01,76.50925,76.44377446226176
2002-02-01,76.50925,76.57287794609505
2002-03-01,76.63463,76.65430628460885
2002-04-01,76.63463,76.67272882953503
2002-05-01,76.63463,76.58107946254236
2002-06-01,76.69239,76.70355674155688
2002-07-01,76.69239,76.67742625920265
2002-08-01,76.808495,76.79604042971212
2002-09-01,76.808495,76.80185166319579
2002-10-01,76.808495,76.84997301617688
2002-11-01,76.63142,76.63819349402644
2002-12-01,76.63142,76.60131972166772
2003-01-01,76.69235,76.68402120001593
2003-02-01,76.69235,76.69330813525407
2003-03-01,76.69235,76.7025452424376
2003-04-01,76.72602,76.70612037583905
2003-05-01,76.72602,76.7683136033326
2003-06-01,76.674255,76.67951998854734
2003-07-01,76.674255,76.69374475210276
2003-08-01,76.674255,76.65099134867948
2003-09-01,76.58448,76.60547303079672
2003-10-01,76.58448,76.54782688249398
2003-11-01,76.744095,76.72429841952328
2003-12-01,76.744095,76.77092927209299
2004-01-01,76.744095,76.751878432524
2004-02-01,76.66495,76.68183883196119
2004-03-01,76.66495,76.64813854813876
2004-04-01,76.525246,76.60097774552071
2004-05-01,76.525246,76.51718264284831
2004-06-01,76.525246,76.45333245256832
2004-07-01,76.4903,76.49145566334484
2004-08-01,76.4903,76.47473496473336
2004-09-01,76.69363,76.61963961456502
2004-10-01,76.69363,76.69878545208299
2004-11-01,76.69363,76.7605313282572
2004-12-01,76.79281,76.88904666311502
2005-01-01,76.79281,76.71147679287341
2005-02-01,76.580894,76.56223084990242
2005-03-01,76.580894,76.58684796705832
2005-04-01,76.580894,76.57938721696621
2005-05-01,76.6411,76.6119770974122
2005-06-01,76.6411,76.6699362372687
2005-07-01,76.696724,76.70837199879868
2005-08-01,76.696724,76.72756353153916
2005-09-01,76.696724,76.6627144286349
2005-10-01,76.67803,76.65795112895348
2005-11-01,76.67803,76.69623009869593
2005-12-01,76.962524,76.84858386009377
2006-01-01,76.962524,76.97884960294947
2006-02-01,76.962524,77.05839571445648
2006-03-01,77.07511,77.03610633323517
2006-04-01,77.07511,77.11493756606495
2006-05-01,77.19035,77.18843354003367
2006-06-01,77.19035,77.29912466453341
2006-07-01,77.19035,77.09578907640304
2006-08-01,77.01645,77.06002775840338
2006-09-01,77.01645,76.97432866999738
2006-10-01,76.916405,77.0079492547576
2006-11-01,76.916405,76.93168712675343
2006-12-01,76.916405,76.80729002935342
2007-01-01,76.79299,76.790100344848
2007-02-01,76.79299,76.78712933506085
2007-03-01,76.81373,76.8832802164637
2007-04-01,76.81373,76.80358698521465
2007-05-01,76.81373,76.7593778501703
2007-06-01,76.799576,76.7674823621152
2007-07-01,76.799576,76.82131061206248
2007-08-01,76.90252,76.85032974726631
2007-09-01,76.90252,76.91991476040909
2007-10-01,76.90252,76.94174351115103
2007-11-01,77.03032,76.97937404639511
2007-12-01,77.03032,77.07291138578312
2008-01-01,77.07005,77.02623354308143
2008-02-01,77.07005,77.1147460760276
2008-03-01,77.07005,77.07272784365644
2008-04-01,77.07595,77.08267212556247
2008-05-01,77.07595,77.08055778810579
2008-06-01,76.98664,77.01201748934923
2008-07-01,76.98664,77.00406519957883
2008-08-01,76.98664,76.92878214406342
2008-09-01,77.12519,77.10505160095266
2008-10-01,77.12519,77.14935285039807
2008-11-01,77.22189,77.30461100601336
2008-12-01,77.22189,77.16222537366114
2009-01-01,77.22189,77.21434227934321
2009-02-01,77.04024,77.09188980351139
2009-03-01,77.04024,76.987643757313
2009-04-01,76.82233,76.9025336329552
2009-05-01,76.82233,76.74502632071501
2009-06-01,76.82233,76.80966032964098
2009-07-01,76.7227,76.72977837591598
2009-08-01,76.7227,76.72570210935568
2009-09-01,76.548355,76.62887833010204
2009-10-01,76.548355,76.6032399591108
2009-11-01,76.548355,76.41279578525376
2009-12-01,76.426895,76.42961800543209
2010-01-01,76.426895,76.41241144076452
2010-02-01,76.50402,76.39357966474452
2010-03-01,76.50402,76.57141434401025
2010-04-01,76.50402,76.54940159599613
2010-05-01,76.73468,76.74773781972904
2010-06-01,76.73468,76.72991956409042
2010-07-01,76.644135,76.7808393508619
2010-08-01,76.644135,76.67098721825738
2010-09-01,76.644135,76.48207601937294
2010-10-01,76.60366,76.53169827825008
2010-11-01,76.60366,76.6604596810207
2010-12-01,76.66382,76.70262053410853
2011-01-01,76.66382,76.63966583626627
2011-02-01,76.61017,76.51652562207087
2011-03-01,76.61017,76.63780841302071
2011-04-01,76.61017,76.67139134308445
2011-05-01,76.529686,76.4686782261679
2011-06-01,76.529686,76.57531026260297
2011-07-01,76.67354,76.59909810340095
2011-08-01,76.67354,76.664092051088
2011-09-01,76.67354,76.757195353275
2011-10-01,76.77167,76.77618081026506
2011-11-01,76.77167,76.76969202318139
2011-12-01,76.86763,76.79352761640375
2012-01-01,76.86763,76.8837717973265
2012-02-01,76.86763,76.92557029751889
2012-03-01,77.0961,77.0025870112381
2012-04-01,77.0961,77.20306351355555
2012-05-01,77.37315,77.40751517954786
2012-06-01,77.37315,77.38740770471938
2012-07-01,77.37315,77.323309418716
2012-08-01,77.352394,77.24830159654665
2012-09-01,77.352394,77.44935238973964
2012-10-01,77.52167,77.57197016810198
2012-11-01,77.52167,77.53834129245246
2012-12-01,77.52167,77.46194101208062
2013-01-01,77.3718,77.36292453486861
2013-02-01,77.3718,77.37522693610315
2013-03-01,77.41744,77.30408794976412
2013-04-01,77.41744,77.42489947224935
2013-05-01,77.41744,77.52236826694416
2013-06-01,77.619156,77.56860584893708
2013-07-01,77.619156,77.66794036203346
2013-08-01,77.67765,77.68311593572432
2013-09-01,77.67765,77.68306529104137
2013-10-01,77.67765,77.66644149875135
2013-11-01,77.759796,77.72933814230856
2013-12-01,77.759796,77.78784309104437
2014-01-01,77.8642,77.77389533879554
2014-02-01,77.8642,77.8698994510876
2014-03-01,77.8642,77.96055869617582
2014-04-01,77.68872,77.76557776551614
2014-05-01,77.68872,77.6058343300874
2014-06-01,77.70346,77.69993894495366
2014-07-01,77.70346,77.73350323139483
2014-08-01,77.70346,77.67741910457617
2014-09-01,77.628746,77.5866685941451
2014-10-01,77.628746,77.66315098633459
2014-11-01,77.7628,77.71909261561817
2014-12-01,77.7628,77.80792505215133
2015-01-01,77.7628,77.7659766701387
2015-02-01,77.71673,77.73432902875687
2015-03-01,77.71673,77.69492378477464
2015-04-01,77.76166,77.75538067499194
2015-05-01,77.76166,77.78210106122485
2015-06-01,77.76166,77.74805939262895
2015-07-01,77.96263,77.92204087599922
2015-08-01,77.96263,78.0120044806775
2015-09-01,78.03826,78.01019468951523
2015-10-01,78.03826,78.07088110157052
2015-11-01,78.03826,78.03485413761797
2015-12-01,78.097916,78.11499271450676
2016-01-01,78.097916,78.07091744023576
2016-02-01,78.16597,78.06949544760951
2016-03-01,78.16597,78.18763552966846
2016-04-01,78.16597,78.2418225532338
2016-05-01,78.332695,78.30617965070937
2016-06-01,78.332695,78.37026088872928
2016-07-01,78.18009,78.20164475184164
2016-08-01,78.18009,78.17464183548441
2016-09-01,78.18009,78.15788251876701
2016-10-01,78.203705,78.23243358203214
2016-11-01,78.203705,78.17431137448614
2016-12-01,78.25736,78.20882898627777
2017-01-01,78.25736,78.29494488312896
2017-02-01,78.25736,78.2742745842193
2017-03-01,78.42311,78.33622641363998
2017-04-01,78.42311,78.5045934685255
2017-05-01,78.42311,78.57864839353428
2017-06-01,78.42311,78.43802358084139
2017-07-01,78.42311,78.25102484322694
2017-08-01,78.44271,78.29615150494128
2017-09-01,78.44271,78.58898762644985
2017-10-01,78.54685,78.4853861463263
2017-11-01,78.54685,78.58731808124571
2017-12-01,78.54685,78.57011265129766
2018-01-01,78.74859,78.73867531713569
2018-02-01,78.74859,78.76420229273982
2018-03-01,78.63826,78.77655684361319
2018-04-01,78.63826,78.59057946674815
2018-05-01,78.63826,78.54447245784857
2018-06-01,78.60564,78.58659331739628
2018-07-01,78.60564,78.61797279417858
2018-08-01,78.800766,78.76271869912816
2018-09-01,78.800766,78.79860780425153
2018-10-01,78.800766,78.84078968688713
2018-11-01,79.0496,79.04117513590415
2018-12-01,79.0496,79.07001849489671
2019-01-01,78.90803,78.89247465051804
2019-02-01,78.90803,78.96025971773204
2019-03-01,78.90803,78.86607803849826
2019-04-01,78.96898,79.00188838094147
2019-05-01,78.96898,78.94209524783041
2019-06-01,78.83643,78.7286412352596
2019-07-01,78.83643,78.87433041802839
2019-08-01,78.83643,78.89967447632428
2019-09-01,79.17539,79.14115998223862
2019-10-01,79.17539,79.209378711265
2019-11-01,79.35238,79.32280541342945
2019-12-01,79.35238,79.4700265233157
2020-01-01,79.35238,79.272950663566
2020-02-01,78.93661,78.96893833973743
2020-03-01,78.93661,78.89740653195729
2020-04-01,78.71719,78.73059820542431
2020-05-01,78.71719,78.76486013471303
2020-06-01,78.71719,78.66312221491764
2020-07-01,78.57657,78.53283784511318
2020-08-01,78.57657,78.60853357361812
2020-09-01,78.49062,78.66692286705359
2020-10-01,78.49062,78.45611198449399
2020-11-01,78.49062,78.35864948690805
2020-12-01,78.35666,78.41852577143958
2021-01-01,78.35666,78.29427858263087
