Start Date,Prediction,Actual
1971-01-01,24.966433,24.9
1971-02-01,24.966433,25.0
1971-03-01,24.966433,25.0
1971-04-01,24.951422,24.9
1971-05-01,24.951422,25.0
1971-06-01,25.099722,25.0
1971-07-01,25.099722,25.1
1971-08-01,25.099722,25.2
1971-09-01,25.196497,25.2
1971-10-01,25.196497,25.2
1971-11-01,24.966442,25.1
1971-12-01,24.966442,25.0
1972-01-01,24.966442,24.8
1972-02-01,24.703306,24.7
1972-03-01,24.703306,24.7
1972-04-01,24.831627,24.8
1972-05-01,24.831627,24.8
1972-06-01,24.831627,24.9
1972-07-01,24.799507,24.8
1972-08-01,24.799507,24.8
1972-09-01,24.601517,24.7
1972-10-01,24.601517,24.6
1972-11-01,24.601517,24.5
1972-12-01,24.34851,24.4
1973-01-01,24.34851,24.3
1973-02-01,24.168367,24.2
1973-03-01,24.168367,24.1
1973-04-01,24.168367,24.2
1973-05-01,24.299799,24.3
1973-06-01,24.299799,24.3
1973-07-01,24.39861,24.4
1973-08-01,24.39861,24.4
1973-09-01,24.39861,24.4
1973-10-01,24.39861,24.4
1973-11-01,24.39861,24.4
1973-12-01,24.367092,24.4
1974-01-01,24.367092,24.4
1974-02-01,24.367092,24.3
1974-03-01,24.29879,24.3
1974-04-01,24.29879,24.3
1974-05-01,24.132917,24.2
1974-06-01,24.132917,24.1
1974-07-01,24.132917,24.1
1974-08-01,24.006157,24.0
1974-09-01,24.006157,24.0
1974-10-01,24.097008,24.1
1974-11-01,24.097008,24.1
1974-12-01,24.097008,24.1
1975-01-01,24.097008,24.1
1975-02-01,24.097008,24.1
1975-03-01,24.000143,24.1
1975-04-01,24.000143,24.0
1975-05-01,24.000143,23.9
1975-06-01,23.8995,23.9
1975-07-01,23.8995,23.9
1975-08-01,23.802778,23.8
1975-09-01,23.802778,23.8
1975-10-01,23.802778,23.8
1975-11-01,23.802778,23.8
1975-12-01,23.802778,23.8
1976-01-01,23.899706,23.9
1976-02-01,23.899706,23.9
1976-03-01,23.899706,23.9
1976-04-01,23.899706,23.9
1976-05-01,23.899706,23.9
1976-06-01,23.970114,23.9
1976-07-01,23.970114,24.0
1976-08-01,23.970114,24.0
1976-09-01,23.997213,24.0
1976-10-01,23.997213,24.0
1976-11-01,24.035131,24.0
1976-12-01,24.035131,24.0
1977-01-01,24.035131,24.1
1977-02-01,24.099941,24.1
1977-03-01,24.099941,24.1
1977-04-01,24.099941,24.1
1977-05-01,24.099941,24.1
1977-06-01,24.099941,24.1
1977-07-01,24.099941,24.1
1977-08-01,24.099941,24.1
1977-09-01,24.133276,24.1
1977-10-01,24.133276,24.1
1977-11-01,24.133276,24.2
1977-12-01,24.199886,24.2
1978-01-01,24.199886,24.2
1978-02-01,24.231592,24.2
1978-03-01,24.231592,24.2
1978-04-01,24.231592,24.3
1978-05-01,24.289688,24.3
1978-06-01,24.289688,24.3
1978-07-01,24.234205,24.3
1978-08-01,24.234205,24.2
1978-09-01,24.234205,24.2
1978-10-01,24.200068,24.2
1978-11-01,24.200068,24.2
1978-12-01,24.200068,24.2
1979-01-01,24.200068,24.2
1979-02-01,24.200068,24.2
1979-03-01,24.200068,24.2
1979-04-01,24.200068,24.2
1979-05-01,24.1662,24.2
1979-06-01,24.1662,24.2
1979-07-01,24.1662,24.1
1979-08-01,24.102947,24.1
1979-09-01,24.102947,24.1
1979-10-01,24.065578,24.1
1979-11-01,24.065578,24.1
1979-12-01,24.065578,24.0
1980-01-01,23.999805,24.0
1980-02-01,23.999805,24.0
1980-03-01,23.933441,24.0
1980-04-01,23.933441,23.9
1980-05-01,23.933441,23.9
1980-06-01,23.900696,23.9
1980-07-01,23.900696,23.9
1980-08-01,23.900696,23.9
1980-09-01,23.900696,23.9
1980-10-01,23.900696,23.9
1980-11-01,23.806038,23.8
1980-12-01,23.806038,23.8
1981-01-01,23.867569,23.8
1981-02-01,23.867569,23.9
1981-03-01,23.867569,23.9
1981-04-01,23.949997,23.9
1981-05-01,23.949997,24.0
1981-06-01,24.1316,24.1
1981-07-01,24.1316,24.1
1981-08-01,24.1316,24.2
1981-09-01,24.34477,24.3
1981-10-01,24.34477,24.4
1981-11-01,24.571459,24.5
1981-12-01,24.571459,24.6
1982-01-01,24.571459,24.6
1982-02-01,24.743881,24.7
1982-03-01,24.743881,24.8
1982-04-01,25.00316,24.9
1982-05-01,25.00316,25.0
1982-06-01,25.00316,25.1
1982-07-01,25.252352,25.2
1982-08-01,25.252352,25.3
1982-09-01,25.532839,25.4
1982-10-01,25.532839,25.5
1982-11-01,25.532839,25.7
1982-12-01,25.798574,25.8
1983-01-01,25.798574,25.8
1983-02-01,25.894073,25.9
1983-03-01,25.894073,25.9
1983-04-01,25.894073,25.9
1983-05-01,25.648853,25.7
1983-06-01,25.648853,25.6
1983-07-01,25.199574,25.4
1983-08-01,25.199574,25.2
1983-09-01,25.199574,25.0
1983-10-01,24.805038,24.9
1983-11-01,24.805038,24.7
1983-12-01,24.497726,24.6
1984-01-01,24.497726,24.5
1984-02-01,24.497726,24.4
1984-03-01,24.249968,24.3
1984-04-01,24.249968,24.2
1984-05-01,24.199116,24.2
1984-06-01,24.199116,24.2
1984-07-01,24.13691,24.2
1984-08-01,24.13691,24.1
1984-09-01,24.13691,24.1
1984-10-01,23.993631,24.0
1984-11-01,23.993631,24.0
1984-12-01,23.966726,24.0
1985-01-01,23.966726,24.0
1985-02-01,23.966726,23.9
1985-03-01,23.900604,23.9
1985-04-01,23.900604,23.9
1985-05-01,23.900604,23.9
1985-06-01,23.900604,23.9
1985-07-01,23.900604,23.9
1985-08-01,23.802574,23.8
1985-09-01,23.802574,23.8
1985-10-01,23.802574,23.8
1985-11-01,23.802574,23.8
1985-12-01,23.802574,23.8
1986-01-01,23.75045,23.8
1986-02-01,23.75045,23.7
1986-03-01,23.661955,23.7
1986-04-01,23.661955,23.7
1986-05-01,23.661955,23.6
1986-06-01,23.50296,23.5
1986-07-01,23.50296,23.5
1986-08-01,23.43005,23.5
1986-09-01,23.43005,23.4
1986-10-01,23.43005,23.4
1986-11-01,23.307932,23.3
1986-12-01,23.307932,23.3
1987-01-01,23.327692,23.4
1987-02-01,23.327692,23.3
1987-03-01,23.327692,23.3
1987-04-01,23.15071,23.2
1987-05-01,23.15071,23.1
1987-06-01,22.96908,23.0
1987-07-01,22.96908,23.0
1987-08-01,22.96908,22.9
1987-09-01,22.847895,22.9
1987-10-01,22.847895,22.8
1987-11-01,22.670914,22.7
1987-12-01,22.670914,22.7
1988-01-01,22.670914,22.6
1988-02-01,22.594845,22.6
1988-03-01,22.594845,22.6
1988-04-01,22.499567,22.5
1988-05-01,22.499567,22.5
1988-06-01,22.499567,22.5
1988-07-01,22.354816,22.4
1988-08-01,22.354816,22.3
1988-09-01,22.164085,22.2
1988-10-01,22.164085,22.2
1988-11-01,22.164085,22.1
1988-12-01,22.04901,22.1
1989-01-01,22.04901,22.0
1989-02-01,21.899115,21.9
1989-03-01,21.899115,21.9
1989-04-01,21.899115,21.9
1989-05-01,21.899115,21.9
1989-06-01,21.899115,21.9
1989-07-01,21.832964,21.9
1989-08-01,21.832964,21.8
1989-09-01,21.832964,21.8
1989-10-01,21.709074,21.7
1989-11-01,21.709074,21.7
1989-12-01,21.728674,21.7
1990-01-01,21.728674,21.8
1990-02-01,21.728674,21.7
1990-03-01,21.704933,21.7
1990-04-01,21.704933,21.7
1990-05-01,21.704933,21.7
1990-06-01,21.704933,21.7
1990-07-01,21.704933,21.7
1990-08-01,21.796886,21.8
1990-09-01,21.796886,21.8
1990-10-01,21.902617,21.8
1990-11-01,21.902617,21.9
1990-12-01,21.902617,22.0
1991-01-01,22.045782,22.0
1991-02-01,22.045782,22.1
1991-03-01,22.202599,22.1
1991-04-01,22.202599,22.2
1991-05-01,22.202599,22.3
1991-06-01,22.449968,22.4
1991-07-01,22.449968,22.5
1991-08-01,22.766804,22.6
1991-09-01,22.766804,22.8
1991-10-01,22.766804,22.9
1991-11-01,22.989687,23.0
1991-12-01,22.989687,23.0
1992-01-01,23.131435,23.1
1992-02-01,23.131435,23.1
1992-03-01,23.131435,23.18170345082503
1992-04-01,23.362705,23.32628446881738
1992-05-01,23.362705,23.397136805805275
1992-06-01,23.413725,23.38248020194284
1992-07-01,23.413725,23.412484647326878
1992-08-01,23.413725,23.451337619449472
1992-09-01,23.440458,23.411520102640925
1992-10-01,23.440458,23.481393967876283
1992-11-01,23.430275,23.433497080815226
1992-12-01,23.430275,23.402233882646023
1993-01-01,23.430275,23.43484197388697
1993-02-01,23.53238,23.53933745752067
1993-03-01,23.53238,23.540943726742604
1993-04-01,23.601076,23.56379849678185
1993-05-01,23.601076,23.565161146243614
