Dataset identifier code,Start Date,End Date,All aged 16 & over level,Total economically active level,Total in employment level,Unemployed level,Economically inactive level,Economic activity rate,Employment rate,Unemployment rate,Economic inactivity rate
Jan-Mar 1971,1971-01-01,1971-03-31,40513000.0,25593000.0,24613000.0,980000.0,14919000.0,63.2,60.8,3.8,36.8
Feb-Apr 1971,1971-02-01,1971-04-30,40531000.0,25573000.0,24575000.0,998000.0,14959000.0,63.1,60.6,3.9,36.9
Mar-May 1971,1971-03-01,1971-05-31,40550000.0,25582000.0,24559000.0,1023000.0,14968000.0,63.1,60.6,4.0,36.9
Apr-Jun 1971,1971-04-01,1971-06-30,40568000.0,25600000.0,24556000.0,1045000.0,14968000.0,63.1,60.5,4.1,36.9
May-Jul 1971,1971-05-01,1971-07-31,40587000.0,25603000.0,24541000.0,1062000.0,14984000.0,63.1,60.5,4.1,36.9
Jun-Aug 1971,1971-06-01,1971-08-31,40605000.0,25576000.0,24508000.0,1068000.0,15029000.0,63.0,60.4,4.2,37.0
Jul-Sep 1971,1971-07-01,1971-09-30,40618000.0,25539000.0,24464000.0,1076000.0,15079000.0,62.9,60.2,4.2,37.1
Aug-Oct 1971,1971-08-01,1971-10-31,40631000.0,25515000.0,24424000.0,1090000.0,15117000.0,62.8,60.1,4.3,37.2
Sep-Nov 1971,1971-09-01,1971-11-30,40645000.0,25511000.0,24398000.0,1113000.0,15134000.0,62.8,60.0,4.4,37.2
Oct-Dec 1971,1971-10-01,1971-12-31,40658000.0,25528000.0,24395000.0,1133000.0,15130000.0,62.8,60.0,4.4,37.2
Nov-Jan 1972,1971-11-01,1972-01-31,40671000.0,25560000.0,24416000.0,1143000.0,15111000.0,62.8,60.0,4.5,37.2
Dec-Feb 1972,1971-12-01,1972-02-29,40684000.0,25605000.0,24455000.0,1149000.0,15079000.0,62.9,60.1,4.5,37.1
Jan-Mar 1972,1972-01-01,1972-03-31,40697000.0,25656000.0,24501000.0,1155000.0,15041000.0,63.0,60.2,4.5,37.0
Feb-Apr 1972,1972-02-01,1972-04-30,40710000.0,25690000.0,24529000.0,1161000.0,15020000.0,63.1,60.3,4.5,36.9
Mar-May 1972,1972-03-01,1972-05-31,40723000.0,25694000.0,24539000.0,1155000.0,15029000.0,63.1,60.3,4.5,36.9
Apr-Jun 1972,1972-04-01,1972-06-30,40736000.0,25682000.0,24542000.0,1140000.0,15055000.0,63.0,60.2,4.4,37.0
May-Jul 1972,1972-05-01,1972-07-31,40750000.0,25663000.0,24541000.0,1122000.0,15087000.0,63.0,60.2,4.4,37.0
Jun-Aug 1972,1972-06-01,1972-08-31,40763000.0,25664000.0,24557000.0,1107000.0,15099000.0,63.0,60.2,4.3,37.0
Jul-Sep 1972,1972-07-01,1972-09-30,40777000.0,25685000.0,24585000.0,1100000.0,15092000.0,63.0,60.3,4.3,37.0
Aug-Oct 1972,1972-08-01,1972-10-31,40792000.0,25706000.0,24614000.0,1092000.0,15086000.0,63.0,60.3,4.2,37.0
Sep-Nov 1972,1972-09-01,1972-11-30,40807000.0,25728000.0,24643000.0,1085000.0,15079000.0,63.0,60.4,4.2,37.0
Oct-Dec 1972,1972-10-01,1972-12-31,40821000.0,25758000.0,24689000.0,1070000.0,15063000.0,63.1,60.5,4.2,36.9
Nov-Jan 1973,1972-11-01,1973-01-31,40836000.0,25796000.0,24748000.0,1049000.0,15040000.0,63.2,60.6,4.1,36.8
Dec-Feb 1973,1972-12-01,1973-02-28,40851000.0,25848000.0,24825000.0,1024000.0,15002000.0,63.3,60.8,4.0,36.7
Jan-Mar 1973,1973-01-01,1973-03-31,40865000.0,25904000.0,24903000.0,1002000.0,14961000.0,63.4,60.9,3.9,36.6
Feb-Apr 1973,1973-02-01,1973-04-30,40880000.0,25949000.0,24962000.0,987000.0,14931000.0,63.5,61.1,3.8,36.5
Mar-May 1973,1973-03-01,1973-05-31,40895000.0,25963000.0,24986000.0,977000.0,14932000.0,63.5,61.1,3.8,36.5
Apr-Jun 1973,1973-04-01,1973-06-30,40909000.0,25954000.0,24986000.0,968000.0,14955000.0,63.4,61.1,3.7,36.6
May-Jul 1973,1973-05-01,1973-07-31,40924000.0,25932000.0,24975000.0,957000.0,14992000.0,63.4,61.0,3.7,36.6
Jun-Aug 1973,1973-06-01,1973-08-31,40939000.0,25908000.0,24965000.0,943000.0,15030000.0,63.3,61.0,3.6,36.7
Jul-Sep 1973,1973-07-01,1973-09-30,40952000.0,25899000.0,24972000.0,927000.0,15053000.0,63.2,61.0,3.6,36.8
Aug-Oct 1973,1973-08-01,1973-10-31,40965000.0,25898000.0,24984000.0,913000.0,15067000.0,63.2,61.0,3.5,36.8
Sep-Nov 1973,1973-09-01,1973-11-30,40978000.0,25898000.0,24997000.0,901000.0,15080000.0,63.2,61.0,3.5,36.8
Oct-Dec 1973,1973-10-01,1973-12-31,40991000.0,25887000.0,24999000.0,888000.0,15104000.0,63.2,61.0,3.4,36.8
Nov-Jan 1974,1973-11-01,1974-01-31,41004000.0,25891000.0,25000000.0,892000.0,15113000.0,63.1,61.0,3.4,36.9
Dec-Feb 1974,1973-12-01,1974-02-28,41018000.0,25899000.0,24995000.0,904000.0,15119000.0,63.1,60.9,3.5,36.9
Jan-Mar 1974,1974-01-01,1974-03-31,41031000.0,25908000.0,24984000.0,923000.0,15123000.0,63.1,60.9,3.6,36.9
Feb-Apr 1974,1974-02-01,1974-04-30,41044000.0,25916000.0,24984000.0,931000.0,15128000.0,63.1,60.9,3.6,36.9
Mar-May 1974,1974-03-01,1974-05-31,41057000.0,25919000.0,24985000.0,933000.0,15138000.0,63.1,60.9,3.6,36.9
Apr-Jun 1974,1974-04-01,1974-06-30,41070000.0,25940000.0,25002000.0,937000.0,15131000.0,63.2,60.9,3.6,36.8
May-Jul 1974,1974-05-01,1974-07-31,41083000.0,25961000.0,25020000.0,941000.0,15122000.0,63.2,60.9,3.6,36.8
Jun-Aug 1974,1974-06-01,1974-08-31,41096000.0,25995000.0,25044000.0,951000.0,15102000.0,63.3,60.9,3.7,36.7
Jul-Sep 1974,1974-07-01,1974-09-30,41112000.0,26024000.0,25066000.0,958000.0,15088000.0,63.3,61.0,3.7,36.7
Aug-Oct 1974,1974-08-01,1974-10-31,41127000.0,26042000.0,25077000.0,965000.0,15085000.0,63.3,61.0,3.7,36.7
Sep-Nov 1974,1974-09-01,1974-11-30,41142000.0,26044000.0,25075000.0,969000.0,15098000.0,63.3,60.9,3.7,36.7
Oct-Dec 1974,1974-10-01,1974-12-31,41158000.0,26041000.0,25065000.0,976000.0,15117000.0,63.3,60.9,3.7,36.7
Nov-Jan 1975,1974-11-01,1975-01-31,41173000.0,26033000.0,25044000.0,989000.0,15140000.0,63.2,60.8,3.8,36.8
Dec-Feb 1975,1974-12-01,1975-02-28,41189000.0,26025000.0,25018000.0,1007000.0,15164000.0,63.2,60.7,3.9,36.8
Jan-Mar 1975,1975-01-01,1975-03-31,41204000.0,26025000.0,24996000.0,1029000.0,15179000.0,63.2,60.7,4.0,36.8
Feb-Apr 1975,1975-02-01,1975-04-30,41219000.0,26036000.0,24980000.0,1055000.0,15184000.0,63.2,60.6,4.1,36.8
Mar-May 1975,1975-03-01,1975-05-31,41235000.0,26054000.0,24965000.0,1089000.0,15180000.0,63.2,60.5,4.2,36.8
Apr-Jun 1975,1975-04-01,1975-06-30,41250000.0,26081000.0,24955000.0,1126000.0,15169000.0,63.2,60.5,4.3,36.8
May-Jul 1975,1975-05-01,1975-07-31,41265000.0,26107000.0,24945000.0,1162000.0,15158000.0,63.3,60.4,4.5,36.7
Jun-Aug 1975,1975-06-01,1975-08-31,41281000.0,26127000.0,24934000.0,1193000.0,15154000.0,63.3,60.4,4.6,36.7
Jul-Sep 1975,1975-07-01,1975-09-30,41300000.0,26139000.0,24918000.0,1221000.0,15161000.0,63.3,60.3,4.7,36.7
Aug-Oct 1975,1975-08-01,1975-10-31,41319000.0,26149000.0,24897000.0,1252000.0,15170000.0,63.3,60.3,4.8,36.7
Sep-Nov 1975,1975-09-01,1975-11-30,41338000.0,26167000.0,24880000.0,1286000.0,15172000.0,63.3,60.2,4.9,36.7
Oct-Dec 1975,1975-10-01,1975-12-31,41358000.0,26183000.0,24864000.0,1319000.0,15175000.0,63.3,60.1,5.0,36.7
Nov-Jan 1976,1975-11-01,1976-01-31,41377000.0,26190000.0,24847000.0,1343000.0,15187000.0,63.3,60.1,5.1,36.7
Dec-Feb 1976,1975-12-01,1976-02-29,41396000.0,26188000.0,24825000.0,1363000.0,15208000.0,63.3,60.0,5.2,36.7
Jan-Mar 1976,1976-01-01,1976-03-31,41415000.0,26187000.0,24809000.0,1379000.0,15228000.0,63.2,59.9,5.3,36.8
Feb-Apr 1976,1976-02-01,1976-04-30,41435000.0,26185000.0,24793000.0,1392000.0,15250000.0,63.2,59.8,5.3,36.8
Mar-May 1976,1976-03-01,1976-05-31,41454000.0,26193000.0,24788000.0,1405000.0,15261000.0,63.2,59.8,5.4,36.8
Apr-Jun 1976,1976-04-01,1976-06-30,41473000.0,26192000.0,24779000.0,1413000.0,15281000.0,63.2,59.7,5.4,36.8
May-Jul 1976,1976-05-01,1976-07-31,41492000.0,26195000.0,24776000.0,1419000.0,15298000.0,63.1,59.7,5.4,36.9
Jun-Aug 1976,1976-06-01,1976-08-31,41512000.0,26196000.0,24772000.0,1425000.0,15315000.0,63.1,59.7,5.4,36.9
Jul-Sep 1976,1976-07-01,1976-09-30,41535000.0,26198000.0,24768000.0,1430000.0,15336000.0,63.1,59.6,5.5,36.9
Aug-Oct 1976,1976-08-01,1976-10-31,41558000.0,26203000.0,24771000.0,1432000.0,15355000.0,63.1,59.6,5.5,36.9
Sep-Nov 1976,1976-09-01,1976-11-30,41581000.0,26210000.0,24779000.0,1431000.0,15371000.0,63.0,59.6,5.5,37.0
Oct-Dec 1976,1976-10-01,1976-12-31,41604000.0,26220000.0,24788000.0,1432000.0,15384000.0,63.0,59.6,5.5,37.0
Nov-Jan 1977,1976-11-01,1977-01-31,41627000.0,26232000.0,24797000.0,1435000.0,15395000.0,63.0,59.6,5.5,37.0
Dec-Feb 1977,1976-12-01,1977-02-28,41650000.0,26236000.0,24800000.0,1436000.0,15414000.0,63.0,59.5,5.5,37.0
Jan-Mar 1977,1977-01-01,1977-03-31,41674000.0,26239000.0,24803000.0,1436000.0,15434000.0,63.0,59.5,5.5,37.0
Feb-Apr 1977,1977-02-01,1977-04-30,41697000.0,26238000.0,24801000.0,1437000.0,15459000.0,62.9,59.5,5.5,37.1
Mar-May 1977,1977-03-01,1977-05-31,41720000.0,26240000.0,24799000.0,1441000.0,15480000.0,62.9,59.4,5.5,37.1
Apr-Jun 1977,1977-04-01,1977-06-30,41743000.0,26254000.0,24802000.0,1452000.0,15489000.0,62.9,59.4,5.5,37.1
May-Jul 1977,1977-05-01,1977-07-31,41766000.0,26267000.0,24800000.0,1467000.0,15499000.0,62.9,59.4,5.6,37.1
Jun-Aug 1977,1977-06-01,1977-08-31,41789000.0,26285000.0,24804000.0,1481000.0,15504000.0,62.9,59.4,5.6,37.1
Jul-Sep 1977,1977-07-01,1977-09-30,41813000.0,26302000.0,24809000.0,1493000.0,15511000.0,62.9,59.3,5.7,37.1
Aug-Oct 1977,1977-08-01,1977-10-31,41837000.0,26312000.0,24813000.0,1498000.0,15526000.0,62.9,59.3,5.7,37.1
Sep-Nov 1977,1977-09-01,1977-11-30,41862000.0,26319000.0,24818000.0,1502000.0,15542000.0,62.9,59.3,5.7,37.1
Oct-Dec 1977,1977-10-01,1977-12-31,41886000.0,26321000.0,24822000.0,1499000.0,15565000.0,62.8,59.3,5.7,37.2
Nov-Jan 1978,1977-11-01,1978-01-31,41910000.0,26326000.0,24833000.0,1493000.0,15584000.0,62.8,59.3,5.7,37.2
Dec-Feb 1978,1977-12-01,1978-02-28,41934000.0,26328000.0,24844000.0,1484000.0,15606000.0,62.8,59.2,5.6,37.2
Jan-Mar 1978,1978-01-01,1978-03-31,41958000.0,26336000.0,24862000.0,1474000.0,15622000.0,62.8,59.3,5.6,37.2
Feb-Apr 1978,1978-02-01,1978-04-30,41982000.0,26343000.0,24874000.0,1469000.0,15639000.0,62.7,59.3,5.6,37.3
Mar-May 1978,1978-03-01,1978-05-31,42006000.0,26352000.0,24886000.0,1466000.0,15654000.0,62.7,59.2,5.6,37.3
Apr-Jun 1978,1978-04-01,1978-06-30,42030000.0,26360000.0,24897000.0,1463000.0,15670000.0,62.7,59.2,5.6,37.3
May-Jul 1978,1978-05-01,1978-07-31,42054000.0,26367000.0,24908000.0,1459000.0,15687000.0,62.7,59.2,5.5,37.3
Jun-Aug 1978,1978-06-01,1978-08-31,42079000.0,26378000.0,24919000.0,1459000.0,15701000.0,62.7,59.2,5.5,37.3
Jul-Sep 1978,1978-07-01,1978-09-30,42105000.0,26396000.0,24941000.0,1455000.0,15709000.0,62.7,59.2,5.5,37.3
Aug-Oct 1978,1978-08-01,1978-10-31,42132000.0,26425000.0,24975000.0,1449000.0,15708000.0,62.7,59.3,5.5,37.3
Sep-Nov 1978,1978-09-01,1978-11-30,42159000.0,26452000.0,25017000.0,1435000.0,15708000.0,62.7,59.3,5.4,37.3
Oct-Dec 1978,1978-10-01,1978-12-31,42186000.0,26480000.0,25059000.0,1421000.0,15706000.0,62.8,59.4,5.4,37.2
Nov-Jan 1979,1978-11-01,1979-01-31,42213000.0,26501000.0,25087000.0,1413000.0,15713000.0,62.8,59.4,5.3,37.2
Dec-Feb 1979,1978-12-01,1979-02-28,42240000.0,26523000.0,25106000.0,1417000.0,15718000.0,62.8,59.4,5.3,37.2
Jan-Mar 1979,1979-01-01,1979-03-31,42267000.0,26533000.0,25113000.0,1420000.0,15734000.0,62.8,59.4,5.4,37.2
Feb-Apr 1979,1979-02-01,1979-04-30,42294000.0,26535000.0,25121000.0,1414000.0,15759000.0,62.7,59.4,5.3,37.3
Mar-May 1979,1979-03-01,1979-05-31,42321000.0,26541000.0,25136000.0,1405000.0,15780000.0,62.7,59.4,5.3,37.3
Apr-Jun 1979,1979-04-01,1979-06-30,42348000.0,26565000.0,25159000.0,1405000.0,15783000.0,62.7,59.4,5.3,37.3
May-Jul 1979,1979-05-01,1979-07-31,42375000.0,26602000.0,25186000.0,1415000.0,15773000.0,62.8,59.4,5.3,37.2
Jun-Aug 1979,1979-06-01,1979-08-31,42402000.0,26633000.0,25211000.0,1422000.0,15769000.0,62.8,59.5,5.3,37.2
Jul-Sep 1979,1979-07-01,1979-09-30,42432000.0,26659000.0,25229000.0,1430000.0,15773000.0,62.8,59.5,5.4,37.2
Aug-Oct 1979,1979-08-01,1979-10-31,42462000.0,26689000.0,25248000.0,1441000.0,15772000.0,62.9,59.5,5.4,37.1
Sep-Nov 1979,1979-09-01,1979-11-30,42491000.0,26718000.0,25265000.0,1453000.0,15773000.0,62.9,59.5,5.4,37.1
Oct-Dec 1979,1979-10-01,1979-12-31,42521000.0,26750000.0,25280000.0,1471000.0,15770000.0,62.9,59.5,5.5,37.1
Nov-Jan 1980,1979-11-01,1980-01-31,42551000.0,26769000.0,25280000.0,1490000.0,15781000.0,62.9,59.4,5.6,37.1
Dec-Feb 1980,1979-12-01,1980-02-29,42580000.0,26791000.0,25270000.0,1521000.0,15789000.0,62.9,59.3,5.7,37.1
Jan-Mar 1980,1980-01-01,1980-03-31,42610000.0,26808000.0,25250000.0,1558000.0,15802000.0,62.9,59.3,5.8,37.1
Feb-Apr 1980,1980-02-01,1980-04-30,42639000.0,26837000.0,25235000.0,1603000.0,15802000.0,62.9,59.2,6.0,37.1
Mar-May 1980,1980-03-01,1980-05-31,42669000.0,26863000.0,25215000.0,1648000.0,15806000.0,63.0,59.1,6.1,37.0
Apr-Jun 1980,1980-04-01,1980-06-30,42699000.0,26890000.0,25190000.0,1700000.0,15809000.0,63.0,59.0,6.3,37.0
May-Jul 1980,1980-05-01,1980-07-31,42728000.0,26916000.0,25160000.0,1756000.0,15812000.0,63.0,58.9,6.5,37.0
Jun-Aug 1980,1980-06-01,1980-08-31,42758000.0,26938000.0,25110000.0,1828000.0,15820000.0,63.0,58.7,6.8,37.0
Jul-Sep 1980,1980-07-01,1980-09-30,42784000.0,26955000.0,25050000.0,1905000.0,15829000.0,63.0,58.5,7.1,37.0
Aug-Oct 1980,1980-08-01,1980-10-31,42810000.0,26974000.0,24985000.0,1989000.0,15836000.0,63.0,58.4,7.4,37.0
