Dataset identifier code,Start Date,End Date,All aged 16 to 64 level,Total economically active level,Total in employment level,Unemployed level,Economically inactive level,Economic activity rate,Employment rate,Unemployment rate,Economic inactivity rate
Jan-Mar 1971,1971-01-01,1971-03-31,33559000.0,25187000.0,24219000.0,967000.0,8373000.0,75.1,72.2,3.8,24.9
Feb-Apr 1971,1971-02-01,1971-04-30,33565000.0,25172000.0,24187000.0,985000.0,8393000.0,75.0,72.1,3.9,25.0
Mar-May 1971,1971-03-01,1971-05-31,33570000.0,25180000.0,24171000.0,1009000.0,8390000.0,75.0,72.0,4.0,25.0
Apr-Jun 1971,1971-04-01,1971-06-30,33576000.0,25199000.0,24168000.0,1031000.0,8377000.0,75.1,72.0,4.1,24.9
May-Jul 1971,1971-05-01,1971-07-31,33581000.0,25202000.0,24153000.0,1049000.0,8380000.0,75.0,71.9,4.2,25.0
Jun-Aug 1971,1971-06-01,1971-08-31,33586000.0,25180000.0,24125000.0,1055000.0,8406000.0,75.0,71.8,4.2,25.0
Jul-Sep 1971,1971-07-01,1971-09-30,33589000.0,25148000.0,24085000.0,1063000.0,8440000.0,74.9,71.7,4.2,25.1
Aug-Oct 1971,1971-08-01,1971-10-31,33591000.0,25124000.0,24046000.0,1077000.0,8467000.0,74.8,71.6,4.3,25.2
Sep-Nov 1971,1971-09-01,1971-11-30,33594000.0,25115000.0,24015000.0,1100000.0,8479000.0,74.8,71.5,4.4,25.2
Oct-Dec 1971,1971-10-01,1971-12-31,33596000.0,25137000.0,24017000.0,1120000.0,8459000.0,74.8,71.5,4.5,25.2
Nov-Jan 1972,1971-11-01,1972-01-31,33598000.0,25163000.0,24032000.0,1130000.0,8436000.0,74.9,71.5,4.5,25.1
Dec-Feb 1972,1971-12-01,1972-02-29,33601000.0,25207000.0,24071000.0,1136000.0,8394000.0,75.0,71.6,4.5,25.0
Jan-Mar 1972,1972-01-01,1972-03-31,33603000.0,25257000.0,24115000.0,1142000.0,8346000.0,75.2,71.8,4.5,24.8
Feb-Apr 1972,1972-02-01,1972-04-30,33606000.0,25296000.0,24148000.0,1148000.0,8310000.0,75.3,71.9,4.5,24.7
Mar-May 1972,1972-03-01,1972-05-31,33608000.0,25300000.0,24158000.0,1142000.0,8309000.0,75.3,71.9,4.5,24.7
Apr-Jun 1972,1972-04-01,1972-06-30,33611000.0,25281000.0,24155000.0,1126000.0,8329000.0,75.2,71.9,4.5,24.8
May-Jul 1972,1972-05-01,1972-07-31,33613000.0,25262000.0,24154000.0,1108000.0,8352000.0,75.2,71.9,4.4,24.8
Jun-Aug 1972,1972-06-01,1972-08-31,33616000.0,25259000.0,24164000.0,1094000.0,8357000.0,75.1,71.9,4.3,24.9
Jul-Sep 1972,1972-07-01,1972-09-30,33620000.0,25279000.0,24192000.0,1087000.0,8341000.0,75.2,72.0,4.3,24.8
Aug-Oct 1972,1972-08-01,1972-10-31,33624000.0,25299000.0,24220000.0,1079000.0,8325000.0,75.2,72.0,4.3,24.8
Sep-Nov 1972,1972-09-01,1972-11-30,33628000.0,25325000.0,24253000.0,1072000.0,8303000.0,75.3,72.1,4.2,24.7
Oct-Dec 1972,1972-10-01,1972-12-31,33632000.0,25344000.0,24288000.0,1056000.0,8288000.0,75.4,72.2,4.2,24.6
Nov-Jan 1973,1972-11-01,1973-01-31,33636000.0,25381000.0,24346000.0,1035000.0,8255000.0,75.5,72.4,4.1,24.5
Dec-Feb 1973,1972-12-01,1973-02-28,33640000.0,25422000.0,24412000.0,1010000.0,8218000.0,75.6,72.6,4.0,24.4
Jan-Mar 1973,1973-01-01,1973-03-31,33644000.0,25477000.0,24488000.0,989000.0,8167000.0,75.7,72.8,3.9,24.3
Feb-Apr 1973,1973-02-01,1973-04-30,33648000.0,25515000.0,24541000.0,974000.0,8133000.0,75.8,72.9,3.8,24.2
Mar-May 1973,1973-03-01,1973-05-31,33652000.0,25528000.0,24565000.0,964000.0,8123000.0,75.9,73.0,3.8,24.1
Apr-Jun 1973,1973-04-01,1973-06-30,33656000.0,25520000.0,24564000.0,955000.0,8136000.0,75.8,73.0,3.7,24.2
May-Jul 1973,1973-05-01,1973-07-31,33659000.0,25497000.0,24552000.0,944000.0,8163000.0,75.7,72.9,3.7,24.3
Jun-Aug 1973,1973-06-01,1973-08-31,33663000.0,25478000.0,24548000.0,931000.0,8185000.0,75.7,72.9,3.7,24.3
Jul-Sep 1973,1973-07-01,1973-09-30,33666000.0,25468000.0,24554000.0,914000.0,8198000.0,75.6,72.9,3.6,24.4
Aug-Oct 1973,1973-08-01,1973-10-31,33668000.0,25461000.0,24561000.0,900000.0,8207000.0,75.6,72.9,3.5,24.4
Sep-Nov 1973,1973-09-01,1973-11-30,33670000.0,25461000.0,24573000.0,888000.0,8209000.0,75.6,73.0,3.5,24.4
Oct-Dec 1973,1973-10-01,1973-12-31,33673000.0,25455000.0,24580000.0,875000.0,8218000.0,75.6,73.0,3.4,24.4
Nov-Jan 1974,1973-11-01,1974-01-31,33675000.0,25453000.0,24575000.0,879000.0,8222000.0,75.6,73.0,3.5,24.4
Dec-Feb 1974,1973-12-01,1974-02-28,33677000.0,25460000.0,24569000.0,891000.0,8217000.0,75.6,73.0,3.5,24.4
Jan-Mar 1974,1974-01-01,1974-03-31,33680000.0,25474000.0,24563000.0,910000.0,8206000.0,75.6,72.9,3.6,24.4
Feb-Apr 1974,1974-02-01,1974-04-30,33682000.0,25481000.0,24563000.0,918000.0,8201000.0,75.7,72.9,3.6,24.3
Mar-May 1974,1974-03-01,1974-05-31,33684000.0,25484000.0,24564000.0,920000.0,8200000.0,75.7,72.9,3.6,24.3
Apr-Jun 1974,1974-04-01,1974-06-30,33686000.0,25499000.0,24575000.0,924000.0,8187000.0,75.7,73.0,3.6,24.3
